X1	X3	X2
TUB	activates	MAPK1 
AR	inhibits	FOXO3 
MAPK1	activates	SMAD3 
SMAD3	activates	LEF1 
SOCS3	activates	STAT5A 
SIRT1	inhibits	STAT5A 
SIRT1	inhibits	NR5A2 
CSNK2A1	activates	LEF1 
NR4A1	activates	NR2F1 
CSNK2A1	activates	TWIST1 
YAP1	activates	TEAD4 
MAPK9	activates	FOXO3 
CSNK2A1	activates	ATF1 
CDK1	inhibits	MYOD1 
CSNK2A1	activates	MAPK9 
FBXO22	inhibits	BACH1 
CDK2	activates	CHEK1 
LATS2	inhibits	YAP1 
YAP1	activates	SMAD1 
ZNF521	inhibits	EBF1 
KDM6A	inhibits	FLI1 
CDK1	inhibits	FOXO3 
CHEK1	activates	E2F3 
CSNK2A1	activates	VDR 
MAPK1	activates	CDK2 
MAPK1	activates	CSNK2A1 
MAPK9	activates	SMAD3 
GSK3B	inhibits	KLF5 
MAPK1	activates	LCK 
MAPK1	activates	STAT5A 
MAPK1	activates	TWIST1 
CDK1	inhibits	CUX1 
LCK	activates	SOCS3 
CSNK2A1	activates	SRF 
LCK	activates	STAT5A 
CDK2	activates	FOXM1 
MAPK1	activates	DUSP16 
MAPK1	activates	NR4A1 
GSK3B	inhibits	NFATC1 
CSNK2A1	activates	NFATC1 
MAPK1	activates	GATA2 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	TUB 
TP53	activates	CASP1 
CASP1	activates	SREBF2 
MEN1	activates	KMT2A 
TP53	activates	LATS2 
AR	activates	JUN 
MAPK1	inhibits	CDK1 
GSK3B	activates	JUN 
MAPK11	activates	SMAD2 
SMAD3	inhibits	FOXA1 
CDK1	activates	TP53 
CSNK2A1	inhibits	SPIB 
CDK1	activates	AR 
CDK1	activates	SIRT1 
MAPK11	activates	TP53 
AMER1	activates	GSK3B 
CDK1	activates	SREBF1 
CSNK2A1	inhibits	JUN 
MAPK9	inhibits	JUNB 
FHL5	activates	CREM 
MAPK1	inhibits	AR 
GSK3B	activates	CIITA 
MAPK11	activates	HBP1 
GSK3B	activates	TP53 
AMER1	activates	WT1 
SIRT1	activates	AR 
SOCS3	inhibits	TFDP1 
NR4A1	inhibits	TP53 
VDR	inhibits	JUN 
CIITA	activates	NFYB 
DUSP16	inhibits	MAPK11 
MAPK11	activates	JUN 
Perturbation	activates	AMER1 
Perturbation	activates	FBXO22 
Perturbation	activates	FHL5 
Perturbation	activates	KDM6A 
Perturbation	activates	MEN1 
Perturbation	activates	TFAP4 
Perturbation	activates	ZNF521 
LAMTOR3	activates	MAPK1 
CSNK1D	inhibits	YAP1 
CSNK1D	inhibits	LEF1 
MAPK3	inhibits	FOXO3 
MAPK3	inhibits	NFATC1 
Perturbation	activates	E2F6 
Perturbation	activates	LAMTOR3 
Perturbation	activates	PAWR 
MAPK3	activates	SMAD2 
CSNK1D	activates	GSK3B 
CSNK1D	activates	TP53 
MAPK3	activates	JUN 
MAPK3	activates	SREBF1 
MAPK3	activates	CIITA 
MAPK3	activates	SREBF2 
MAPK3	activates	TP53 
PAWR	inhibits	WT1 
DUSP16	inhibits	MAPK3 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	FBXO22 
Perturbation	inhibits	FHL5 
Perturbation	inhibits	KDM6A 
Perturbation	inhibits	MEN1 
Perturbation	inhibits	TFAP4 
Perturbation	inhibits	ZNF521 
HDAC1	activates	FLI1 
CSNK2A1	activates	HDAC1 
HDAC1	inhibits	TP53 
HDAC1	inhibits	SMAD2 
Perturbation	inhibits	LAMTOR3 
Perturbation	inhibits	PAWR 
Perturbation	activates	CSNK1D 
EP300	activates	STAT5A 
SIRT1	inhibits	EP300 
MAPK1	activates	EP300 
EP300	activates	FLI1 
YWHAZ	inhibits	FOXO3 
YWHAZ	inhibits	YAP1 
EP300	activates	SMAD3 
EP300	activates	MYOD1 
EP300	activates	SMAD1 
DUSP10	inhibits	MAPK9 
DUSP10	inhibits	MAPK1 
EP300	activates	NR4A1 
EP300	activates	VDR 
MAPK9	inhibits	YWHAZ 
Perturbation	inhibits	AMER1 
Perturbation	inhibits	DUSP10 
DUSP7	inhibits	MAPK1 
Perturbation	inhibits	DUSP7 
PML	activates	YAP1 
PML	activates	SMAD3 
MAPK1	activates	PML 
CDK1	inhibits	PML 
FGF19	activates	MAPK1 
EP300	activates	PML 
Perturbation	inhibits	FGF19 
SFN	inhibits	FOXO3 
SFN	inhibits	YAP1 
TP53	activates	SFN 
MAPK9	inhibits	SFN 
DUSP10	inhibits	MAPK11 
DUSP2	activates	MAPK1 
SYK	inhibits	LCK 
Perturbation	inhibits	DUSP2 
CHEK1	inhibits	SYK 
DUSP2	inhibits	MAPK3 
SYK	activates	MAPK11 
Perturbation	inhibits	DUSP8 
DUSP8	inhibits	MAPK11 
PTP4A3	activates	MAPK1 
Perturbation	inhibits	PTP4A3 
Perturbation	activates	FGF19 
Perturbation	activates	DUSP10 
Perturbation	activates	TUB 
Perturbation	activates	PTP4A3 
Perturbation	activates	DUSP8 
Perturbation	activates	DUSP2 
ABL1	activates	YAP1 
PTPRB	inhibits	MAPK1 
LCK	activates	ABL1 
ABL1	activates	STAT5A 
ABL1	inhibits	JUN 
Perturbation	activates	PTPRB 
STAT3	inhibits	MYOD1 
STAT3	activates	JUNB 
MAPK3	activates	STAT3 
DUSP8	inhibits	MAPK3 
FBXW11	inhibits	YAP1 
PTPRB	activates	MAPK3 
Perturbation	activates	FBXW11 
Perturbation	inhibits	FBXW11 
Perturbation	inhibits	PTPRB 
CTNNA1	inhibits	YAP1 
CSNK2A1	inhibits	CTNNA1 
TJP2	inhibits	YAP1 
Perturbation	activates	TJP2 
Perturbation	inhibits	TJP2 
DUSP10	inhibits	MAPK3 
PTPRE	inhibits	MAPK1 
Perturbation	inhibits	PTPRE 
DUSP8	inhibits	MAPK1 
Perturbation	activates	DUSP7 
LATS1	inhibits	YAP1 
CDK1	activates	LATS1 
DUSP9	activates	MAPK1 
Perturbation	inhibits	DUSP9 
Perturbation	activates	DUSP9 
NR0B2	activates	NR5A2 
NR0B2	activates	RXRB 
RXRB	activates	VDR 
RXRB	activates	NR2F1 
Perturbation	activates	NR0B2 
