"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","22/31","481/2914",1.87139160005057e-11,5.64480073430017e-09,3.47783931497167e-09,"TP53/EP300/MAPK3/ABL1/MAPK14/BRCA1/NR0B2/GSK3B/YAP1/CSNK2A1/CDK2/SMAD1/CDK5/CDK1/LEF1/CTNNB1/TCF7/JUN/KLF4/VDR/MAPK1/NR2C2AP",22
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","8/31","23/2914",2.72394304558071e-11,5.64480073430017e-09,3.47783931497167e-09,"MAPK3/CDK1/MAPK1/DUSP7/DUSP10/DUSP8/DUSP2/DUSP9",8
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","22/31","499/2914",4.012891517275e-11,5.64480073430017e-09,3.47783931497167e-09,"TP53/EP300/MAPK3/ABL1/MAPK14/BRCA1/NR0B2/GSK3B/YAP1/CSNK2A1/CDK2/SMAD1/CDK5/CDK1/LEF1/CTNNB1/TCF7/JUN/KLF4/VDR/MAPK1/NR2C2AP",22
"R-HSA-5675221","R-HSA-5675221","Negative regulation of MAPK pathway","7/31","34/2914",3.30786818457348e-08,3.48980093472502e-06,2.15011431997276e-06,"MAPK3/MAPK1/DUSP7/DUSP10/DUSP8/DUSP2/DUSP9",7
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","11/31","187/2914",1.55079331319605e-06,0.000121385107519901,7.47870330691332e-05,"TP53/HIF1A/STAT3/EP300/MAPK3/MAPK14/GSK3B/CDK2/JUN/ETS2/MAPK1",11
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","11/31","189/2914",1.72585460928769e-06,0.000121385107519901,7.47870330691332e-05,"TP53/HIF1A/STAT3/EP300/MAPK3/MAPK14/GSK3B/CDK2/JUN/ETS2/MAPK1",11
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","4/31","10/2914",2.10757020329644e-06,0.000127056375113014,7.8281178979582e-05,"MAPK3/MAPK14/JUN/MAPK1",4
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","7/31","62/2914",2.46461325476905e-06,0.000130008349189067,8.0099930779994e-05,"MAPK3/ABL1/GSK3B/YAP1/SMAD1/CDK1/MAPK1",7
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","5/31","24/2914",3.59040805419311e-06,0.000168350244318832,0.000103722899343356,"MAPK3/ABL1/YAP1/SMAD1/MAPK1",5
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","8/31","95/2914",4.03894087987202e-06,0.000170443305130599,0.000105012462876673,"TP53/EP300/MAPK14/BRCA1/CSNK2A1/CDK2/CDK5/CDK1",8
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","8/31","99/2914",5.52730220190693e-06,0.000212047411745884,0.000130645324772346,"TP53/STAT3/MAPK3/MAPK14/CDK2/JUN/ETS2/MAPK1",8
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","5/31","30/2914",1.15089287523e-05,0.000404730661122551,0.000249360122966501,"MAPK3/MAPK14/JUN/MAPK1/DUSP7",5
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","6/31","53/2914",1.40973689950011e-05,0.000457622285837728,0.000281947379900022,"TP53/EP300/YAP1/LEF1/CTNNB1/TCF7",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","14/31","397/2914",1.77189598541521e-05,0.000534100075603728,0.000329066397291397,"STAT3/EP300/MAPK3/ABL1/MAPK14/GSK3B/CSNK2A1/CDK2/CDK5/LEF1/CTNNB1/JUN/KLF4/MAPK1",14
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","6/31","56/2914",1.94972968408474e-05,0.000548523951122508,0.000337953145241355,"TP53/MAPK14/BRCA1/CSNK2A1/CDK2/CDK5",6
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","4/31","19/2914",3.63776195781608e-05,0.00095945971637399,0.000591136318145112,"MAPK3/ABL1/YAP1/MAPK1",4
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","4/31","21/2914",5.53409393834856e-05,0.00137375743646064,0.00084639083762978,"MAPK3/MAPK14/MAPK1/DUSP7",4
"R-HSA-201722","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","4/31","22/2914",6.71371375631163e-05,0.0015739928917575,0.000969758653689458,"EP300/LEF1/CTNNB1/TCF7",4
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","5/31","44/2914",7.89724841409835e-05,0.00170210268814685,0.00104868885999569,"TP53/MAPK3/MAPK14/JUN/MAPK1",5
"R-HSA-2559585","R-HSA-2559585","Oncogene Induced Senescence","4/31","23/2914",8.06683738458221e-05,0.00170210268814685,0.00104868885999569,"TP53/MAPK3/ETS2/MAPK1",4
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","5/31","45/2914",8.8180502983625e-05,0.0017720082028138,0.00109175860836869,"STAT3/MAPK3/CDK2/JUN/MAPK1",5
