"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5675221","R-HSA-5675221","Negative regulation of MAPK pathway","10/45","34/2914",2.67895867628375e-11,1.22160515638539e-08,6.57049864814857e-09,"MAPK3/PPP2CA/DUSP9/MAPK1/PPP2CB/DUSP2/DUSP6/PPP2R1B/DUSP8/DUSP10",10
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","9/45","30/2914",2.42829104245554e-10,4.50190593406773e-08,2.42138523231251e-08,"MAPK3/PPP2CA/MAPK1/RPS6KA2/MAPK9/RPS6KA3/PPP2CB/DUSP6/PPP2R1B",9
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","8/45","21/2914",2.9617802197814e-10,4.50190593406773e-08,2.42138523231251e-08,"MAPK3/PPP2CA/MAPK1/RPS6KA2/RPS6KA3/PPP2CB/DUSP6/PPP2R1B",8
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","8/45","23/2914",6.97550445361106e-10,7.95207507711661e-08,4.27708562550362e-08,"MAPK3/DUSP9/MAPK1/DUSP2/DUSP6/PEA15/DUSP8/DUSP10",8
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","8/45","24/2914",1.03445465200879e-09,9.43422642632014e-08,5.07427229301152e-08,"MAPK3/PPP2CA/MAPK1/RPS6KA2/RPS6KA3/PPP2CB/DUSP6/PPP2R1B",8
"R-HSA-202670","R-HSA-202670","ERKs are inactivated","6/45","12/2914",8.29977503714385e-09,6.30782902822933e-07,3.39271505904301e-07,"MAPK3/PPP2CA/MAPK1/PPP2CB/DUSP6/PPP2R1B",6
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","15/45","191/2914",6.19683818453868e-08,4.03679744592806e-06,2.17122300300378e-06,"E2F1/MAPK3/PPP2CA/MAPK1/CSNK2A1/MAX/EP300/TFDP1/TP53/GSK3B/PPP2CB/CSNK2A2/PPP1CB/SET/PPP2R1B",15
"R-HSA-5673001","R-HSA-5673001","RAF/MAP kinase cascade","14/45","171/2914",1.14502531088483e-07,6.26946994536201e-06,3.37208332702989e-06,"MAPK3/PPP2CA/DUSP9/MAPK1/WDR83/PPP2CB/DUSP2/FGF19/DUSP6/PPP2R1B/PEA15/CAMK2A/DUSP8/DUSP10",14
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","15/45","201/2914",1.23739538395303e-07,6.26946994536201e-06,3.37208332702989e-06,"MAPK3/PPP2CA/LCK/MAPK1/CSNK2A1/NR4A1/TP53/GSK3B/PPP2CB/CSNK2A2/PRKCD/FGF19/GSK3A/PPP2R1B/CAMK2A",15
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","17/45","268/2914",1.51822724787415e-07,6.27175814098705e-06,3.37331405090024e-06,"NOTCH1/SMAD3/MAPK3/PPP2CA/SMAD4/LCK/MAPK1/EP300/STAT3/NR4A1/GSK3B/PPP2CB/AMER1/FGF19/GSK3A/PPP2R1B/CAMK2A",17
"R-HSA-113501","R-HSA-113501","Inhibition of replication initiation of damaged DNA by RB1/E2F1","5/45","10/2914",1.66566159039239e-07,6.27175814098705e-06,3.37331405090024e-06,"E2F1/PPP2CA/TFDP1/PPP2CB/PPP2R1B",5
"R-HSA-5684996","R-HSA-5684996","MAPK1/MAPK3 signaling","14/45","177/2914",1.77600799858664e-07,6.27175814098705e-06,3.37331405090024e-06,"MAPK3/PPP2CA/DUSP9/MAPK1/WDR83/PPP2CB/DUSP2/FGF19/DUSP6/PPP2R1B/PEA15/CAMK2A/DUSP8/DUSP10",14
"R-HSA-450294","R-HSA-450294","MAP kinase activation","9/45","60/2914",1.7880012244042e-07,6.27175814098705e-06,3.37331405090024e-06,"MAPK3/PPP2CA/MAPK1/RPS6KA2/MAPK9/RPS6KA3/PPP2CB/DUSP6/PPP2R1B",9
"R-HSA-113510","R-HSA-113510","E2F mediated regulation of DNA replication","5/45","11/2914",3.018728243585e-07,9.67644415351535e-06,5.20455098746324e-06,"E2F1/PPP2CA/TFDP1/PPP2CB/PPP2R1B",5
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","9/45","64/2914",3.18340155474769e-07,9.67644415351535e-06,5.20455098746324e-06,"MAPK3/PPP2CA/MAPK1/RPS6KA2/MAPK9/RPS6KA3/PPP2CB/DUSP6/PPP2R1B",9
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","14/45","187/2914",3.55256123978186e-07,9.67644415351535e-06,5.20455098746324e-06,"E2F1/MAPK3/MAPK1/RPS6KA2/EP300/HIF1A/STAT3/SP1/TFDP1/TP53/MAPK9/RPS6KA3/GSK3B/CAMK2A",14
