"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","CARM1","0.999850338344204",1
"5","DNA_thresholded_400","CARM1","0.999991806172958",1
"6","DNA_thresholded_477","CARM1","0.999999116813277",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","","1",1
"11","ERS_thresholded_400","","1",1
"12","ERS_thresholded_477","CSNK2A1","0.999998833774329",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","MAPK1","0.997217253472026",1
"16","HTS_thresholded_300","MAPK1","0.999843203964992",1
"17","HTS_thresholded_400","MAPK1, CSNK2A1","0.999877273555078",1
"18","HTS_thresholded_477","MAPK1, CSNK2A1","0.999984132803108",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","EGR1","0.947565437951993",1
"21","HYP_thresholded_200","EGR1","0.997212661197422",1
"22","HYP_thresholded_300","EGR1, TGFB1","0.998426986834994",1
"23","HYP_thresholded_400","EGR1, TGFB1, NFKB2","0.999219034880998",1
"24","HYP_thresholded_477","EGR1, TGFB1, NFKB2","0.999881481878977",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.996908277326634",1
"28","MTL_thresholded_300","CDK5","0.999811128226077",1
"29","MTL_thresholded_400","CDK5","0.99998742420409",1
"30","MTL_thresholded_477","CDK5","0.999998493021108",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","ROCK2, SMAD3","0.979925163951457",1
"34","OXD_thresholded_300","ROCK2, SMAD3, PCGF2","0.991684635782918",1
"35","OXD_thresholded_400","ROCK2, SMAD3, PCGF2","0.999128964417916",1
"36","OXD_thresholded_477","ROCK2, SMAD3, PCGF2","0.999852799436342",1
