"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CARM1","0.999509391775253",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1","0.990508425142247",1
"4","#upgenes.HYP_0","CDK1, EGR1, JUN, NFKB2, RELA, TGFB1, TP53","0.37426339345808",1
"5","#upgenes.MTL_0","CDK5","0.983028311199247",1
"6","#upgenes.OXD_0","ROCK2, SMAD3","0.920853551356911",1
"7","#upgenes.DNA_0.25","CARM1","0.999283189986739",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.98300394057148",1
"10","#upgenes.HYP_0.25","CDK1, EGR1, JUN, NFKB2, RELA, TP53","0.45103397822626",1
"11","#upgenes.MTL_0.25","CDK5","0.977362267993629",1
"12","#upgenes.OXD_0.25","SMAD3","0.978374814481019",1
"13","#upgenes.DNA_0.45","CARM1","0.998461972237755",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.966845732335798",1
"16","#upgenes.HYP_0.45","EGR1, JUN, NFKB2, RELA","0.709581728685996",1
"17","#upgenes.MTL_0.45","CDK5","0.903870029059989",1
"18","#upgenes.OXD_0.45","SMAD3","0.960991043382043",1
"19","#upgenes.DNA_0.5","CARM1","0.998461972237755",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.966845732335798",1
"22","#upgenes.HYP_0.5","EGR1, JUN, NFKB2, RELA","0.709581728685996",1
"23","#upgenes.MTL_0.5","CDK5","0.903870029059989",1
"24","#upgenes.OXD_0.5","SMAD3","0.960991043382043",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.907538156122048",1
"28","#upgenes.HYP_0.65","EGR1, JUN, NFKB2, RELA","0.584972001099266",1
"29","#upgenes.MTL_0.65","CDK5","0.903870029059989",1
"30","#upgenes.OXD_0.65","SMAD3","0.861383981116022",1
"31","#upgenes.DNA_0.75","","1",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","JUN, NFKB2","0.760139311665527",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.861383981116022",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","JUN","0.802429043573819",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","JUN","0.802429043573819",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","JUN","0.802429043573819",1
