X1	X3	X2
TP53	activates	ARID3A 
MAPK14	inhibits	MAPK1 
UBE2I	inhibits	PPARG 
EGR1	activates	PPARG 
NAB2	inhibits	EGR1 
EGR1	activates	TGFB1 
EGR1	activates	TP53 
NR0B2	inhibits	ONECUT1 
CDK1	inhibits	MYOD1 
UBE2I	inhibits	SOX6 
FBXO22	inhibits	BACH1 
ABL1	inhibits	MYOD1 
MAPK1	activates	SREBF2 
ZNF521	inhibits	EBF1 
CSNK2A1	activates	TP53 
MAPK1	activates	CSNK2A1 
PLK1	inhibits	TP53 
MAPK1	activates	TP53 
TGFB1	activates	TP53 
MAPK1	activates	GATA2 
PCIF1	inhibits	PDX1 
Perturbation	activates	E2F6 
Perturbation	activates	GFI1B 
Perturbation	activates	MTA2 
Perturbation	activates	NKRF 
Perturbation	activates	PCGF2 
KMT2B	activates	RELB 
NKRF	inhibits	REL 
ABL1	activates	CTNNB1 
MAPK1	inhibits	CDK1 
ABL1	activates	CDK5 
CTNNB1	activates	TCF7 
SMAD2	activates	CREB1 
CREB1	activates	CTNNB1 
MAPK11	activates	SMAD2 
NR0B2	activates	ESR2 
PPP2R5C	activates	ATF1 
PLK1	activates	YY1 
MAPK1	inhibits	PPP2R5C 
MAPK1	inhibits	SMAD1 
ROCK2	activates	IRF4 
SOX6	inhibits	CTNNB1 
TGFB1	inhibits	PAX8 
CSNK2A1	inhibits	SPIB 
POU2AF1	activates	POU2F1 
CDK1	activates	FOXK2 
PCGF2	inhibits	UBE2I 
ABL1	activates	CEBPB 
CDK5	activates	CLOCK 
CSNK2A1	inhibits	ARNT 
ABL1	activates	PLK1 
POU2AF1	activates	POU2F2 
CDK1	activates	ABL1 
MAPK11	activates	CREB1 
PLK1	activates	ROCK2 
CDK1	activates	PLK1 
ABL1	activates	STAT5A 
MAPK14	activates	ETS2 
SMAD2	activates	SMAD1 
MAPK11	activates	MAPK14 
ESR2	activates	MAPK11 
Perturbation	inhibits	FBXO22 
Perturbation	inhibits	KMT2B 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	NAB2 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	PCIF1 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	USF2 
Perturbation	inhibits	ZNF521 
RELA	activates	EGR1 
CSNK2A1	activates	RELA 
MAPK1	activates	RELA 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	MTA2 
Perturbation	inhibits	NKRF 
Perturbation	inhibits	PCGF2 
Perturbation	activates	FBXO22 
Perturbation	activates	KMT2B 
Perturbation	activates	LYL1 
Perturbation	activates	NR0B2 
Perturbation	activates	PCIF1 
Perturbation	activates	POU2AF1 
Perturbation	activates	USF2 
Perturbation	activates	ZNF521 
MAPK1	activates	JUN 
ABL1	inhibits	JUN 
JUN	activates	EGR1 
NKRF	inhibits	NFKB2 
NFKB2	activates	RELB 
NAB1	inhibits	EGR1 
SMAD4	activates	CREB1 
SMAD2	activates	SMAD4 
SMAD1	activates	SMAD4 
SMAD4	activates	ATF1 
UBE2I	activates	SMAD4 
Perturbation	inhibits	NAB1 
CARM1	activates	RELB 
CARM1	activates	CTNNB1 
Perturbation	inhibits	CARM1 
Perturbation	activates	NAB1 
Perturbation	activates	NAB2 
MAPK1	activates	SMAD3 
SMAD3	inhibits	PAX8 
Perturbation	activates	CARM1 
STAT3	activates	EGR1 
MAPK1	activates	STAT3 
