X1	X3	X2
TP53	activates	ARID3A 
TP53	activates	VDR 
TP53	activates	TP73 
MAPK1	activates	CEBPB 
YAP1	activates	TP73 
CDK2	inhibits	CCNE1 
MAPK14	inhibits	MAPK1 
MAX	activates	MNT 
MAPK1	activates	SMAD3 
SMAD3	activates	SMAD4 
SMAD3	activates	MEF2C 
PPP2CA	activates	SMAD3 
SMAD3	activates	MAX 
MAPK14	inhibits	NFATC1 
PPP2CA	activates	FOXO4 
SRC	inhibits	PPP2CA 
PPP2CA	activates	TP53 
MAPK1	activates	MED1 
YAP1	activates	TEAD4 
CDK2	inhibits	TP63 
YAP1	activates	TEAD1 
MAPK1	activates	SMAD4 
MEF2C	activates	MYOD1 
FBXO22	inhibits	BACH1 
CDK2	inhibits	SMAD3 
CEBPE	activates	CEBPG 
CSNK1D	inhibits	YAP1 
CDK2	inhibits	FOXO4 
CDK2	inhibits	TP73 
MAPK1	activates	ATF2 
MAPK1	activates	TWIST1 
MAPK3	inhibits	POU5F1 
PAWR	inhibits	WT1 
CDK2	inhibits	MYOD1 
MAPK3	inhibits	FOXO4 
MAPK3	inhibits	NFATC1 
CREBZF	activates	ATF4 
MAPK1	activates	TP53 
MAPK1	activates	ETS1 
MAPK1	activates	STAT1 
CDK2	inhibits	SMAD4 
IKZF2	activates	IKZF1 
SMAD4	activates	ATF2 
SMAD4	activates	CTCF 
TP73	activates	TP63 
TWIST1	activates	TP53 
MED1	activates	GATA6 
CCNE1	activates	MYBL2 
PEX14	inhibits	NFE2 
PCIF1	inhibits	PDX1 
Perturbation	activates	CEBPE 
Perturbation	activates	CREBZF 
Perturbation	activates	IKZF2 
Perturbation	activates	MEIS2 
Perturbation	activates	MTA2 
MEN1	activates	KMT2A 
MAPK14	activates	USF1 
PPP2CA	inhibits	ELF1 
PPP2CA	inhibits	MAPK3 
CDK2	activates	FOXK2 
SMAD3	inhibits	FOXA1 
POU2AF1	activates	POU2F1 
CDK5	activates	CLOCK 
CDK5	activates	SRC 
MAPK3	activates	CDK2 
SRC	activates	MAPK14 
CSNK1D	activates	CDK5 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	FBXO22 
Perturbation	inhibits	KLF6 
Perturbation	inhibits	MEN1 
Perturbation	inhibits	PAWR 
Perturbation	inhibits	PCIF1 
Perturbation	inhibits	PEX14 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	SP4 
Perturbation	inhibits	USF2 
MAPK1	activates	RPS6KA3 
GSK3A	inhibits	NFATC1 
GSK3A	inhibits	GATA6 
CDK2	activates	CEBPB 
CDK2	activates	TP53 
RPS6KA3	activates	ATF4 
CDK1	inhibits	MYOD1 
CDK1	inhibits	FOXO4 
CDK1	inhibits	TP73 
CDK2	activates	MYBL2 
MAPK1	activates	CDK2 
MAPK1	inhibits	CDK1 
RPS6KA3	inhibits	GSK3A 
CDK1	activates	FOXK2 
MAPK1	activates	PARP1 
PARP1	activates	TP53 
PARP1	activates	MYBL2 
PPP1CB	activates	IKZF1 
Perturbation	activates	PPP1CB 
MAPK1	activates	RPS6KA2 
TP53	activates	RPS6KA2 
RPS6KA2	activates	ATF4 
AMER1	activates	WT1 
Perturbation	activates	AMER1 
CSNK2A1	inhibits	IKZF1 
CSNK2A1	inhibits	MAX 
CDK1	activates	CSNK2A1 
MAPK14	activates	CSNK2A1 
MAPK3	activates	CSNK2A1 
CSNK2B	inhibits	IKZF1 
MAPK14	activates	CSNK2B 
EIF2S1	inhibits	ATF4 
PPP1CB	inhibits	EIF2S1 
Perturbation	inhibits	AAK1 
Perturbation	inhibits	AANAT 
Perturbation	inhibits	ABHD5 
Perturbation	inhibits	ABR 
Perturbation	inhibits	ACAA2 
Perturbation	inhibits	ACD 
Perturbation	inhibits	ACE 
Perturbation	inhibits	ACP6 
Perturbation	inhibits	ACTL6A 
Perturbation	inhibits	ADAM19 
Perturbation	inhibits	ADAM2 
Perturbation	inhibits	ADAM23 
Perturbation	inhibits	ADAMTS1 
Perturbation	inhibits	ADAMTS13 
Perturbation	inhibits	ADCYAP1 
Perturbation	inhibits	ADGRV1 
Perturbation	inhibits	ADIPOQ 
Perturbation	inhibits	ADM 
Perturbation	inhibits	ADM2 
Perturbation	inhibits	ADORA1 
Perturbation	inhibits	ADORA2A 
Perturbation	inhibits	ADORA2B 
Perturbation	inhibits	ADORA3 
Perturbation	inhibits	ADRM1 
Perturbation	inhibits	AES 
Perturbation	inhibits	AGRN 
Perturbation	inhibits	AGRP 
Perturbation	inhibits	AHSP 
Perturbation	inhibits	AIP 
Perturbation	inhibits	AKAP8 
Perturbation	inhibits	AKAP8L 
Perturbation	inhibits	ALOX5AP 
Perturbation	inhibits	AMH 
Perturbation	inhibits	ANGPT4 
Perturbation	inhibits	ANGPTL1 
Perturbation	inhibits	ANGPTL3 
Perturbation	inhibits	ANGPTL4 
Perturbation	inhibits	ANKRD12 
Perturbation	inhibits	ANKRD6 
Perturbation	inhibits	ANO9 
Perturbation	inhibits	AP1B1 
Perturbation	inhibits	AP2A1 
Perturbation	inhibits	AP2S1 
Perturbation	inhibits	APELA 
Perturbation	inhibits	APH1B 
Perturbation	inhibits	APIP 
Perturbation	inhibits	APLF 
Perturbation	inhibits	APLN 
Perturbation	inhibits	APOA5 
Perturbation	inhibits	APOBEC2 
Perturbation	inhibits	APOC2 
Perturbation	inhibits	APOC3 
Perturbation	inhibits	ARAP1 
Perturbation	inhibits	ARAP2 
Perturbation	inhibits	ARAP3 
Perturbation	inhibits	ARFGEF2 
Perturbation	inhibits	ARHGAP10 
Perturbation	inhibits	ARHGAP11A 
Perturbation	inhibits	ARHGAP11B 
Perturbation	inhibits	ARHGAP12 
