"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","CDK2","0.999979834030316",1
"5","DNA_thresholded_400","CDK2","0.999999430023506",1
"6","DNA_thresholded_477","CDK2","0.99999996299695",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","RACK1","0.999208425274122",1
"10","ERS_thresholded_300","RACK1, EP300","0.999712338677797",1
"11","ERS_thresholded_400","RACK1, EP300","0.999988026496951",1
"12","ERS_thresholded_477","RACK1, EP300, HSF1, CSNK2A1, AIP","0.99971316932725",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA, GSK3B","0.872393996428515",1
"15","HTS_thresholded_200","PRKACA, GSK3B, HSF1, MAPK3","0.92248439119199",1
"16","HTS_thresholded_300","PRKACA, GSK3B, HSF1, MAPK3","0.993227442152374",1
"17","HTS_thresholded_400","PRKACA, GSK3B, HSF1, MAPK3, CSNK2A1, AIP, EP300, SUMO1","0.963263385070688",1
"18","HTS_thresholded_477","PRKACA, GSK3B, HSF1, MAPK3, CSNK2A1, AIP, EP300, SUMO1","0.992012221527014",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","EGR1","0.973194432041229",1
"21","HYP_thresholded_200","EGR1","0.999269274141178",1
"22","HYP_thresholded_300","EGR1","0.999979341592872",1
"23","HYP_thresholded_400","EGR1","0.999999397235406",1
"24","HYP_thresholded_477","EGR1","0.999999961011358",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.999170211663024",1
"28","MTL_thresholded_300","CDK5","0.999973172389772",1
"29","MTL_thresholded_400","CDK5","0.999999035994834",1
"30","MTL_thresholded_477","CDK5","0.999999928731864",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","SMAD3","0.999260369803235",1
"34","OXD_thresholded_300","SMAD3","0.999978456280518",1
"35","OXD_thresholded_400","SMAD3","0.999999291713571",1
"36","OXD_thresholded_477","SMAD3","0.999999946757213",1
