"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CDK2","0.999913381509724",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","AIP, CSNK2A1","0.977131968732272",1
"4","#upgenes.HYP_0","CDK1, EGR1, HIF1A, RELA, TP53","0.856797370878946",1
"5","#upgenes.MTL_0","CDK5","0.993288481480131",1
"6","#upgenes.OXD_0","SMAD3","0.994352032475557",1
"7","#upgenes.DNA_0.25","CDK2","0.999862038725122",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","AIP, CSNK2A1","0.958351924430402",1
"10","#upgenes.HYP_0.25","CDK1, EGR1, RELA, TP53","0.902990937818208",1
"11","#upgenes.MTL_0.25","CDK5","0.990441193012576",1
"12","#upgenes.OXD_0.25","SMAD3","0.990962955892944",1
"13","#upgenes.DNA_0.45","CDK2","0.999647811178984",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","AIP, CSNK2A1","0.918632961647535",1
"16","#upgenes.HYP_0.45","EGR1, RELA","0.982997854443617",1
"17","#upgenes.MTL_0.45","CDK5","0.943588385250604",1
"18","#upgenes.OXD_0.45","SMAD3","0.981356030452016",1
"19","#upgenes.DNA_0.5","CDK2","0.999647811178984",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","AIP, CSNK2A1","0.918632961647535",1
"22","#upgenes.HYP_0.5","EGR1, RELA","0.982997854443617",1
"23","#upgenes.MTL_0.5","CDK5","0.943588385250604",1
"24","#upgenes.OXD_0.5","SMAD3","0.981356030452016",1
"25","#upgenes.DNA_0.65","CDK2","0.997487676613777",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","AIP, CSNK2A1","0.784317245266309",1
"28","#upgenes.HYP_0.65","EGR1, RELA","0.963373459182697",1
"29","#upgenes.MTL_0.65","CDK5","0.943588385250604",1
"30","#upgenes.OXD_0.65","SMAD3","0.911589173832055",1
"31","#upgenes.DNA_0.75","CDK2","0.997487676613777",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","AIP","0.876917276540411",1
"34","#upgenes.HYP_0.75","","1",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.911589173832055",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","AIP","0.548741904328495",1
"40","#upgenes.HYP_0.85","","1",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","","1",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","AIP","0.548741904328495",1
"46","#upgenes.HYP_0.95","","1",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","","1",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","AIP","0.548741904328495",1
"52","#upgenes.HYP_1","","1",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","CDK2","0.999913381509724",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","AIP, CSNK2A1","0.977131968732272",1
"58","#dngenes.HYP_0","CDK1, EGR1, HIF1A, RELA, TP53","0.856797370878946",1
"59","#dngenes.MTL_0","CDK5","0.993288481480131",1
"60","#dngenes.OXD_0","SMAD3","0.994352032475557",1
"61","#dngenes.DNA_0.25","CDK2","0.997440844097561",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","CSNK2A1","0.973788242590232",1
"64","#dngenes.HYP_0.25","CDK1, EGR1, HIF1A, RELA, TP53","0.369371591846792",1
"65","#dngenes.MTL_0.25","CDK5","0.98373538975737",1
"66","#dngenes.OXD_0.25","SMAD3","0.989203647294991",1
"67","#dngenes.DNA_0.45","","1",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","CDK1, HIF1A, TP53","0.412458870154299",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","","1",1
"73","#dngenes.DNA_0.5","","1",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","CDK1, HIF1A, TP53","0.412458870154299",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","","1",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","CDK1, HIF1A, TP53","0.174949121625476",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","","1",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","HIF1A","0.49697340347513",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","","1",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","","1",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","","1",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","","1",1
