X1	X3	X2
HIF1A	activates	TP53 
EP300	activates	TP53 
EP300	activates	HIF1A 
E2F1	inhibits	MYBL2 
EGR1	activates	TP53 
DUSP8	activates	MAPK14 
CREB1	activates	SMAD3 
GSK3B	activates	SMAD3 
SMAD3	activates	GATA3 
STK11	activates	GSK3B 
MAPK14	activates	SMAD3 
NR0B2	activates	NR5A2 
NR0B2	activates	ESR2 
NR0B2	activates	ESRRA 
PRKACA	activates	CREB1 
EP300	activates	RELA 
PPP2CA	inhibits	ELF1 
PPP2CA	inhibits	RELA 
HOXB8	activates	PBX3 
RELA	activates	EGR1 
GSK3B	activates	RELA 
CDK1	inhibits	MYOD1 
PRKACA	activates	RELA 
STK11	activates	TP53 
MAPK14	activates	TP53 
EP300	activates	FLI1 
MAPK14	activates	GATA2 
NFIB	inhibits	NFIC 
GSK3B	activates	MAF 
EP300	activates	SMAD3 
MAPK14	activates	JUNB 
EP300	activates	MYOD1 
GSK3B	activates	CIITA 
GSK3B	activates	TP53 
PPP2CA	inhibits	PRKACA 
CREBZF	activates	ATF4 
PRKACA	activates	STK11 
MAPK14	activates	RELA 
STK11	activates	ETV4 
MAPK14	activates	ETS2 
EP300	activates	GATA3 
AIP	activates	AHR 
WT1	inhibits	TP53 
CREB1	activates	TP53 
EP300	activates	IRF1 
TP53	activates	BHLHE40 
CIITA	activates	NFYB 
TP53	activates	KLF4 
CTBP1	inhibits	EP300 
Perturbation	activates	AIP 
Perturbation	activates	CREBZF 
Perturbation	activates	DUSP8 
Perturbation	activates	HEY2 
Perturbation	activates	HOXB8 
Perturbation	activates	NR0B2 
Perturbation	activates	TFAP4 
Perturbation	activates	USF2 
CDK1	activates	E2F1 
CDK1	activates	CSNK2A1 
E2F1	activates	TP73 
SUMO1	activates	CTCF 
GSK3B	inhibits	CDK1 
PRKACA	inhibits	WT1 
CSNK2A1	activates	MAZ 
SMAD3	inhibits	FOXA1 
SMAD3	inhibits	RUNX2 
CDK1	activates	AR 
CDK1	activates	FOXK2 
CDK5	activates	AR 
CDK1	activates	RUNX2 
CDK5	activates	CLOCK 
CSNK2A1	activates	PIAS1 
CTBP1	activates	ZEB2 
FOXA1	activates	NFIB 
GATA2	inhibits	PPARG 
MAPK11	activates	HBP1 
GSK3B	inhibits	KLF5 
CSNK2A1	activates	STX1A 
POU2AF1	activates	POU2F2 
PIAS1	activates	SUMO1 
SUMO1	activates	CTBP1 
DUSP8	inhibits	MAPK11 
IGBP1	activates	PPP2CA 
RELA	inhibits	AR 
HEY2	inhibits	ARNT 
GSK3B	inhibits	AR 
EGR1	inhibits	AR 
STX1A	activates	CDK5 
Perturbation	inhibits	E2F6 
Perturbation	inhibits	IGBP1 
Perturbation	inhibits	POU2AF1 
Perturbation	inhibits	RFX1 
MAPK3	inhibits	STK11 
ABL1	inhibits	MYOD1 
CDK2	inhibits	SMAD3 
MAPK3	inhibits	GSK3B 
CDK2	inhibits	MYOD1 
Perturbation	inhibits	AIP 
Perturbation	inhibits	CREBZF 
Perturbation	inhibits	DUSP8 
Perturbation	inhibits	HEY2 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	TFAP4 
Perturbation	inhibits	USF2 
ABL1	activates	TP73 
ABL1	activates	RACK1 
MAPK14	inhibits	MAPK3 
ABL1	activates	CDK5 
RFX1	activates	ABL1 
MAPK3	activates	RUNX2 
CDK2	activates	FOXK2 
RACK1	activates	PPP2CA 
MAPK3	activates	CDK2 
MAPK3	activates	E2F1 
MAPK3	activates	PPARG 
MAPK3	activates	MAZ 
PIAS2	activates	SUMO1 
DUSP8	inhibits	MAPK3 
Perturbation	activates	E2F6 
Perturbation	activates	PIAS2 
Perturbation	activates	POU2AF1 
Perturbation	activates	RFX1 
CSNK1D	inhibits	HIF1A 
PCSK7	activates	PPP2CA 
CSNK1D	activates	CDK5 
Perturbation	inhibits	CSNK1D 
Perturbation	inhibits	PCSK7 
Perturbation	inhibits	PIAS2 
Perturbation	activates	CSNK1D 
Perturbation	activates	PCSK7 
Perturbation	activates	TLX1 
TLX1	inhibits	PPP2CA 
PPP2R1B	activates	PPP2CA 
Perturbation	inhibits	PPP2R1B 
Perturbation	activates	PPP2R1B 
CDK1	activates	ABL1 
Perturbation	inhibits	TLX1 
Perturbation	activates	IGBP1 
Perturbation	activates	TIPRL 
TIPRL	inhibits	PPP2CA 
Perturbation	inhibits	TIPRL 
MAPK14	activates	CSNK2A1 
CSNK2A1	activates	RELA 
CSNK2A1	activates	TP53 
CSNK2A1	inhibits	ARNT 
PRKACA	activates	HSF1 
MAPK3	inhibits	HSF1 
HSF1	inhibits	SUMO1 
