"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","22/37","481/2914",3.23820935922376e-09,1.57376974858275e-06,9.40785034890271e-07,"EP300/E2F1/CREB1/GSK3B/SMAD3/STK11/MAPK14/NR0B2/PRKACA/PPP2CA/CDK1/TP53/SUMO1/CSNK2A1/CDK5/GATA2/MAPK11/HEY2/MAPK3/ABL1/CDK2/PPP2R1B",22
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","22/37","499/2914",6.65822079025968e-09,1.6179476520331e-06,9.67194177953511e-07,"EP300/E2F1/CREB1/GSK3B/SMAD3/STK11/MAPK14/NR0B2/PRKACA/PPP2CA/CDK1/TP53/SUMO1/CSNK2A1/CDK5/GATA2/MAPK11/HEY2/MAPK3/ABL1/CDK2/PPP2R1B",22
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","11/37","95/2914",1.04831350513987e-08,1.69826787832659e-06,1.01520886813545e-06,"EP300/STK11/MAPK14/PPP2CA/CDK1/TP53/CSNK2A1/CDK5/MAPK11/CDK2/PPP2R1B",11
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","9/37","68/2914",8.86213014854817e-08,1.0767488130486e-05,6.4367050552613e-06,"EP300/E2F1/PRKACA/PPP2CA/CDK1/TP53/CDK2/CSNK1D/PPP2R1B",9
"R-HSA-69278","R-HSA-69278","Cell Cycle, Mitotic","13/37","191/2914",2.43065798397913e-07,2.36259956042771e-05,1.41234021805945e-05,"EP300/E2F1/GSK3B/PRKACA/PPP2CA/CDK1/TP53/CSNK2A1/MAPK3/ABL1/CDK2/CSNK1D/PPP2R1B",13
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","6/37","24/2914",3.13490382028739e-07,2.53927209443279e-05,1.51795342877074e-05,"CREB1/MAPK14/PPP2CA/MAPK11/MAPK3/PPP2R1B",6
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","14/37","249/2914",7.88431502555152e-07,5.47396728916863e-05,3.27228713842439e-05,"EP300/E2F1/GSK3B/PRKACA/PPP2CA/CDK1/TP53/SUMO1/CSNK2A1/MAPK3/ABL1/CDK2/CSNK1D/PPP2R1B",14
"R-HSA-69275","R-HSA-69275","G2/M Transition","8/37","66/2914",1.03265074836516e-06,6.27335329631835e-05,3.75015271774716e-05,"EP300/PRKACA/PPP2CA/CDK1/TP53/CDK2/CSNK1D/PPP2R1B",8
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","6/37","30/2914",1.30871041220233e-06,7.0670362258926e-05,4.2246090499163e-05,"CREB1/MAPK14/PPP2CA/MAPK11/MAPK3/PPP2R1B",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","17/37","397/2914",1.6111752443351e-06,7.83031168746856e-05,4.6808880782788e-05,"EP300/E2F1/CREB1/GSK3B/SMAD3/MAPK14/PRKACA/RELA/CSNK2A1/CDK5/GATA2/MAPK11/STX1A/MAPK3/ABL1/CDK2/PIAS2",17
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","12/37","194/2914",2.28932360148202e-06,0.000101146479120024,6.04644319625873e-05,"EP300/E2F1/STK11/MAPK14/PPP2CA/CDK1/TP53/CSNK2A1/CDK5/MAPK11/CDK2/PPP2R1B",12
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","7/37","56/2914",4.34865085600388e-06,0.000163998353368047,9.80367024682284e-05,"STK11/MAPK14/TP53/CSNK2A1/CDK5/MAPK11/CDK2",7
