NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
KMT2E	442	1	15	22	7	7	0.0265502492020293	1
WNT3A	1161	-1	15	19	4	17	0.00365586897210849	1
RARA	1171	1	14	22	8	10	0.0504819822905469	1
CDK6	2233	1	14	20	6	14	0.00981023132592954	1
WLS	2340	-1	14	18	4	12	0.00513881957235866	1
PTPN1	71	1	13	16	3	21	0.00469865564640211	1
NR5A1	509	1	13	17	4	13	0.0248808391180889	1
SUMO2	714	1	13	19	6	14	0.0342937726235621	1
RANBP3	1309	1	13	22	9	9	0.0547641818156443	1
GNRH2	1521	1	13	17	4	13	0.0248808391180889	1
CLK2	2529	1	13	16	3	21	0.00469865564640211	1
PINK1	165	1	12	17	5	16	0.00405427891992018	1
CDH1	242	1	12	18	6	16	0.0667089377335571	1
CTNNB1	284	1	12	17	5	18	0.0240372319260311	1
CARM1	419	1	12	18	6	15	0.0299471272521418	1
SOX4	678	1	12	17	5	17	0.0240372319260311	1
GNRHR	811	1	12	17	5	18	0.0462723640088124	1
SMURF2	1192	1	12	14	2	24	0.00817850619399522	1
CSNK1A1L	1259	1	12	17	5	17	0.0240372319260311	1
CBY1	1277	1	12	17	5	17	0.0240372319260311	1
BCL9	1324	1	12	17	5	17	0.0240372319260311	1
FLT3	1946	1	12	18	6	16	0.0782179449397365	1
APOE	2318	1	12	14	2	14	0.00584112104536784	1
AIMP1	2328	1	12	14	2	20	0.00817850619399522	1
PDHX	2752	1	12	15	3	13	0.00662636332148044	1
CBLL1	3104	1	12	18	6	13	0.0667089377335571	1
CSE1L	3397	1	12	18	6	13	0.0667089377335571	1
PKD1	86	-1	12	17	5	17	0.0240372319260311	1
PPM1D	432	-1	12	18	6	16	0.0376535801275913	1
FBXO5	479	-1	12	17	5	17	0.0380464524951632	1
CHD8	670	-1	12	17	5	17	0.0240372319260311	1
SOX17	679	-1	12	17	5	17	0.0240372319260311	1
APC	691	-1	12	17	5	18	0.0306144145893823	1
CTNNBIP1	775	-1	12	17	5	17	0.0240372319260311	1
FHIT	2115	-1	12	17	5	17	0.0240372319260311	1
SOX3	2135	-1	12	17	5	17	0.0240372319260311	1
SOX6	2136	-1	12	17	5	17	0.0240372319260311	1
KRT1	2647	-1	12	17	5	17	0.0306144145893823	1
PTPRU	2971	-1	12	17	5	17	0.0240372319260311	1
CHKA	3036	-1	12	17	5	17	0.0240372319260311	1
CDX2	3037	-1	12	17	5	17	0.0240372319260311	1
RABAC1	3230	-1	12	17	5	17	0.0240372319260311	1
TBL1X	3318	-1	12	17	5	17	0.0240372319260311	1
ZNF653	3324	-1	12	14	2	2	0.0136539305677494	1
MYB	489	1	11	18	7	14	0.0857084109371656	1
FLI1	843	1	11	15	4	17	0.00584868927180569	1
SNW1	1339	1	11	18	7	9	0.0282703953043296	1
FER	1654	1	11	17	6	17	0.0897501621017812	1
PTPRM	2972	1	11	15	4	21	0.0253992457315471	1
BNIP3	194	-1	11	15	4	19	0.0034457619550105	1
GSK3A	444	-1	11	20	9	11	0.0740112925139755	1
BNIP3L	455	-1	11	15	4	19	0.0034457619550105	1
CKS1B	939	-1	11	17	6	17	0.050029966630432	1
PRKX	1413	-1	11	18	7	15	0.101886119821542	1
ANAPC1	1691	-1	11	17	6	17	0.0397007048909964	1
GOPC	1803	-1	11	13	2	18	0.00343897598455758	1
C1QBP	2510	-1	11	15	4	6	0.0417738340595967	1
NF2	2712	-1	11	16	5	16	0.0907043707591177	1
BCL2	382	1	10	16	6	18	0.0219341214398134	1
TAF1	391	1	10	17	7	16	0.00829847131200639	1
APC2	561	1	10	15	5	19	0.0557637463810063	1
ERCC8	749	1	10	15	5	19	0.0241820277085609	1
ZBTB16	798	1	10	19	9	12	0.0618782481140459	1
NR3C1	1281	1	10	18	8	14	0.054835291356722	1
NKD1	1289	1	10	17	7	15	0.0271332213778066	1
NR3C2	1402	1	10	18	8	13	0.054835291356722	1
HMGA2	2322	1	10	19	9	10	0.0764585693754056	1
KHSRP	2637	1	10	17	7	15	0.0271332213778066	1
NUAK2	2732	1	10	12	2	12	0.0402124366969254	1
TBP	3513	1	10	18	8	13	0.054835291356722	1
SMARCC1	3514	1	10	18	8	13	0.054835291356722	1
SMARCD1	3515	1	10	18	8	13	0.054835291356722	1
SMARCE1	3516	1	10	18	8	13	0.054835291356722	1
SPNS1	195	-1	10	15	5	18	0.00697331903130987	1
BBC3	239	-1	10	15	5	18	0.00697331903130987	1
PMAIP1	241	-1	10	15	5	18	0.00697331903130987	1
BCL2L11	257	-1	10	15	5	18	0.00697331903130987	1
DAPK3	261	-1	10	16	6	18	0.0303019996708699	1
HRK	269	-1	10	15	5	18	0.00697331903130987	1
CHEK2	292	-1	10	15	5	20	0.0241820277085609	1
VHL	487	-1	10	17	7	15	0.0365408373448099	1
MCPH1	649	-1	10	14	4	20	0.0183021995382822	1
KPNA2	700	-1	10	15	5	20	0.0169676570287785	1
BMF	880	-1	10	15	5	18	0.00697331903130987	1
MARK1	886	-1	10	17	7	15	0.0271332213778066	1
DVL3	1225	-1	10	17	7	16	0.0271332213778066	1
LRRFIP2	1345	-1	10	17	7	15	0.0271332213778066	1
GRM7	1743	-1	10	13	3	20	0.0128250123635206	1
RNF4	2010	-1	10	14	4	20	0.0123544599561159	1
TOPORS	2223	-1	10	16	6	17	0.0303019996708699	1
CAMK2D	2273	-1	10	16	6	18	0.0219341214398134	1
FKBP5	2567	-1	10	18	8	13	0.054835291356722	1
NBN	3027	-1	10	15	5	20	0.0241820277085609	1
SERTAD1	3354	-1	10	15	5	19	0.0241820277085609	1
KLF1	3399	-1	10	13	3	6	0.00823823486864327	1
SLC9A3R1	28	1	9	17	8	15	0.209230641146812	1
PEBP1	168	1	9	15	6	18	0.0852894725728917	1
BCL2L1	258	1	9	17	8	14	0.0302309101388428	1
HSP90AA1	279	1	9	13	4	23	0.0617175136120053	1
AXIN1	389	1	9	15	6	19	0.105309258556469	1
CISD2	472	1	9	14	5	17	0.0147990167436327	1
HDAC6	532	1	9	11	2	27	0.0174764598783657	1
CEBPB	576	1	9	15	6	19	0.127985597678326	1
MAP2K6	597	1	9	17	8	15	0.209230641146812	1
SUMO3	666	1	9	14	5	19	0.00504965818223021	1
NEK2	697	1	9	15	6	19	0.127985597678326	1
HSPA1A	698	1	9	14	5	20	0.0223880612351809	1
CDC14B	701	1	9	16	7	17	0.0610617880400338	1
YAP1	760	1	9	18	9	13	0.0773826018467195	1
NCK2	1168	1	9	14	5	21	0.0925870782251038	1
RXRG	1176	1	9	18	9	12	0.115398060193154	1
MAP4K5	1224	1	9	15	6	19	0.0394512921059067	1
MBIP	1239	1	9	17	8	13	0.179083333799416	1
RNF11	2007	1	9	16	7	16	0.0959892939450534	1
CDK3	2098	1	9	16	7	16	0.0959892939450534	1
PATZ1	2201	1	9	13	4	14	0.0246439407086025	1
THBS2	2203	1	9	13	4	23	0.0982899818684797	1
APOA1	2291	1	9	11	2	4	0.0255470357320461	1
ADAM9	2355	1	9	11	2	27	0.0255470357320461	1
FERMT2	2639	1	9	12	3	25	0.06360920917506	1
FERMT1	2640	1	9	12	3	25	0.06360920917506	1
FERMT3	2641	1	9	12	3	25	0.06360920917506	1
ADRB1	2664	1	9	16	7	15	0.167087916338858	1
AIP	2715	1	9	13	4	23	0.0617175136120053	1
LAMB2	2912	1	9	13	4	23	0.07871914739288	1
LAMC2	2913	1	9	13	4	23	0.07871914739288	1
COMP	2949	1	9	13	4	23	0.0982899818684797	1
LAMA3	2953	1	9	13	4	23	0.07871914739288	1
LAMB3	2955	1	9	13	4	23	0.07871914739288	1
HSPE1	3132	1	9	12	3	1	0.0176242563217349	1
LIPC	3356	1	9	11	2	4	0.0255470357320461	1
LPL	3357	1	9	11	2	4	0.0255470357320461	1
TTC1	3522	1	9	14	5	20	0.0223880612351809	1
E2F1	137	-1	9	13	4	23	0.0246439407086025	1
ULK2	188	-1	9	18	9	12	0.137730358946721	1
PARP1	328	-1	9	14	5	21	0.00504965818223021	1
TP73	343	-1	9	13	4	22	0.0246439407086025	1
APLF	375	-1	9	14	5	19	0.00504965818223021	1
BID	420	-1	9	17	8	11	0.0302309101388428	1
BAD	473	-1	9	17	8	14	0.0302309101388428	1
DDIT3	574	-1	9	13	4	21	0.0165451906694097	1
KAT6A	612	-1	9	18	9	12	0.0357213714880068	1
GZMB	626	-1	9	14	5	21	0.0436943991786068	1
LATS1	833	-1	9	14	5	18	0.113964736303921	1
NCL	866	-1	9	16	7	15	0.010570315526679	1
FUS	924	-1	9	15	6	17	0.0196719000531797	1
MAPK13	974	-1	9	16	7	16	0.0248542831760129	1
CCNA1	990	-1	9	14	5	19	0.0147990167436327	1
WNT10B	1243	-1	9	15	6	18	0.0852894725728917	1
WNT2	1266	-1	9	15	6	18	0.0852894725728917	1
WNT7A	1280	-1	9	15	6	18	0.0852894725728917	1
WNT4	1286	-1	9	15	6	18	0.0852894725728917	1
CSNK1G1	1311	-1	9	17	8	15	0.0211460299952998	1
SIVA1	1722	-1	9	17	8	11	0.0302309101388428	1
BIK	1739	-1	9	17	8	11	0.0302309101388428	1
RB1CC1	1762	-1	9	16	7	17	0.0469157857595939	1
ITGB1BP1	1806	-1	9	12	3	25	0.06360920917506	1
PPP2CB	1816	-1	9	13	4	23	0.0471189451623972	1
WNT16	1914	-1	9	15	6	18	0.0852894725728917	1
PTK7	1978	-1	9	16	7	17	0.0610617880400338	1
AMOT	2044	-1	9	14	5	18	0.113964736303921	1
TJP2	2207	-1	9	14	5	18	0.113964736303921	1
HES1	2300	-1	9	17	8	14	0.0693724730856232	1
WNT5B	2343	-1	9	15	6	18	0.0852894725728917	1
CRYAA	2534	-1	9	17	8	11	0.0302309101388428	1
GPC4	2588	-1	9	17	8	11	0.152049639984464	1
WNT10A	2676	-1	9	15	6	18	0.0852894725728917	1
WNT8B	2697	-1	9	15	6	18	0.0852894725728917	1
NOXA1	2723	-1	9	14	5	17	0.0147990167436327	1
WNT9B	2742	-1	9	15	6	18	0.0852894725728917	1
PLCG1	2773	-1	9	16	7	17	0.0248542831760129	1
ANAPC10	2974	-1	9	19	10	8	0.1720231473239	1
FZR1	2975	-1	9	19	10	8	0.1720231473239	1
CDC16	3065	-1	9	19	10	8	0.1720231473239	1
S100A4	3069	-1	9	16	7	16	0.0167872440582475	1
TARDBP	3105	-1	9	11	2	24	0.0174764598783657	1
CCS	3115	-1	9	12	3	6	0.011209087446076	1
CDC23	3144	-1	9	19	10	8	0.1720231473239	1
ANAPC4	3145	-1	9	19	10	8	0.1720231473239	1
ANAPC5	3146	-1	9	19	10	8	0.1720231473239	1
NMNAT1	3186	-1	9	14	5	19	0.00504965818223021	1
ANAPC7	3208	-1	9	19	10	8	0.1720231473239	1
NOX1	3256	-1	9	12	3	6	0.011209087446076	1
DNAJC7	3345	-1	9	13	4	23	0.0617175136120053	1
ARID3A	3390	-1	9	13	4	21	0.0246439407086025	1
MOAP1	3406	-1	9	17	8	11	0.0302309101388428	1
HSPBP1	3521	-1	9	14	5	20	0.0223880612351809	1
SOD1	3533	-1	9	14	5	17	0.0147990167436327	1
PRKACA	46	1	8	14	6	20	0.232243838677543	1
TRPM7	79	1	8	10	2	0	0.0891764633210071	1
MAPK14	92	1	8	17	9	14	0.266686301864905	1
PRKN	150	1	8	15	7	18	0.0598519909770263	1
PAK1	175	1	8	12	4	24	0.131908745673272	1
WNT1	214	1	8	14	6	20	0.134835048715426	1
PRKACG	226	1	8	15	7	18	0.208962288781753	1
SFRP1	233	1	8	18	10	11	0.207823063364031	1
CDKN2A	262	1	8	14	6	20	0.0872093544709215	1
MAP3K7	323	1	8	13	5	22	0.121002020448814	1
ACAA2	578	1	8	12	4	13	0.0220297238230391	1
HDAC10	664	1	8	14	6	17	0.0677536067855753	1
ZNF420	722	1	8	15	7	17	0.0598519909770263	1
NEUROD1	797	1	8	14	6	20	0.0872093544709215	1
ATF3	805	1	8	18	10	8	0.275443185123578	1
GNA11	809	1	8	17	9	14	0.230881138907772	1
PKMYT1	825	1	8	17	9	14	0.117868138375314	1
GADD45B	895	1	8	17	9	14	0.0960826921467374	1
XIAP	898	1	8	15	7	18	0.147296479688943	1
PPP1R13L	945	1	8	17	9	13	0.0220465320704279	1
FMR1	953	1	8	12	4	24	0.131908745673272	1
CIB1	954	1	8	12	4	24	0.131908745673272	1
RILPL2	955	1	8	12	4	24	0.131908745673272	1
PAK1IP1	956	1	8	12	4	24	0.131908745673272	1
RAC3	957	1	8	12	4	24	0.131908745673272	1
RHOQ	958	1	8	12	4	24	0.131908745673272	1
CHP1	959	1	8	12	4	24	0.131908745673272	1
RAC2	960	1	8	12	4	24	0.131908745673272	1
RHOU	961	1	8	12	4	24	0.131908745673272	1
RBX1	1002	1	8	13	5	21	0.121002020448814	1
FRZB	1039	1	8	15	7	14	0.208962288781753	1
LRP5	1071	1	8	14	6	18	0.134835048715426	1
MAPK8IP2	1080	1	8	18	10	12	0.275443185123578	1
CRIPAK	1098	1	8	12	4	24	0.131908745673272	1
NR0B1	1169	1	8	14	6	19	0.163437530136368	1
MAP3K12	1215	1	8	17	9	14	0.266686301864905	1
WIF1	1233	1	8	16	8	12	0.220580331936193	1
NUP153	1270	1	8	18	10	11	0.178310689434128	1
SPAG9	1274	1	8	18	10	12	0.275443185123578	1
STK39	1396	1	8	17	9	14	0.266686301864905	1
ESRRB	1404	1	8	14	6	13	0.163437530136368	1
ZAP70	1414	1	8	16	8	16	0.297198966226816	1
ADCY5	1420	1	8	14	6	20	0.232243838677543	1
IAPP	1442	1	8	18	10	8	0.275443185123578	1
ITGB1	1624	1	8	13	5	22	0.180372170648412	1
MINK1	1637	1	8	17	9	14	0.266686301864905	1
BCAP31	1651	1	8	15	7	16	0.02143021647673	1
SYN1	1702	1	8	13	5	8	0.180372170648412	1
TAB3	1777	1	8	16	8	16	0.256780036481872	1
NOD1	1788	1	8	17	9	14	0.266686301864905	1
ARVCF	1804	1	8	17	9	13	0.40024494630968	1
CTNND2	1805	1	8	17	9	13	0.40024494630968	1
PTH	1919	1	8	14	6	15	0.19570909574247	1
AHSA1	1955	1	8	11	3	26	0.050049918536365	1
RHOH	1997	1	8	16	8	16	0.297198966226816	1
SEMA7A	2085	1	8	13	5	22	0.180372170648412	1
SKP1	2118	1	8	16	8	15	0.108318502508656	1
SMARCA2	2126	1	8	16	8	9	0.0871184526642834	1
TBXA2R	2181	1	8	14	6	20	0.232243838677543	1
UBC	2247	1	8	15	7	15	0.0598519909770263	1
PCBP2	2361	1	8	13	5	18	0.121002020448814	1
FPR2	2573	1	8	16	8	14	0.220580331936193	1
GRIP1	2596	1	8	15	7	4	0.245436807397496	1
MAPK15	2661	1	8	18	10	8	0.275443185123578	1
MYLK2	2702	1	8	15	7	4	0.245436807397496	1
DDX21	2766	1	8	18	10	8	0.275443185123578	1
VCAM1	2843	1	8	13	5	22	0.180372170648412	1
LAMA5	2875	1	8	12	4	24	0.105548077368955	1
INHBE	2889	1	8	15	7	3	0.286586869589064	1
ADAM2	2895	1	8	13	5	22	0.180372170648412	1
CHAD	2896	1	8	13	5	22	0.180372170648412	1
LEFTY2	2914	1	8	15	7	3	0.286586869589064	1
NPNT	2922	1	8	13	5	22	0.180372170648412	1
COL11A1	2940	1	8	13	5	22	0.180372170648412	1
COL3A1	2941	1	8	13	5	22	0.180372170648412	1
LAMA4	2954	1	8	13	5	22	0.180372170648412	1
LAMC3	2957	1	8	13	5	22	0.180372170648412	1
MYT1	3005	1	8	17	9	14	0.117868138375314	1
WEE2	3020	1	8	17	9	14	0.117868138375314	1
GADD45G	3022	1	8	17	9	14	0.0960826921467374	1
GNA15	3028	1	8	17	9	14	0.266686301864905	1
GNA14	3029	1	8	17	9	14	0.266686301864905	1
MFN2	3139	1	8	15	7	15	0.0598519909770263	1
UBB	3188	1	8	15	7	15	0.0598519909770263	1
PLCB2	3226	1	8	17	9	14	0.266686301864905	1
SUGT1	3236	1	8	17	9	13	0.266686301864905	1
TYROBP	3261	1	8	16	8	16	0.297198966226816	1
GTF2A2	3286	1	8	16	8	9	0.0871184526642834	1
NUP50	3297	1	8	15	7	16	0.0981158405646359	1
TERF1	3332	1	8	16	8	12	0.0382757536082425	1
BTAF1	3409	1	8	16	8	9	0.0871184526642834	1
GATA4	3414	1	8	15	7	4	0.245436807397496	1
CDK1	130	-1	8	17	9	14	0.117868138375314	1
RPL11	171	-1	8	16	8	14	0.0175761748319498	1
ATG13	181	-1	8	15	7	15	0.0776751813105011	1
CAPN2	199	-1	8	11	3	26	0.0356168825410525	1
SGK1	204	-1	8	16	8	16	0.256780036481872	1
EIF4EBP1	305	-1	8	17	9	11	0.306309763380621	1
YWHAQ	386	-1	8	14	6	20	0.0872093544709215	1
CAPNS1	415	-1	8	11	3	24	0.0356168825410525	1
KAT5	518	-1	8	17	9	14	0.0766694761505872	1
PML	519	-1	8	14	6	20	0.0510282425115006	1
TRIM28	529	-1	8	14	6	20	0.0677536067855753	1
SKP2	557	-1	8	18	10	12	0.275443185123578	1
BMI1	579	-1	8	14	6	19	0.0872093544709215	1
FOS	603	-1	8	15	7	18	0.0598519909770263	1
BLM	646	-1	8	16	8	15	0.0382757536082425	1
ZNF350	667	-1	8	14	6	17	0.0677536067855753	1
NCOR2	673	-1	8	12	4	24	0.0827347055219811	1
PMS2	689	-1	8	12	4	16	0.0466165202677356	1
MAF1	824	-1	8	16	8	9	0.0871184526642834	1
PPM1E	963	-1	8	12	4	24	0.131908745673272	1
NCSTN	1094	-1	8	15	7	8	0.02143021647673	1
TRIM33	1304	-1	8	18	10	12	0.0668448558441199	1
ITK	1383	-1	8	16	8	16	0.0267724487552541	1
EEF1A1	1386	-1	8	15	7	12	0.0317881398511362	1
GNAI3	1428	-1	8	14	6	19	0.232243838677543	1
CXCL1	1486	-1	8	14	6	20	0.232243838677543	1
GNB2	1621	-1	8	12	4	24	0.0329520000718675	1
YWHAH	1626	-1	8	12	4	24	0.0827347055219811	1
GNAZ	1703	-1	8	14	6	19	0.232243838677543	1
