"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","CHEK2, CHEK1, GADD45A, BRCA1","0.0648876404295141",1
"2","DNA_thresholded_100","CHEK2, CHEK1, GADD45A, BRCA1, PIAS4","0.185580142117459",1
"3","DNA_thresholded_200","CHEK2, CHEK1, GADD45A, BRCA1, PIAS4, HIC1","0.554455516697966",1
"4","DNA_thresholded_300","CHEK2, CHEK1, GADD45A, BRCA1, PIAS4, HIC1, SFN, ARID3A, AXIN2","0.522723196436184",1
"5","DNA_thresholded_400","CHEK2, CHEK1, GADD45A, BRCA1, PIAS4, HIC1, SFN, ARID3A, AXIN2, PPM1D","0.732038788981324",1
"6","DNA_thresholded_477","CHEK2, CHEK1, GADD45A, BRCA1, PIAS4, HIC1, SFN, ARID3A, AXIN2, PPM1D, TFDP1, TP73","0.722811358341017",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","ATF3","0.955016230256678",1
"9","ERS_thresholded_200","ATF3, PIK3R1","0.984129620287021",1
"10","ERS_thresholded_300","ATF3, PIK3R1, EP300, HSPA1A","0.978864653235854",1
"11","ERS_thresholded_400","ATF3, PIK3R1, EP300, HSPA1A, CDC25A","0.99163352019603",1
"12","ERS_thresholded_477","ATF3, PIK3R1, EP300, HSPA1A, CDC25A","0.998325546499116",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","GSK3B","0.955452209117409",1
"15","HTS_thresholded_200","GSK3B, ATM, CDKN1A, HSPA1A, MAPK1, MAPK3","0.5539054932673",1
"16","HTS_thresholded_300","GSK3B, ATM, CDKN1A, HSPA1A, MAPK1, MAPK3, PPARG","0.784585026306062",1
"17","HTS_thresholded_400","GSK3B, ATM, CDKN1A, HSPA1A, MAPK1, MAPK3, PPARG, SIRT1, EP300","0.822954264188769",1
"18","HTS_thresholded_477","GSK3B, ATM, CDKN1A, HSPA1A, MAPK1, MAPK3, PPARG, SIRT1, EP300, AKT1, FOXO1","0.808460286142748",1
"19","HYP_thresholded_050","RPS6KA5","0.789201022369704",1
"20","HYP_thresholded_100","RPS6KA5, NFKB1, VHL, BHLHE40","0.358660237616379",1
"21","HYP_thresholded_200","RPS6KA5, NFKB1, VHL, BHLHE40","0.856176346422941",1
"22","HYP_thresholded_300","RPS6KA5, NFKB1, VHL, BHLHE40","0.98037779367745",1
"23","HYP_thresholded_400","RPS6KA5, NFKB1, VHL, BHLHE40, HDAC1, NR3C1, NR4A1","0.951303246800745",1
"24","HYP_thresholded_477","RPS6KA5, NFKB1, VHL, BHLHE40, HDAC1, NR3C1, NR4A1, CDKN1A, MYOD1","0.93828296063257",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","KIT","0.954379395252373",1
"27","MTL_thresholded_200","KIT","0.997772340556404",1
"28","MTL_thresholded_300","KIT","0.999883667178364",1
"29","MTL_thresholded_400","KIT","0.99999333609968",1
"30","MTL_thresholded_477","KIT","0.999999290746705",1
"31","OXD_thresholded_050","MYB, SRC","0.453185183101226",1
"32","OXD_thresholded_100","MYB, SRC","0.81139305477611",1
"33","OXD_thresholded_200","MYB, SRC, SMAD3, SRF, TGFBR2","0.718902433177049",1
"34","OXD_thresholded_300","MYB, SRC, SMAD3, SRF, TGFBR2, STAT1","0.881712366132145",1
"35","OXD_thresholded_400","MYB, SRC, SMAD3, SRF, TGFBR2, STAT1","0.977330043384652",1
"36","OXD_thresholded_477","MYB, SRC, SMAD3, SRF, TGFBR2, STAT1, SIRT1","0.985027971432129",1
