"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","CHEK1, GADD45A, BRCA1, PIAS4, HIC1, SFN, ARID3A, PPM1D","0.501976023292996",1
"2","#upgenes.ERS_0","ATF3","0.919280433827717",1
"3","#upgenes.HTS_0","HSPA1A","0.992720637733314",1
"4","#upgenes.HYP_0","BHLHE40, CDK1, CDKN1A, ETS1, HDAC1, HIF1A, JUN, NFKB1, NR3C1, NR4A1, RELA, TP53","0.0199771123700146",1
"5","#upgenes.MTL_0","KIT","0.986539353767357",1
"6","#upgenes.OXD_0","MYB, SRC, SMAD3, SRF, TGFBR2","0.431941971516656",1
"7","#upgenes.DNA_0.25","CHEK1, GADD45A, BRCA1, PIAS4, HIC1, SFN, ARID3A, PPM1D","0.44521317441189",1
"8","#upgenes.ERS_0.25","ATF3","0.899765418938265",1
"9","#upgenes.HTS_0.25","HSPA1A","0.986526105250659",1
"10","#upgenes.HYP_0.25","BHLHE40, CDK1, CDKN1A, ETS1, HDAC1, JUN, NFKB1, NR3C1, NR4A1, RELA, TP53","0.0247707621909266",1
"11","#upgenes.MTL_0.25","KIT","0.981750019732609",1
"12","#upgenes.OXD_0.25","SRC, SMAD3, SRF","0.759513139340891",1
"13","#upgenes.DNA_0.45","CHEK1, GADD45A, BRCA1, PIAS4, SFN, ARID3A, PPM1D","0.483263374870441",1
"14","#upgenes.ERS_0.45","ATF3","0.824775900010091",1
"15","#upgenes.HTS_0.45","HSPA1A","0.97269933786552",1
"16","#upgenes.HYP_0.45","BHLHE40, CDKN1A, ETS1, JUN, NR3C1, NR4A1, RELA","0.235573240555634",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SRC, SMAD3","0.852881292629182",1
"19","#upgenes.DNA_0.5","CHEK1, GADD45A, BRCA1, PIAS4, SFN, ARID3A, PPM1D","0.483263374870441",1
"20","#upgenes.ERS_0.5","ATF3","0.824775900010091",1
"21","#upgenes.HTS_0.5","HSPA1A","0.97269933786552",1
"22","#upgenes.HYP_0.5","BHLHE40, CDKN1A, ETS1, JUN, NR3C1, NR4A1, RELA","0.235573240555634",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SRC, SMAD3","0.852881292629182",1
"25","#upgenes.DNA_0.65","CHEK1, GADD45A, BRCA1, SFN, ARID3A, PPM1D","0.376576917082129",1
"26","#upgenes.ERS_0.65","ATF3","0.768125135177478",1
"27","#upgenes.HTS_0.65","HSPA1A","0.919280433827717",1
"28","#upgenes.HYP_0.65","BHLHE40, CDKN1A, ETS1, JUN, NR3C1, NR4A1, RELA","0.135278722254325",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.87617589071576",1
"31","#upgenes.DNA_0.75","CHEK1, GADD45A, BRCA1, SFN, ARID3A, PPM1D","0.376576917082129",1
"32","#upgenes.ERS_0.75","ATF3","0.702526492176411",1
"33","#upgenes.HTS_0.75","HSPA1A","0.835343788010946",1
