"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","64/107","481/2914",4.03202234899533e-25,2.54420610221606e-22,1.50245885425721e-22,"ARID3A/E2F1/HDAC1/MYC/RBL1/RUNX1/SIRT1/SKP2/TP53/AKT1/BRCA1/CDK1/CDKN1A/CHEK1/CHEK2/ERBB2/GADD45A/KIT/MAPK3/MDM2/PPP2CA/PPP2R5C/RB1/STK11/ATM/CCND1/CTNNB1/FOXO3/GSK3B/MAPK1/NR4A1/SMAD7/SRC/TCF7/PPM1D/EP300/FBXW7/MAPK14/NR3C1/PPARG/SMAD3/AURKB/PARP1/SMAD4/ATF2/PPP2CB/PPP2R1A/SMAD2/SMURF2/TFDP1/ESR1/SFN/TP73/CREB1/JUN/SPI1/FOXO1/FOXO4/MAF/MYB/GATA2/TWIST1/STAT1/MEF2C",64
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","64/107","499/2914",3.64420324030775e-24,1.1497461223171e-21,6.78972603720497e-22,"ARID3A/E2F1/HDAC1/MYC/RBL1/RUNX1/SIRT1/SKP2/TP53/AKT1/BRCA1/CDK1/CDKN1A/CHEK1/CHEK2/ERBB2/GADD45A/KIT/MAPK3/MDM2/PPP2CA/PPP2R5C/RB1/STK11/ATM/CCND1/CTNNB1/FOXO3/GSK3B/MAPK1/NR4A1/SMAD7/SRC/TCF7/PPM1D/EP300/FBXW7/MAPK14/NR3C1/PPARG/SMAD3/AURKB/PARP1/SMAD4/ATF2/PPP2CB/PPP2R1A/SMAD2/SMURF2/TFDP1/ESR1/SFN/TP73/CREB1/JUN/SPI1/FOXO1/FOXO4/MAF/MYB/GATA2/TWIST1/STAT1/MEF2C",64
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","19/107","62/2914",1.26505067875765e-13,2.66082326098693e-11,1.57132610624635e-11,"RUNX1/SKP2/AKT1/CDK1/CDKN1A/MAPK3/RB1/CCND1/GSK3B/MAPK1/SRC/PPM1D/FBXW7/NR3C1/SMAD4/ESR1/MAF/TWIST1/STAT1",19
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","14/107","30/2914",3.07140382668482e-13,4.84513953659531e-11,2.86125514380639e-11,"MAPK3/PPP2CA/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK14/MAPK8/ATF2/PPP2CB/PPP2R1A/CREB1/JUN/MEF2C",14
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","13/107","27/2914",1.38652235538269e-12,1.74979121249296e-10,1.03332402906415e-10,"E2F1/MYC/RUNX1/CDKN1A/EP300/TFDP1/STAT3/CEBPA/CREB1/SPI1/MYB/FLI1/GATA2",13
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","19/107","77/2914",9.61140230344321e-12,9.87904287936929e-10,5.83398311668484e-10,"E2F1/HDAC1/MYC/RBL1/SKP2/AKT1/CDC25A/CDK1/CDKN1A/JAK2/PPP2CA/RB1/WEE1/CCND1/SRC/PPP2CB/PPP2R1A/TFDP1/E2F3",19
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","33/107","249/2914",1.09593185666537e-11,9.87904287936929e-10,5.83398311668484e-10,"E2F1/HDAC1/MYC/RBL1/SKP2/TP53/AKT1/BRCA1/CDC25A/CDK1/CDKN1A/CHEK1/CHEK2/JAK2/MAPK3/MDM2/PPP2CA/PPP2R5C/RB1/WEE1/ATM/CCND1/GSK3B/MAPK1/SRC/EP300/AURKB/PIAS4/PPP2CB/PPP2R1A/TFDP1/SFN/E2F3",33
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","34/107","268/2914",1.71600218594148e-11,1.35349672416134e-09,7.99295755030638e-10,"HDAC1/MYC/AKT1/CDKN1A/ERBB2/JAK2/KIT/MAPK3/MDM2/PPP2CA/PPP2R5C/CTNNB1/FOXO3/GSK3B/MAPK1/NR4A1/PIK3CA/PIK3R1/SRC/EP300/FBXW7/SMAD3/SMAD4/PPP2CB/PPP2R1A/SMAD2/TGFBR2/ESR1/STAT3/CUX1/CREB1/FOXO1/FOXO4/STAT1",34
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","15/107","49/2914",6.19743305280402e-11,4.34508917368815e-09,2.56595473765219e-09,"HDAC1/SIRT1/AKT1/CDKN1A/GADD45A/STK11/FOXO3/EP300/NR3C1/SMAD3/SMAD4/SMAD2/SFN/FOXO1/FOXO4",15
"R-HSA-450294","R-HSA-450294","MAP kinase activation","16/107","60/2914",1.3892813001346e-10,7.90030445973178e-09,4.66545629951631e-09,"MAPK3/PPP2CA/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK14/MAPK8/NOD2/NFKB1/ATF2/PPP2CB/PPP2R1A/CREB1/JUN/MEF2C",16
