"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","53/73","481/2914",5.01487837838743e-27,2.83842116216728e-24,1.51502115220757e-24,"AKT1/AKT2/AKT3/ATM/ATR/E2F1/EP300/FBXW7/HDAC1/MDM2/TP53/CSNK2A1/CSNK2B/JUN/MAPK14/RB1/SMAD3/STAT1/CREBBP/GATA1/IFNG/MAPK1/MAPK3/MED1/AR/ESR1/KAT5/MYC/NOTCH1/PML/SMAD2/TOPBP1/YAP1/CTNNB1/MAX/PPP2CA/RBL1/GATA2/SMAD1/KMT2A/SP1/MYBL2/TBP/YY1/BCL6/LEF1/HNF4A/JUNB/TCF7L2/PPARG/ESR2/TFDP1/TEAD1",53
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","53/73","499/2914",3.39645363445478e-26,9.61196378550702e-24,5.13043259520274e-24,"AKT1/AKT2/AKT3/ATM/ATR/E2F1/EP300/FBXW7/HDAC1/MDM2/TP53/CSNK2A1/CSNK2B/JUN/MAPK14/RB1/SMAD3/STAT1/CREBBP/GATA1/IFNG/MAPK1/MAPK3/MED1/AR/ESR1/KAT5/MYC/NOTCH1/PML/SMAD2/TOPBP1/YAP1/CTNNB1/MAX/PPP2CA/RBL1/GATA2/SMAD1/KMT2A/SP1/MYBL2/TBP/YY1/BCL6/LEF1/HNF4A/JUNB/TCF7L2/PPARG/ESR2/TFDP1/TEAD1",53
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","36/73","397/2914",1.14511072845844e-13,2.16044224102492e-11,1.15314659321955e-11,"AKT1/AKT2/AKT3/E2F1/EP300/CSNK2A1/CSNK2B/JUN/MAPK14/RELA/SMAD3/STAT3/CREBBP/MAPK1/MAPK3/MED1/TNF/MYC/NOTCH1/PML/SMAD2/CTNNB1/MAP2K1/MAP2K2/PRKCA/GATA2/KMT2A/FLI1/YY1/LEF1/HNF4A/MYOD1/NFKB1/PPARG/CEBPA/TFDP1",36
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","11/73","27/2914",1.06876282370216e-11,1.51229939553856e-09,8.07197185269791e-10,"E2F1/EP300/STAT3/MYC/PML/GATA2/KMT2A/FLI1/LEF1/CEBPA/TFDP1",11
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","18/73","108/2914",4.30520600020251e-11,4.73635666782774e-09,2.52805349389355e-09,"AKT1/AKT2/AKT3/EP300/HDAC1/JUN/CREBBP/MAPK1/MAPK3/MED1/ESR1/KAT5/MYC/SP1/TBP/YY1/ESR2/FOXA1",18
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","17/73","95/2914",5.02087279275026e-11,4.73635666782774e-09,2.52805349389355e-09,"AKT1/AKT2/AKT3/ATM/ATR/EP300/HDAC1/MDM2/TP53/CSNK2A1/CSNK2B/MAPK14/KAT5/PML/TOPBP1/PPP2CA/TBP",17
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","23/73","194/2914",7.32749432977289e-11,5.92480255807351e-09,3.16239228969146e-09,"AKT1/AKT2/AKT3/ATM/ATR/E2F1/EP300/HDAC1/MDM2/TP53/CSNK2A1/CSNK2B/JUN/MAPK14/CREBBP/KAT5/PML/TOPBP1/PPP2CA/RBL1/TBP/BCL6/TFDP1",23
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","25/73","249/2914",3.4591485988946e-10,2.44734763371793e-08,1.30628374721414e-08,"AKT1/AKT2/AKT3/ATM/ATR/E2F1/EP300/HDAC1/MDM2/PLK1/TP53/CSNK2A1/CSNK2B/RB1/MAPK1/MAPK3/KAT5/MYC/TOPBP1/MAX/PPP2CA/PRKCA/RBL1/MYBL2/TFDP1",25
"R-HSA-6807070","R-HSA-6807070","PTEN Regulation","13/73","59/2914",8.34206965281114e-10,5.24623491499012e-08,2.80020349749333e-08,"AKT1/AKT2/AKT3/HDAC1/TP53/CSNK2A1/CSNK2B/JUN/MAPK1/MAPK3/PML/EGR1/PPARG",13
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","16/73","99/2914",1.00273455998661e-09,5.51136583732261e-08,2.94171842163212e-08,"ATM/E2F1/MDM2/TP53/JUN/MAPK14/RB1/RELA/STAT3/MAP3K5/MAPK1/MAPK3/KAT5/SP1/NFKB1/TFDP1",16
