NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
SAV1	2074	1	15	19	4	11	0.00532701462018221	1
KSR1	1253	1	13	23	10	4	0.0548365298423582	1
RASSF3	3292	1	13	17	4	13	0.0122941769498448	1
PTPRE	1942	-1	13	21	8	8	0.0368055142983901	1
DUSP14	2968	-1	13	22	9	6	0.0652890238549189	1
STK4	817	1	12	17	5	14	0.0281509219448178	1
MAP2K3	917	1	12	21	9	7	0.0885154049810001	1
MAP3K11	1216	1	12	20	8	9	0.056320330539067	1
GNAS	1672	1	12	17	5	14	0.0163905514825528	1
FGA	1755	1	12	19	7	10	0.0605655645648404	1
ADRB3	1875	1	12	17	5	12	0.0163905514825528	1
PTGDR	1910	1	12	17	5	12	0.0163905514825528	1
PTGER2	1912	1	12	17	5	12	0.0163905514825528	1
AVPR2	2316	1	12	17	5	12	0.0163905514825528	1
GPR161	2517	1	12	17	5	12	0.0163905514825528	1
NME1	2692	-1	12	22	10	4	0.0802164639251857	1
PRKACA	46	1	11	14	3	20	0.0154491017425019	1
TUB	114	1	11	22	11	4	0.124652382807296	1
MAP2K4	177	1	11	16	5	16	0.0399338747229487	1
APC2	561	1	11	15	4	18	0.00697332604653028	1
PRKD1	567	1	11	17	6	14	0.0347344467416324	1
ARAF	840	1	11	22	11	4	0.124652382807296	1
IL2	1004	1	11	18	7	12	0.0656475625363834	1
TAOK2	1009	1	11	19	8	9	0.0847031338322387	1
MAPK8IP3	1058	1	11	19	8	9	0.0949938226921295	1
ADCY5	1420	1	11	14	3	19	0.0154491017425019	1
CCR3	2516	1	11	21	10	6	0.115449671235871	1
GNAI3	1428	-1	11	14	3	17	0.0154491017425019	1
CXCL1	1486	-1	11	14	3	19	0.0154491017425019	1
GNAZ	1703	-1	11	14	3	17	0.0154491017425019	1
PKIA	1727	-1	11	14	3	19	0.0154491017425019	1
PRKAR1B	2457	-1	11	14	3	19	0.0154491017425019	1
PRKAR2A	2458	-1	11	14	3	19	0.0154491017425019	1
ANAPC10	2974	-1	11	15	4	11	0.0133098806867012	1
FZR1	2975	-1	11	15	4	11	0.0133098806867012	1
CDC16	3065	-1	11	15	4	11	0.0133098806867012	1
CDC23	3144	-1	11	15	4	11	0.0133098806867012	1
ANAPC4	3145	-1	11	15	4	11	0.0133098806867012	1
ANAPC5	3146	-1	11	15	4	11	0.0133098806867012	1
ANAPC7	3208	-1	11	15	4	11	0.0133098806867012	1
MAPK1	113	1	10	21	11	5	0.140167663653944	1
CCL3L1	320	1	10	20	10	6	0.163372428398862	1
CXCL9	435	1	10	20	10	6	0.163372428398862	1
CCL5	437	1	10	20	10	6	0.163372428398862	1
CCL8	438	1	10	20	10	6	0.163372428398862	1
CCL4	439	1	10	20	10	6	0.163372428398862	1
COPS5	512	1	10	15	5	16	0.0312524481130151	1
MTNR1A	522	1	10	21	11	5	0.140167663653944	1
CXCL10	757	1	10	20	10	6	0.163372428398862	1
ZBTB16	798	1	10	15	5	16	0.0245312809187818	1
XIAP	898	1	10	15	5	17	0.0556491831650472	1
CXCL11	976	1	10	20	10	6	0.163372428398862	1
MAP3K10	1044	1	10	17	7	12	0.0875255704668201	1
PEA15	1202	1	10	21	11	5	0.15630950643605	1
SHC1	1212	1	10	20	10	7	0.131176533902762	1
LAMTOR3	1226	1	10	21	11	5	0.15630950643605	1
TAOK1	1228	1	10	19	9	8	0.136446184179877	1
WDR83	1290	1	10	19	9	9	0.136446184179877	1
CCL13	1460	1	10	20	10	6	0.163372428398862	1
CCL14	1461	1	10	20	10	6	0.163372428398862	1
CCL15	1462	1	10	20	10	6	0.163372428398862	1
CCL3	1464	1	10	20	10	6	0.163372428398862	1
CCL28	1467	1	10	20	10	6	0.163372428398862	1
CCL11	1469	1	10	20	10	6	0.163372428398862	1
CCL24	1470	1	10	20	10	6	0.163372428398862	1
CCL26	1471	1	10	20	10	6	0.163372428398862	1
SYN1	1702	1	10	13	3	6	0.0280761555549166	1
PTP4A3	1921	1	10	21	11	5	0.15630950643605	1
GATA2	1941	1	10	18	8	10	0.0348473624560672	1
TAOK3	1972	1	10	19	9	8	0.136446184179877	1
COPS3	2531	1	10	16	6	12	0.0660091455625317	1
CCL18	2879	1	10	20	10	6	0.163372428398862	1
NECTIN3	2880	1	10	17	7	7	0.0758946887574359	1
PLAT	2924	1	10	21	11	5	0.15630950643605	1
F11R	3041	1	10	21	11	5	0.15630950643605	1
PLD2	3042	1	10	21	11	5	0.15630950643605	1
ARF6	3043	1	10	21	11	5	0.15630950643605	1
THAP12	3320	1	10	15	5	14	0.0556491831650472	1
CD44	3361	1	10	14	4	16	0.0525261440528659	1
NECTIN1	3446	1	10	17	7	7	0.0758946887574359	1
PTPN7	1937	-1	10	21	11	5	0.140167663653944	1
PRKAR1A	2456	-1	10	13	3	20	0.0225830819244868	1
PDE4DIP	2751	-1	10	13	3	18	0.0225830819244868	1
FRS3	3206	-1	10	21	11	5	0.140167663653944	1
NRBP1	3317	-1	10	15	5	13	0.0312524481130151	1
CXCR2	3475	-1	10	13	3	6	0.0280761555549166	1
CCL2	140	1	9	19	10	7	0.204574470594361	1
PRKACG	226	1	9	13	4	20	0.0748713628279917	1
ERBB2	228	1	9	16	7	14	0.0718133679309414	1
RPS6KA1	275	1	9	14	5	18	0.0893687646057633	1
CTNNB1	284	1	9	15	6	16	0.0408853437836793	1
MAP3K8	302	1	9	18	9	10	0.119553039900764	1
SOX4	678	1	9	15	6	16	0.0408853437836793	1
CFL1	694	1	9	16	7	11	0.099414631406372	1
DUSP6	919	1	9	20	11	6	0.214321589671373	1
ACVR2B	1015	1	9	18	9	4	0.215767820071706	1
MAP3K2	1072	1	9	20	11	6	0.173287677866951	1
MAP3K20	1077	1	9	17	8	11	0.161733297564769	1
BMPR2	1105	1	9	15	6	10	0.11803620101223	1
MAP3K12	1215	1	9	17	8	12	0.125978899745262	1
CSNK1A1L	1259	1	9	15	6	16	0.0408853437836793	1
CBY1	1277	1	9	15	6	16	0.0408853437836793	1
CSNK1G1	1311	1	9	15	6	15	0.0748360400956647	1
BCL9	1324	1	9	15	6	16	0.0408853437836793	1
EEF1A1	1386	1	9	14	5	12	0.0762394780178166	1
GDF15	1515	1	9	16	7	14	0.0718133679309414	1
IQGAP1	1623	1	9	20	11	6	0.173287677866951	1
VAV2	1632	1	9	14	5	18	0.103320639970044	1
ROCK2	1657	1	9	12	3	21	0.0408162255982832	1
CYTH2	1681	1	9	20	11	5	0.214321589671373	1
GRIN2A	1759	1	9	14	5	12	0.0762394780178166	1
USP6	2067	1	9	20	11	5	0.214321589671373	1
FZD7	2302	1	9	15	6	14	0.0624590123346494	1
FZD10	2304	1	9	15	6	14	0.0624590123346494	1
FZD9	2306	1	9	15	6	14	0.0624590123346494	1
FZD6	2307	1	9	15	6	14	0.0624590123346494	1
ASAP2	2789	1	9	20	11	5	0.214321589671373	1
HAS2	2856	1	9	12	3	6	0.059057145522034	1
AANAT	2867	1	9	20	11	5	0.193129359343491	1
CD48	2884	1	9	12	3	6	0.059057145522034	1
KLK2	3011	1	9	19	10	3	0.164123378722767	1
SNCA	3074	1	9	19	10	8	0.145812613408153	1
REPS2	3203	1	9	14	5	15	0.0640078248925609	1
RHOG	3321	1	9	16	7	11	0.099414631406372	1
LAT2	3371	1	9	14	5	12	0.0762394780178166	1
ELMO2	3420	1	9	16	7	11	0.099414631406372	1
PRC1	3495	1	9	14	5	15	0.0640078248925609	1
ASAP3	3501	1	9	20	11	5	0.214321589671373	1
PKD1	86	-1	9	15	6	16	0.0408853437836793	1
EIF4EBP1	305	-1	9	17	8	7	0.125978899745262	1
CHD8	670	-1	9	15	6	16	0.0408853437836793	1
SOX17	679	-1	9	15	6	16	0.0408853437836793	1
CTNNBIP1	775	-1	9	15	6	16	0.0408853437836793	1
PRKX	1413	-1	9	14	5	15	0.0762394780178166	1
RELN	1734	-1	9	14	5	16	0.0640078248925609	1
FHIT	2115	-1	9	15	6	16	0.0408853437836793	1
SOX3	2135	-1	9	15	6	16	0.0408853437836793	1
SOX6	2136	-1	9	15	6	16	0.0408853437836793	1
PTPRU	2971	-1	9	15	6	16	0.0408853437836793	1
CHKA	3036	-1	9	15	6	16	0.0408853437836793	1
CDX2	3037	-1	9	15	6	16	0.0408853437836793	1
ANAPC11	3138	-1	9	14	5	8	0.0640078248925609	1
CDC26	3175	-1	9	13	4	10	0.0633977863257554	1
RABAC1	3230	-1	9	15	6	16	0.0408853437836793	1
HSPA14	3263	-1	9	13	4	9	0.00859276514003515	1
TBL1X	3318	-1	9	15	6	16	0.0408853437836793	1
MAPK3	112	1	8	19	11	7	0.260663152354344	1
AKT1	125	1	8	13	5	19	0.07095433705472	1
MAP2K1	277	1	8	17	9	11	0.192630798991302	1
MAP3K14	308	1	8	19	11	7	0.260663152354344	1
CARM1	419	1	8	16	8	13	0.10310026454558	1
TNFSF13B	548	1	8	19	11	7	0.260663152354344	1
RPS6KA4	583	1	8	13	5	19	0.120731726348252	1
KDM6A	614	1	8	11	3	22	0.0583635130169039	1
XPA	750	1	8	13	5	8	0.140163223029686	1
AKAP8	781	1	8	13	5	18	0.0861584950890806	1
