"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","PRKDC","0.771495670023898",1
"2","DNA_thresholded_100","PRKDC, FOXM1","0.789079108695874",1
"3","DNA_thresholded_200","PRKDC, FOXM1","0.980026634289983",1
"4","DNA_thresholded_300","PRKDC, FOXM1, SFN, CCNE1, CDK2","0.928305423789852",1
"5","DNA_thresholded_400","PRKDC, FOXM1, SFN, CCNE1, CDK2, E2F4","0.969258845002001",1
"6","DNA_thresholded_477","PRKDC, FOXM1, SFN, CCNE1, CDK2, E2F4, TOPBP1, CSNK1E","0.954599662595796",1
"7","ERS_thresholded_050","SHC1","0.769757467538293",1
"8","ERS_thresholded_100","SHC1","0.946596147482482",1
"9","ERS_thresholded_200","SHC1, PIK3R1","0.978783973002493",1
"10","ERS_thresholded_300","SHC1, PIK3R1, YWHAZ","0.991135724436288",1
"11","ERS_thresholded_400","SHC1, PIK3R1, YWHAZ, CDC25A","0.995976785327428",1
"12","ERS_thresholded_477","SHC1, PIK3R1, YWHAZ, CDC25A, CSNK2A1","0.997003557451954",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA","0.947085082937264",1
"15","HTS_thresholded_200","PRKACA, CREBBP, MAPK1, MAPK3","0.824526850581742",1
"16","HTS_thresholded_300","PRKACA, CREBBP, MAPK1, MAPK3, PPARG","0.926308133692321",1
"17","HTS_thresholded_400","PRKACA, CREBBP, MAPK1, MAPK3, PPARG, ATR, PTGS2, CSNK2A1, SUMO1","0.768890468357519",1
"18","HTS_thresholded_477","PRKACA, CREBBP, MAPK1, MAPK3, PPARG, ATR, PTGS2, CSNK2A1, SUMO1, AKT1, FOXO1, FOS","0.635187030592",1
"19","HYP_thresholded_050","RPS6KA5","0.770239827728975",1
"20","HYP_thresholded_100","RPS6KA5, NFKB1, EGR1, GAPDH, GATA3","0.156638079917097",1
"21","HYP_thresholded_200","RPS6KA5, NFKB1, EGR1, GAPDH, GATA3, TRAF6","0.497637876639929",1
"22","HYP_thresholded_300","RPS6KA5, NFKB1, EGR1, GAPDH, GATA3, TRAF6, MYBL2","0.735853143037104",1
"23","HYP_thresholded_400","RPS6KA5, NFKB1, EGR1, GAPDH, GATA3, TRAF6, MYBL2, HBP1, NR3C1","0.774086098145056",1
"24","HYP_thresholded_477","RPS6KA5, NFKB1, EGR1, GAPDH, GATA3, TRAF6, MYBL2, HBP1, NR3C1, ARNT, MYOD1","0.751636600529949",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","APP","0.945882429710233",1
"27","MTL_thresholded_200","APP","0.996877073899208",1
"28","MTL_thresholded_300","APP","0.999807987407413",1
"29","MTL_thresholded_400","APP","0.999987116380292",1
"30","MTL_thresholded_477","APP","0.999998447900656",1
"31","OXD_thresholded_050","MYB","0.770046839835958",1
"32","OXD_thresholded_100","MYB","0.946640655237314",1
"33","OXD_thresholded_200","MYB, SMAD3","0.979770055126245",1
"34","OXD_thresholded_300","MYB, SMAD3","0.998357229016204",1
"35","OXD_thresholded_400","MYB, SMAD3","0.999866553997045",1
"36","OXD_thresholded_477","MYB, SMAD3, ARNT","0.999849178910836",1
