"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","CHEK2","0.790233076905605",1
"2","DNA_thresholded_100","CHEK2","0.956004893806347",1
"3","DNA_thresholded_200","CHEK2","0.998010955320366",1
"4","DNA_thresholded_300","CHEK2, CDK2","0.999010253543531",1
"5","DNA_thresholded_400","CHEK2, CDK2, PPM1D","0.999568504783914",1
"6","DNA_thresholded_477","CHEK2, CDK2, PPM1D, TP73, GRB2","0.998643315768086",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","NCK1, NCK2, ATF3","0.585659309833968",1
"9","ERS_thresholded_200","NCK1, NCK2, ATF3","0.940502048789719",1
"10","ERS_thresholded_300","NCK1, NCK2, ATF3, NFYB","0.978826857754633",1
"11","ERS_thresholded_400","NCK1, NCK2, ATF3, NFYB","0.997583146583219",1
"12","ERS_thresholded_477","NCK1, NCK2, ATF3, NFYB, HSPB1, CSNK2A1","0.994523298494969",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA, MAPKAPK2","0.812388418852507",1
"15","HTS_thresholded_200","PRKACA, MAPKAPK2, ATM, CDKN1A, CREBBP, MAPK1, MAPK3, HSPB1","0.243133295375041",1
"16","HTS_thresholded_300","PRKACA, MAPKAPK2, ATM, CDKN1A, CREBBP, MAPK1, MAPK3, HSPB1","0.657418025474819",1
"17","HTS_thresholded_400","PRKACA, MAPKAPK2, ATM, CDKN1A, CREBBP, MAPK1, MAPK3, HSPB1, ATR, SIRT1, CSNK2A1, SUMO1","0.475112432649348",1
"18","HTS_thresholded_477","PRKACA, MAPKAPK2, ATM, CDKN1A, CREBBP, MAPK1, MAPK3, HSPB1, ATR, SIRT1, CSNK2A1, SUMO1, PRKAA1, FOS","0.482774850823963",1
"19","HYP_thresholded_050","RPS6KA5","0.789013530193667",1
"20","HYP_thresholded_100","RPS6KA5, NFKB1","0.813134825012578",1
"21","HYP_thresholded_200","RPS6KA5, NFKB1, SOX2","0.943402132912388",1
"22","HYP_thresholded_300","RPS6KA5, NFKB1, SOX2","0.994540768260816",1
"23","HYP_thresholded_400","RPS6KA5, NFKB1, SOX2, ELF3","0.997889615014606",1
"24","HYP_thresholded_477","RPS6KA5, NFKB1, SOX2, ELF3, NOTCH1, CDKN1A, MYOD1","0.987228244805757",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","MAPK9, ATF1","0.999988313312765",1
"31","OXD_thresholded_050","MYB, SRC","0.452895602907318",1
"32","OXD_thresholded_100","MYB, SRC","0.811144187620775",1
"33","OXD_thresholded_200","MYB, SRC, PRKCE, RHOA, ROCK2, SMAD3, SRF","0.383726577153786",1
"34","OXD_thresholded_300","MYB, SRC, PRKCE, RHOA, ROCK2, SMAD3, SRF, MAP3K5, STAT1","0.514667561928166",1
"35","OXD_thresholded_400","MYB, SRC, PRKCE, RHOA, ROCK2, SMAD3, SRF, MAP3K5, STAT1","0.817191362828683",1
"36","OXD_thresholded_477","MYB, SRC, PRKCE, RHOA, ROCK2, SMAD3, SRF, MAP3K5, STAT1, SIRT1","0.873521205244203",1
