NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
YWHAQ	386	1	14	17	3	21	0.00143806188591031	1
YWHAB	2029	1	14	21	7	13	0.00584319471983039	1
YWHAH	1626	1	13	16	3	22	0.00205617017869102	1
PPP4C	1096	-1	13	17	4	20	0.0039095613008798	1
SFN	2027	1	12	19	7	15	0.0150789067077031	1
PPP4R3A	1112	-1	12	16	4	19	0.00617019697112948	1
TRIM25	829	1	11	18	7	15	0.0239212635379646	1
RXRB	1172	1	11	17	6	16	0.0132540003242861	1
IFNG	348	-1	11	18	7	16	0.0241460591815479	1
GABARAP	43	1	10	16	6	18	0.0284515407198261	1
CDK1	130	1	10	16	6	19	0.0260191610470119	1
EIF4G2	470	1	10	16	6	19	0.0275472540458704	1
EIF3J	1721	1	10	16	6	18	0.0275472540458704	1
YWHAG	2028	1	10	19	9	13	0.0454650608790141	1
DACT1	2033	1	10	16	6	18	0.0284515407198261	1
LRP1B	2654	1	10	16	6	18	0.0284515407198261	1
ERBB2	228	-1	10	18	8	15	0.0386881349510127	1
YAP1	760	-1	10	17	7	17	0.0352769756323406	1
PKMYT1	825	-1	10	16	6	19	0.0260191610470119	1
TNF	879	-1	10	17	7	17	0.0352769756323406	1
ANKRD6	1129	-1	10	16	6	18	0.0284515407198261	1
DVL2	1130	-1	10	16	6	19	0.0284515407198261	1
GDF15	1515	-1	10	18	8	15	0.0386881349510127	1
GATA2	1941	-1	10	18	8	15	0.0294683750813541	1
PDHX	2752	-1	10	16	6	12	0.0291189490633556	1
VASP	2793	-1	10	13	3	21	0.0061183222621183	1
MYT1	3005	-1	10	16	6	19	0.0260191610470119	1
WEE2	3020	-1	10	16	6	19	0.0260191610470119	1
SGK1	204	1	9	17	8	16	0.0590532957164789	1
GTF2I	318	1	9	14	5	15	0.0352136687108516	1
CSNK2A1	517	1	9	18	9	14	0.0372777405047067	1
EHMT1	610	1	9	14	5	15	0.0352136687108516	1
RANBP2	858	1	9	15	6	20	0.0432567266202635	1
RIMS1	1627	1	9	13	4	24	0.0272367549688917	1
ATXN2L	2281	1	9	16	7	16	0.0512326462762959	1
CTNNA2	2538	1	9	16	7	16	0.0505922336460027	1
KLK6	3025	1	9	17	8	16	0.0590532957164789	1
RICTOR	3033	1	9	17	8	16	0.0590532957164789	1
EPOR	17	-1	9	11	2	28	0.0126899610024964	1
PRKACG	226	-1	9	13	4	24	0.0265534582030682	1
TLR4	357	-1	9	15	6	17	0.0418558325759802	1
TLR5	402	-1	9	14	5	21	0.0349526753875354	1
NOLC1	559	-1	9	18	9	14	0.0372777405047067	1
FBXO31	671	-1	9	14	5	15	0.0352136687108516	1
TLR10	707	-1	9	14	5	21	0.0349526753875354	1
TLR8	708	-1	9	14	5	21	0.0349526753875354	1
FBXW8	729	-1	9	14	5	15	0.0352136687108516	1
IL5	1183	-1	9	16	7	16	0.0512326462762959	1
THPO	1208	-1	9	16	7	16	0.0512326462762959	1
SHC1	1212	-1	9	18	9	14	0.0669606490130847	1
CBLB	1429	-1	9	11	2	28	0.00671313823611046	1
RSPO2	1536	-1	9	15	6	20	0.0429611194767259	1
RSPO3	1537	-1	9	15	6	20	0.0429611194767259	1
RBP1	1649	-1	9	17	8	16	0.0591584330505612	1
TLR1	1795	-1	9	14	5	21	0.0349526753875354	1
TLR6	1796	-1	9	14	5	21	0.0349526753875354	1
FLT3	1946	-1	9	14	5	22	0.0281386885431983	1
SDC4	1985	-1	9	15	6	20	0.0429611194767259	1
PAK5	3038	-1	9	15	6	20	0.0429611194767259	1
SNCA	3074	-1	9	17	8	16	0.0590532957164789	1
TPPP	3284	-1	9	17	8	16	0.0590532957164789	1
SIX1	108	1	8	16	8	17	0.0614105464026091	1
RALBP1	222	1	8	15	7	19	0.0732888153462063	1
RACGAP1	754	1	8	15	7	19	0.0732888153462063	1
CKS1B	939	1	8	13	5	23	0.0518379393758893	1
CCND1	943	1	8	15	7	19	0.072945721044268	1
SNX9	1310	1	8	18	10	13	0.0509214645151198	1
DLG1	1708	1	8	16	8	17	0.0710856620244754	1
PTPN7	1937	1	8	18	10	13	0.100964029813336	1
PTPRE	1942	1	8	17	9	15	0.0921170563372442	1
YWHAE	2030	1	8	17	9	15	0.0914386956348337	1
SRGAP3	2150	1	8	17	9	15	0.0914386956348337	1
LATS2	2310	1	8	17	9	15	0.0870524196738646	1
ARAP1	2364	1	8	15	7	19	0.0732888153462063	1
ARAP3	2366	1	8	15	7	19	0.0732888153462063	1
ARHGAP4	2367	1	8	17	9	15	0.0914386956348337	1
ARHGAP9	2371	1	8	17	9	15	0.0914386956348337	1
ARHGAP12	2375	1	8	17	9	15	0.0914386956348337	1
ARHGAP15	2376	1	8	17	9	15	0.0914386956348337	1
ARHGAP27	2383	1	8	17	9	15	0.0914386956348337	1
ARHGAP33	2388	1	8	17	9	15	0.0914386956348337	1
ARHGAP39	2390	1	8	15	7	19	0.0732888153462063	1
ARHGAP44	2392	1	8	17	9	15	0.0914386956348337	1
CHN2	2394	1	8	17	9	15	0.0914386956348337	1
FAM13A	2395	1	8	17	9	15	0.0914386956348337	1
FAM13B	2396	1	8	15	7	19	0.0732888153462063	1
SH3BP1	2400	1	8	17	9	15	0.0914386956348337	1
SRGAP2	2402	1	8	15	7	19	0.0732888153462063	1
SYDE2	2405	1	8	17	9	15	0.0914386956348337	1
ABR	2407	1	8	17	9	15	0.0914386956348337	1
PRKAR2B	2459	1	8	12	4	23	0.042393762218661	1
UCHL1	2487	1	8	16	8	17	0.0820211413613335	1
ICAM1	2621	1	8	18	10	13	0.0509214645151198	1
ARHGAP24	2790	1	8	17	9	15	0.0914386956348337	1
SERPINE1	2931	1	8	17	9	14	0.0921170563372442	1
