"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","51/88","481/2914",2.90038849742384e-19,1.80694203389505e-16,1.21205708787081e-16,"CDK5/E2F1/EGFR/ESR1/MAPK11/MAPK14/SOCS3/SRC/ABL1/CDK1/CSNK2A1/RB1/RUNX1/TP53/AKT1/CDK2/CTNNB1/ESR2/FOXO1/JUN/NCOR2/NR3C1/PPARA/PPARG/RARA/RARG/RXRB/VDR/ATM/CDKN1A/CDKN1B/FOXO3/GADD45A/SMAD3/STK11/WWTR1/YAP1/YWHAH/YWHAQ/MYBL2/TBP/TFDP1/AR/TP73/ARID3A/BCL6/GATA2/TCF7/KLF4/SPI1/GATA3",51
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","51/88","499/2914",1.59848771901543e-18,4.97928924473306e-16,3.33999802341645e-16,"CDK5/E2F1/EGFR/ESR1/MAPK11/MAPK14/SOCS3/SRC/ABL1/CDK1/CSNK2A1/RB1/RUNX1/TP53/AKT1/CDK2/CTNNB1/ESR2/FOXO1/JUN/NCOR2/NR3C1/PPARA/PPARG/RARA/RARG/RXRB/VDR/ATM/CDKN1A/CDKN1B/FOXO3/GADD45A/SMAD3/STK11/WWTR1/YAP1/YWHAH/YWHAQ/MYBL2/TBP/TFDP1/AR/TP73/ARID3A/BCL6/GATA2/TCF7/KLF4/SPI1/GATA3",51
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","40/88","397/2914",1.44126898799343e-13,2.99303526506636e-11,2.00766241485401e-11,"CDK5/E2F1/EGFR/FYN/GRB2/MAPK11/MAPK14/PIK3CA/RET/SRC/ABL1/CSNK2A1/ROCK2/RUNX1/AKT1/CDK2/CTNNB1/FOXO1/JUN/NCOR2/NR2F2/PPARA/PPARG/RARA/RARG/CDKN1A/FOXO3/GRB10/RHOA/SMAD3/TFDP1/MYOD1/CEBPA/GATA2/STAT3/KLF4/SPI1/NFKB1/TCF4/RELA",40
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","10/88","27/2914",2.08736355639705e-09,3.2510687390884e-07,2.18074561023586e-07,"E2F1/RUNX1/CDK2/RARA/CDKN1A/TFDP1/CEBPA/GATA2/STAT3/SPI1",10
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","12/88","49/2914",9.98780086894879e-09,1.24447998827102e-06,8.34769883152141e-07,"AKT1/FOXO1/NR3C1/CDKN1A/CDKN1B/FOXO3/GADD45A/SMAD3/STK11/YWHAQ/BCL6/KLF4",12
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","22/88","194/2914",2.52021582144939e-08,2.61682409460495e-06,1.75530821248317e-06,"CDK5/E2F1/MAPK11/MAPK14/CDK1/CSNK2A1/TP53/AKT1/CDK2/JUN/ATM/CDKN1A/CDKN1B/GADD45A/STK11/YWHAH/YWHAQ/TBP/TFDP1/TP73/ARID3A/BCL6",22
"R-HSA-9617828","R-HSA-9617828","FOXO-mediated transcription of cell cycle genes","7/88","14/2914",5.21587548512347e-08,3.94110987988312e-06,2.64361007402821e-06,"FOXO1/CDKN1A/CDKN1B/FOXO3/GADD45A/SMAD3/KLF4",7
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","18/88","136/2914",5.40624981860355e-08,3.94110987988312e-06,2.64361007402821e-06,"EGFR/ESR1/PIK3CA/SRC/RUNX1/AKT1/ESR2/JUN/NCOR2/NRIP1/RARA/RARG/RXRB/CDKN1B/FOXO3/TBP/ELK1/GATA3",18
"R-HSA-383280","R-HSA-383280","Nuclear Receptor transcription pathway","11/88","46/2914",5.69341716194992e-08,3.94110987988312e-06,2.64361007402821e-06,"ESR1/ESR2/NCOR2/NR3C1/PPARA/PPARG/RARA/RARG/RXRB/VDR/AR",11
"R-HSA-6791312","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","9/88","30/2914",1.17780296234522e-07,7.33771245541069e-06,4.92197659001106e-06,"E2F1/CDK1/TP53/CDK2/CDKN1A/CDKN1B/GADD45A/TFDP1/ARID3A",9
