NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
RNF11	2007	1	15	19	4	12	0.00177896149077895	1
DVL2	1130	-1	14	19	5	12	0.00246964477434185	1
GABARAP	43	1	13	18	5	12	0.00444039702611732	1
DACT1	2033	1	13	18	5	12	0.00444039702611732	1
LRP1B	2654	1	13	18	5	12	0.00444039702611732	1
RAC1	936	-1	13	21	8	8	0.00757338400060807	1
ANKRD6	1129	-1	13	18	5	12	0.00444039702611732	1
IL6	440	1	12	14	2	19	0.00223974019463472	1
TBC1D15	3294	1	12	14	2	8	0.00181711863828283	1
SHC1	1212	-1	12	20	8	9	0.0125908426618095	1
RALBP1	222	1	11	17	6	12	0.0103998091785988	1
CDH1	242	1	11	14	3	18	0.00793823727875768	1
RACGAP1	754	1	11	17	6	12	0.0103998091785988	1
PTHLH	1599	1	11	13	2	19	0.00472303010457484	1
SRGAP3	2150	1	11	19	8	8	0.0202768150275222	1
ARAP1	2364	1	11	17	6	12	0.0103998091785988	1
ARAP3	2366	1	11	17	6	12	0.0103998091785988	1
ARHGAP4	2367	1	11	19	8	8	0.0202768150275222	1
ARHGAP9	2371	1	11	19	8	8	0.0202768150275222	1
ARHGAP12	2375	1	11	19	8	8	0.0202768150275222	1
ARHGAP15	2376	1	11	19	8	8	0.0202768150275222	1
ARHGAP27	2383	1	11	19	8	8	0.0202768150275222	1
ARHGAP33	2388	1	11	19	8	8	0.0202768150275222	1
ARHGAP39	2390	1	11	17	6	12	0.0103998091785988	1
ARHGAP44	2392	1	11	19	8	8	0.0202768150275222	1
CHN2	2394	1	11	19	8	8	0.0202768150275222	1
FAM13A	2395	1	11	19	8	8	0.0202768150275222	1
FAM13B	2396	1	11	17	6	12	0.0103998091785988	1
SH3BP1	2400	1	11	19	8	8	0.0202768150275222	1
SRGAP2	2402	1	11	17	6	12	0.0103998091785988	1
SYDE2	2405	1	11	19	8	8	0.0202768150275222	1
ABR	2407	1	11	19	8	8	0.0202768150275222	1
ARHGAP24	2790	1	11	19	8	8	0.0202768150275222	1
FBLN1	3095	1	11	17	6	11	0.0103998091785988	1
NCF2	3097	1	11	19	8	8	0.0202768150275222	1
HACD3	3427	1	11	19	8	8	0.0202768150275222	1
TIAM1	183	-1	11	19	8	8	0.0202768150275222	1
CFL1	694	-1	11	19	8	7	0.0202768150275222	1
TLR2	703	-1	11	18	7	10	0.0137178449976277	1
MTSS1	1298	-1	11	19	8	8	0.0202768150275222	1
RASA1	1387	-1	11	12	1	22	0.00200657679932862	1
FN1	1694	-1	11	17	6	12	0.0103998091785988	1
DOCK3	2423	-1	11	19	8	8	0.0202768150275222	1
DOCK10	2424	-1	11	19	8	8	0.0202768150275222	1
FGD5	2429	-1	11	19	8	8	0.0202768150275222	1
PREX1	2439	-1	11	19	8	8	0.0202768150275222	1
TIAM2	2442	-1	11	19	8	8	0.0202768150275222	1
DIAPH1	2544	-1	11	17	6	11	0.0103998091785988	1
DLK1	2681	-1	11	17	6	11	0.0103998091785988	1
ELMO1	2802	-1	11	19	8	8	0.0202768150275222	1
DOCK1	2807	-1	11	19	8	8	0.0202768150275222	1
RNASE2	2928	-1	11	18	7	9	0.0137178449976277	1
KALRN	3100	-1	11	19	8	8	0.0202768150275222	1
REPS2	3203	-1	11	17	6	11	0.0103998091785988	1
RHOG	3321	-1	11	19	8	7	0.0202768150275222	1
ELMO2	3420	-1	11	19	8	7	0.0202768150275222	1
DOCK2	3426	-1	11	19	8	8	0.0202768150275222	1
ACTA1	3467	-1	11	19	8	8	0.0202768150275222	1
PRC1	3495	-1	11	17	6	11	0.0103998091785988	1
PGR	676	1	10	13	3	18	0.0135468756426962	1
LIMK1	692	1	10	13	3	4	0.00587919471621187	1
LIMK2	696	1	10	13	3	4	0.00587919471621187	1
SIRT3	902	1	10	14	4	6	0.0117295587291508	1
PRL	1022	1	10	16	6	12	0.0296829416704495	1
PTPN7	1937	1	10	19	9	9	0.0328742145495585	1
MNAT1	2130	1	10	18	8	8	0.0446915182942319	1
TESK1	2190	1	10	13	3	4	0.00587919471621187	1
TESK2	2191	1	10	13	3	4	0.00587919471621187	1
PCBP2	2361	1	10	15	5	12	0.0266600597865155	1
CHN1	2393	1	10	18	8	9	0.0277396331461981	1
ICAM1	2621	1	10	17	7	11	0.0409357763799316	1
TNC	2937	1	10	16	6	13	0.0326512075676598	1
CBLL1	3104	1	10	13	3	16	0.0125343836497734	1
FRS3	3206	1	10	19	9	9	0.0328742145495585	1
CSE1L	3397	1	10	13	3	16	0.0125343836497734	1
MAPK1	113	-1	10	19	9	9	0.0328742145495585	1
MAP3K8	302	-1	10	16	6	15	0.0243123675983872	1
MTNR1A	522	-1	10	19	9	9	0.0328742145495585	1
KIF4A	732	-1	10	13	3	5	0.00587919471621187	1
LRP5	1071	-1	10	17	7	12	0.0358241041505913	1
MAP3K2	1072	-1	10	18	8	11	0.0277396331461981	1
IRS2	1257	-1	10	15	5	15	0.0105646828466073	1
CTNND1	1891	-1	10	18	8	9	0.0316994172932451	1
SDC4	1985	-1	10	17	7	12	0.0298227068609345	1
SSH1	2156	-1	10	13	3	4	0.00587919471621187	1
SSH2	2157	-1	10	13	3	4	0.00587919471621187	1
SSH3	2158	-1	10	13	3	4	0.00587919471621187	1
MLF1	2682	-1	10	13	3	5	0.00415359170218061	1
PLCG1	2773	-1	10	18	8	11	0.0354440895878229	1
NRBP1	3317	-1	10	13	3	16	0.0125343836497734	1
SOCS3	429	1	9	12	3	21	0.0143699581355487	1
COPS5	512	1	9	13	4	20	0.0292437499544884	1
ESR1	675	1	9	16	7	14	0.0498501429700533	1
XRCC6	896	1	9	15	6	13	0.0384105079411597	1
SNX9	1310	1	9	16	7	12	0.0610414028471187	1
HNF1A	1408	1	9	15	6	13	0.0421801509328976	1
SH3KBP1	1648	1	9	14	5	16	0.0396066926906642	1
STIL	2163	1	9	16	7	13	0.0605679611041266	1
GTF2H2	2466	1	9	15	6	13	0.0421801509328976	1
KMT2D	2643	1	9	15	6	13	0.0421801509328976	1
ASH2L_DPY30_KMT2D_RBBP5_WDR5	2683	1	9	15	6	13	0.0421801509328976	1
POU4F1	2781	1	9	15	6	13	0.0421801509328976	1
POU4F2	2782	1	9	15	6	13	0.0421801509328976	1
PPARGC1A	3110	1	9	15	6	13	0.0454550511490458	1
EPOR	17	-1	9	11	2	22	0.0108406742549505	1
PHB2	77	-1	9	15	6	13	0.0421801509328976	1
CHUK	126	-1	9	17	8	12	0.048202617988609	1
AXIN1	389	-1	9	17	8	12	0.0613101496278309	1
TLR5	402	-1	9	14	5	16	0.0273271640686785	1
SIRT6	511	-1	9	14	5	17	0.0344637156440335	1
TLR10	707	-1	9	14	5	16	0.0273271640686785	1
TLR8	708	-1	9	14	5	16	0.0273271640686785	1
MPG	710	-1	9	15	6	13	0.0421801509328976	1
TLR7	727	-1	9	17	8	10	0.0320726881573797	1
NCK1	962	-1	9	14	5	16	0.0232876952278312	1
SOS1	1241	-1	9	16	7	12	0.0208705567827866	1
RSPO2	1536	-1	9	16	7	12	0.0457432551699577	1
RSPO3	1537	-1	9	16	7	12	0.0457432551699577	1
RAP1A	1634	-1	9	17	8	12	0.0376594053513927	1
RBP1	1649	-1	9	17	8	10	0.048202617988609	1
ERC1	1774	-1	9	16	7	11	0.0412303540739114	1
CD14	1782	-1	9	17	8	10	0.0320726881573797	1
TLR1	1795	-1	9	14	5	16	0.0273271640686785	1
TLR6	1796	-1	9	14	5	16	0.0273271640686785	1
AP2M1	2501	-1	9	14	5	16	0.0411483714713117	1
COPS3	2531	-1	9	16	7	11	0.0208705567827866	1
EPS15	2993	-1	9	11	2	21	0.0126164154481959	1
PAK5	3038	-1	9	15	6	14	0.0250814915922827	1
SAFB	3163	-1	9	15	6	13	0.0421801509328976	1
RASGRP2	3197	-1	9	16	7	12	0.0363894460621025	1
MMS19	3510	-1	9	15	6	13	0.0421801509328976	1
ITCH	51	1	8	17	9	11	0.101376036737111	1
