"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","PRKDC","0.449183674366038",1
"2","DNA_thresholded_100","PRKDC","0.69661961619192",1
"3","DNA_thresholded_200","PRKDC","0.907005882672023",1
"4","DNA_thresholded_300","PRKDC","0.97136011340945",1
"5","DNA_thresholded_400","PRKDC","0.991127470673037",1
"6","DNA_thresholded_477","PRKDC, TP73","0.974516135825474",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","CSNK2B","0.969938318309447",1
"11","ERS_thresholded_400","CSNK2B","0.990328818771163",1
"12","ERS_thresholded_477","CSNK2B, CSNK2A1","0.971993924423014",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA","0.694978242926881",1
"15","HTS_thresholded_200","PRKACA, MAPK1, MAPK3","0.405202909729405",1
"16","HTS_thresholded_300","PRKACA, MAPK1, MAPK3, CSNK2B, PPARG","0.244547135144427",1
"17","HTS_thresholded_400","PRKACA, MAPK1, MAPK3, CSNK2B, PPARG, SIRT1, CSNK2A1","0.144641985702447",1
"18","HTS_thresholded_477","PRKACA, MAPK1, MAPK3, CSNK2B, PPARG, SIRT1, CSNK2A1, AKT1","0.139433607233315",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","SOX2","0.906818428752379",1
"22","HYP_thresholded_300","SOX2","0.971130025860443",1
"23","HYP_thresholded_400","SOX2","0.990961351689682",1
"24","HYP_thresholded_477","SOX2","0.996324351762383",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","MAPK9","0.995510680632903",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","SMAD3","0.906443343565399",1
"34","OXD_thresholded_300","SMAD3","0.970725446328099",1
"35","OXD_thresholded_400","SMAD3","0.990464662512955",1
"36","OXD_thresholded_477","SMAD3, SIRT1","0.971816517081013",1
