"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","7/40","10/2914",6.17785708794048e-12,2.61941140528676e-09,1.74280599954531e-09,"MAPK1/MAPK10/MAPK11/MAPK14/MAPK3/MAPK8/MAPK9",7
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","8/40","30/2914",2.83754000177835e-09,4.73380161377644e-07,3.14959988205583e-07,"MAPK1/MAPK10/MAPK11/MAPK14/MAPK3/MAPK8/MAPK9/MEF2A",8
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","9/40","44/2914",3.34938793427579e-09,4.73380161377644e-07,3.14959988205583e-07,"MAPK1/MAPK10/MAPK11/MAPK14/MAPK3/MAPK8/MAPK9/E2F1/TP53",9
"R-HSA-5668599","R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","6/40","16/2914",3.28506450343663e-08,3.48216837364283e-06,2.31683496558163e-06,"MAPK1/MAPK11/MAPK14/MAPK3/PRKCD/RAC1",6
"R-HSA-2871796","R-HSA-2871796","FCERI mediated MAPK activation","7/40","30/2914",8.58079707099596e-08,7.27651591620457e-06,4.84137603163561e-06,"MAPK1/MAPK10/MAPK3/MAPK8/MAPK9/PAK1/RAC1",7
"R-HSA-445144","R-HSA-445144","Signal transduction by L1","6/40","20/2914",1.527175455715e-07,1.07920398870527e-05,7.18040389704598e-06,"CSNK2A1/CSNK2B/MAPK1/MAPK3/PAK1/RAC1",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","19/40","397/2914",1.98780004843254e-07,1.20403888647914e-05,8.01098365383341e-06,"CSNK2A1/CSNK2B/MAPK1/MAPK11/MAPK14/MAPK3/MAPK8/PRKACA/AKT1/CTNNB1/PAK1/RAC1/SMAD3/E2F1/GATA2/MEF2A/SOX2/PPARG/FLI1",19
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","21/40","499/2914",2.85215244856009e-07,1.51164079773685e-05,1.00575902133435e-05,"CSNK2A1/CSNK2B/MAPK1/MAPK11/MAPK14/MAPK3/PRKACA/SIRT1/STK11/AKT1/CTNNB1/SMAD3/E2F1/GATA2/BCL6/SOX2/TP53/PPARG/SMAD1/TP73/POU2F1",21
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","10/40","99/2914",4.71898664458727e-07,2.22316704145e-05,1.47916774356654e-05,"MAPK1/MAPK10/MAPK11/MAPK14/MAPK3/MAPK8/MAPK9/E2F1/ETS1/TP53",10
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","20/40","481/2914",8.31140373359493e-07,3.52403518304425e-05,2.34469073747731e-05,"CSNK2A1/CSNK2B/MAPK1/MAPK11/MAPK14/MAPK3/PRKACA/SIRT1/STK11/AKT1/CTNNB1/SMAD3/E2F1/GATA2/BCL6/SOX2/TP53/PPARG/SMAD1/TP73",20
"R-HSA-450294","R-HSA-450294","MAP kinase activation","8/40","60/2914",9.21646441816833e-07,3.55252810300306e-05,2.36364829097523e-05,"MAPK1/MAPK10/MAPK11/MAPK14/MAPK3/MAPK8/MAPK9/MEF2A",8
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","8/40","64/2914",1.532262916595e-06,5.41399563863568e-05,3.60216194427598e-05,"MAPK1/MAPK10/MAPK11/MAPK14/MAPK3/MAPK8/MAPK9/MEF2A",8
"R-HSA-109606","R-HSA-109606","Intrinsic Pathway for Apoptosis","7/40","49/2914",2.99257215027795e-06,9.76038916706038e-05,6.49400272287037e-05,"MAPK1/MAPK3/MAPK8/AKT1/E2F1/TP53/TP73",7
"R-HSA-109581","R-HSA-109581","Apoptosis","9/40","101/2914",5.65040956148731e-06,0.000157588863399686,0.00010485058438708,"MAPK1/MAPK3/MAPK8/AKT1/CTNNB1/PRKCD/E2F1/TP53/TP73",9
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","5/40","21/2914",6.5309541527044e-06,0.000157588863399686,0.00010485058438708,"MAPK1/MAPK11/MAPK14/MAPK3/MEF2A",5
