"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1, PRKDC","0.330485904062946",1
"2","DNA_thresholded_100","BRCA1, PRKDC, PPP4C","0.416562534649975",1
"3","DNA_thresholded_200","BRCA1, PRKDC, PPP4C","0.847554895412344",1
"4","DNA_thresholded_300","BRCA1, PRKDC, PPP4C, ARID3A","0.917425552291798",1
"5","DNA_thresholded_400","BRCA1, PRKDC, PPP4C, ARID3A, HMGB1","0.952306884398116",1
"6","DNA_thresholded_477","BRCA1, PRKDC, PPP4C, ARID3A, HMGB1, TP73","0.960468118500778",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","EP300","0.999134696074121",1
"11","ERS_thresholded_400","EP300","0.999911657112163",1
"12","ERS_thresholded_477","EP300","0.999984707351017",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA, GSK3B","0.683480757644303",1
"15","HTS_thresholded_200","PRKACA, GSK3B, ATM, MAPK1, MAPK3","0.489477078520823",1
"16","HTS_thresholded_300","PRKACA, GSK3B, ATM, MAPK1, MAPK3, PPARG","0.678032691398589",1
"17","HTS_thresholded_400","PRKACA, GSK3B, ATM, MAPK1, MAPK3, PPARG, EP300","0.793774700465063",1
"18","HTS_thresholded_477","PRKACA, GSK3B, ATM, MAPK1, MAPK3, PPARG, EP300, AKT1, FOXO1, PPARGC1A, FOS","0.469293870946742",1
"19","HYP_thresholded_050","RPS6KA5","0.697540144334471",1
"20","HYP_thresholded_100","RPS6KA5, NFKB1, EGR1, BHLHE40, GATA3","0.0824219876491923",1
"21","HYP_thresholded_200","RPS6KA5, NFKB1, EGR1, BHLHE40, GATA3","0.489231536224061",1
"22","HYP_thresholded_300","RPS6KA5, NFKB1, EGR1, BHLHE40, GATA3, MYBL2","0.680869566432331",1
"23","HYP_thresholded_400","RPS6KA5, NFKB1, EGR1, BHLHE40, GATA3, MYBL2, HBP1, NR3C1","0.674340145114014",1
"24","HYP_thresholded_477","RPS6KA5, NFKB1, EGR1, BHLHE40, GATA3, MYBL2, HBP1, NR3C1, MAPK7","0.734141496853155",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","CDK5","0.990821544679036",1
"28","MTL_thresholded_300","CDK5","0.999049850405952",1
"29","MTL_thresholded_400","CDK5","0.999894420330319",1
"30","MTL_thresholded_477","CDK5, MAPK9","0.999759144012369",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","","1",1
"34","OXD_thresholded_300","STAT1, STAT6","0.993024177629649",1
"35","OXD_thresholded_400","STAT1, STAT6","0.999053361888754",1
"36","OXD_thresholded_477","STAT1, STAT6","0.999798400224227",1
