"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","49/77","481/2914",4.82600848581788e-21,2.66878269265729e-18,1.62560285838076e-18,"ABL1/AKT1/AKT2/AKT3/BRCA1/CDK5/CTNNB1/EP300/GATA1/KAT2B/MAPK14/MDM2/PARP1/PPP2R5C/RB1/STAT1/E2F1/FBXW7/FOXO1/HDAC5/MAML1/NR3C1/PPARG/PPARGC1A/STK11/TP53/WWTR1/YWHAQ/ATM/FOXO3/HDAC3/HDAC4/MAPK1/PRKACA/GSK3B/MAPK3/TP73/LEF1/TCF7/GATA2/MYBL2/SP1/FOS/MEF2C/ESRRA/TAF1/ARID3A/TWIST1/GATA3",49
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","49/77","499/2914",2.61824909496543e-20,7.23945874757943e-18,4.40968268625757e-18,"ABL1/AKT1/AKT2/AKT3/BRCA1/CDK5/CTNNB1/EP300/GATA1/KAT2B/MAPK14/MDM2/PARP1/PPP2R5C/RB1/STAT1/E2F1/FBXW7/FOXO1/HDAC5/MAML1/NR3C1/PPARG/PPARGC1A/STK11/TP53/WWTR1/YWHAQ/ATM/FOXO3/HDAC3/HDAC4/MAPK1/PRKACA/GSK3B/MAPK3/TP73/LEF1/TCF7/GATA2/MYBL2/SP1/FOS/MEF2C/ESRRA/TAF1/ARID3A/TWIST1/GATA3",49
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","17/77","62/2914",7.02116410905856e-14,1.29423458410313e-11,7.88341233297803e-12,"ABL1/AKT1/AKT2/AKT3/RB1/STAT1/FBXW7/NR3C1/PPARGC1A/WWTR1/HDAC3/HDAC4/MAPK1/GSK3B/MAPK3/ESRRA/TWIST1",17
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","34/77","397/2914",3.00956358846904e-11,4.16072166105844e-09,2.53436933765814e-09,"ABL1/AKT1/AKT2/AKT3/CDK5/CTNNB1/EP300/KAT2B/MAPK14/PAK2/PTK2/RELA/E2F1/FOXO1/MAML1/NR2F2/PPARG/PPARGC1A/RPS6KA1/RPS6KA2/RPS6KA4/RPS6KA5/FOXO3/HDAC3/MAPK1/PRKACA/GSK3B/MAPK3/MAPK7/NFKB1/LEF1/FLI1/GATA2/MEF2C",34
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","10/77","30/2914",1.79972554383417e-09,1.99049645148059e-07,1.21244668216196e-07,"MAPK14/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MAPK9/FOS/MEF2C",10
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","16/77","99/2914",2.32771187665398e-09,2.14537444631608e-07,1.30678561496364e-07,"MAPK14/MDM2/RB1/RELA/E2F1/RPS6KA1/RPS6KA2/TP53/ATM/MAPK1/MAPK3/MAPK7/MAPK9/NFKB1/SP1/FOS",16
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","8/77","21/2914",2.5406909216714e-08,1.85293376145676e-06,1.12865480853938e-06,"MAPK14/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MEF2C",8
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","11/77","49/2914",2.75845843858335e-08,1.85293376145676e-06,1.12865480853938e-06,"AKT1/AKT2/AKT3/EP300/KAT2B/FOXO1/NR3C1/PPARGC1A/STK11/YWHAQ/FOXO3",11
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","20/77","187/2914",3.01562456656615e-08,1.85293376145676e-06,1.12865480853938e-06,"EP300/MAPK14/MDM2/RB1/RELA/E2F1/NR3C1/RPS6KA1/RPS6KA2/TP53/ATM/MAPK1/GSK3B/MAPK3/MAPK7/MAPK9/NFKB1/SP1/FOS/HIF1A",20
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","20/77","189/2914",3.62699760030447e-08,2.00572967296837e-06,1.22172550747098e-06,"EP300/MAPK14/MDM2/RB1/RELA/E2F1/NR3C1/RPS6KA1/RPS6KA2/TP53/ATM/MAPK1/GSK3B/MAPK3/MAPK7/MAPK9/NFKB1/SP1/FOS/HIF1A",20
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","13/77","78/2914",6.12276586659648e-08,2.6045304032522e-06,1.58646564964443e-06,"MAPK14/RELA/HMGB1/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MAPK9/NFKB1/FOS/MEF2C",13
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","13/77","78/2914",6.12276586659648e-08,2.6045304032522e-06,1.58646564964443e-06,"MAPK14/RELA/HMGB1/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MAPK9/NFKB1/FOS/MEF2C",13
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","13/77","78/2914",6.12276586659648e-08,2.6045304032522e-06,1.58646564964443e-06,"MAPK14/RELA/HMGB1/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MAPK9/NFKB1/FOS/MEF2C",13
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","11/77","53/2914",6.62994694087056e-08,2.61882904164387e-06,1.59517520381848e-06,"CTNNB1/EP300/KAT2B/MDM2/MAML1/TP53/WWTR1/FOXO3/HDAC4/LEF1/TCF7",11
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","8/77","24/2914",8.61329347725831e-08,2.95809615342028e-06,1.80182881715902e-06,"MAPK14/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MEF2C",8
"R-HSA-9634638","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling","8/77","24/2914",8.61329347725831e-08,2.95809615342028e-06,1.80182881715902e-06,"AKT1/AKT2/AKT3/PTK2/FOXO3/MAPK1/MAPK3/FOS",8
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","14/77","95/2914",9.09360481159941e-08,2.95809615342028e-06,1.80182881715902e-06,"AKT1/AKT2/AKT3/BRCA1/CDK5/EP300/MAPK14/MDM2/PPP2R5C/STK11/TP53/ATM/TP73/TAF1",14
"R-HSA-9614399","R-HSA-9614399","Regulation of localization of FOXO transcription factors","6/77","11/2914",1.16488299731042e-07,3.57877943062592e-06,2.17989800666278e-06,"AKT1/AKT2/AKT3/FOXO1/YWHAQ/FOXO3",6
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","13/77","83/2914",1.32251008133649e-07,3.84920039462674e-06,2.34461621067965e-06,"MAPK14/RELA/HMGB1/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK3/MAPK7/MAPK9/NFKB1/FOS/MEF2C",13
