"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","43/77","481/2914",1.48007685964942e-15,9.5316949761423e-13,5.96704670784979e-13,"CCNH/CDK1/CDK2/CSNK2A1/CTNNB1/RARA/SIRT1/SMAD3/AR/ATR/BCL6/EP300/MAX/SMAD2/SMAD4/SMAD7/TP53/UBE2I/CREBBP/GSK3B/MAPK1/MAPK14/PRKACA/ESR1/MDM2/RB1/SUMO1/CAMK2A/CREB1/FBXW7/SGK1/RUNX2/MYBL2/TCF7/KMT2A/FOXO4/SMAD1/FOXO3/MAF/E2F4/YY1/GATA2/JUNB",43
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","43/77","499/2914",6.03438080515362e-15,1.94307061925947e-12,1.21640413072307e-12,"CCNH/CDK1/CDK2/CSNK2A1/CTNNB1/RARA/SIRT1/SMAD3/AR/ATR/BCL6/EP300/MAX/SMAD2/SMAD4/SMAD7/TP53/UBE2I/CREBBP/GSK3B/MAPK1/MAPK14/PRKACA/ESR1/MDM2/RB1/SUMO1/CAMK2A/CREB1/FBXW7/SGK1/RUNX2/MYBL2/TCF7/KMT2A/FOXO4/SMAD1/FOXO3/MAF/E2F4/YY1/GATA2/JUNB",43
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","34/77","397/2914",3.00956358846904e-11,6.4605298365802e-09,4.04443106801278e-09,"CDK2/CSNK2A1/CTNNB1/MAP2K1/RARA/SMAD3/EP300/NCOA2/PAX6/RPS6KA1/RPS6KA2/RPS6KA4/RPS6KA5/SMAD2/SMAD4/CREBBP/GSK3B/MAPK1/MAPK14/PRKACA/STAT3/CREB1/GRB2/HRAS/MAPK8/PLCG1/RASA1/SHC1/CEBPA/TCF4/KMT2A/FOXO3/YY1/GATA2",34
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","13/77","70/2914",1.55863895558552e-08,2.50940871849269e-06,1.57094399997172e-06,"MAP2K1/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK14/STAT3/CREB1/GRB2/HRAS/PLCG1/SHC1/ELK1",13
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","8/77","27/2914",2.43873442589556e-07,3.14108994055349e-05,1.96639007393263e-05,"CDK2/RARA/EP300/STAT3/CREB1/CEBPA/KMT2A/GATA2",8
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","13/77","89/2914",3.09904763318358e-07,3.32631112628371e-05,2.08234253247248e-05,"MAP2K1/RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK14/STAT3/CREB1/GRB2/HRAS/PLCG1/SHC1/ELK1",13
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","11/77","62/2914",3.65254937175246e-07,3.36034542201226e-05,2.10364873591157e-05,"CDK1/AR/SMAD4/GSK3B/MAPK1/ESR1/RB1/FBXW7/RUNX2/SMAD1/MAF",11
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","14/77","108/2914",4.73884669228219e-07,3.81477158728716e-05,2.38812931992642e-05,"EP300/NCOA2/CREBBP/MAPK1/ESR1/CREB1/HRAS/SHC1/ELK1/FOXA1/FOXO3/YY1/SRF/USF1",14
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","8/77","30/2914",6.03061446524025e-07,4.31523968401636e-05,2.70143314641756e-05,"RPS6KA1/RPS6KA2/RPS6KA5/MAPK1/MAPK14/CREB1/MAPK8/ELK1",8
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","18/77","187/2914",8.67515362002481e-07,5.58679893129598e-05,3.4974566699679e-05,"CDK2/SIRT1/AR/ATR/EP300/RPS6KA1/RPS6KA2/TP53/CREBBP/GSK3B/MAPK1/MAPK14/STAT3/MDM2/RB1/CAMK2A/MAPK8/ETS2",18
