"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","FOXM1, YY1","0.9913580757001",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1, HSP90AB1","0.919098335721449",1
"4","#upgenes.HYP_0","CDK1, EGR1, ELF3, FOS, HDAC1, JUN, NFKB1, RELA, TP53","0.0808589082607089",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","MYB, GATA6, SMAD3","0.719202798477378",1
"7","#upgenes.DNA_0.25","FOXM1, YY1","0.988394796772737",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1, HSP90AB1","0.877528056468448",1
"10","#upgenes.HYP_0.25","CDK1, EGR1, ELF3, FOS, HDAC1, JUN, NFKB1, RELA, TP53","0.0507652551425935",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","GATA6, SMAD3","0.855273978883792",1
"13","#upgenes.DNA_0.45","FOXM1","0.997058647205256",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1, HSP90AB1","0.806053933948265",1
"16","#upgenes.HYP_0.45","EGR1, ELF3, FOS, JUN, RELA","0.429148644528798",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","GATA6, SMAD3","0.783917691609333",1
"19","#upgenes.DNA_0.5","FOXM1","0.997058647205256",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1, HSP90AB1","0.806053933948265",1
"22","#upgenes.HYP_0.5","EGR1, ELF3, FOS, JUN, RELA","0.429148644528798",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","GATA6, SMAD3","0.783917691609333",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1, HSP90AB1","0.62485428040864",1
"28","#upgenes.HYP_0.65","EGR1, FOS, JUN, RELA","0.501374542961716",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.831050974705328",1
"31","#upgenes.DNA_0.75","","1",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","HSP90AB1","0.784665868800176",1
"34","#upgenes.HYP_0.75","FOS, JUN","0.707005883670824",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.831050974705328",1
"37","#upgenes.DNA_0.85","","1",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
