NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
IL2RA	2836	1	15	17	2	20	0.00159345494267933	1
PTK6	1166	1	14	15	1	24	0.00347939228866968	1
FN1	1694	1	14	18	4	18	0.0226007610731413	1
ECSIT	1780	1	14	24	10	5	0.129131050152387	1
DIAPH1	2544	1	14	18	4	18	0.0226007610731413	1
DLK1	2681	1	14	18	4	18	0.0226007610731413	1
FBLN1	3095	-1	14	18	4	18	0.0226007610731413	1
TIAM1	183	1	13	20	7	13	0.0949614949108158	1
HSF1	711	1	13	18	5	17	0.0374809473676423	1
MAP2K3	917	1	13	21	8	11	0.171870199492998	1
MAP3K1	925	1	13	23	10	7	0.154570244902332	1
RAC1	936	1	13	20	7	13	0.0949614949108158	1
RET	967	1	13	19	6	15	0.11194957818305	1
MAP3K2	1072	1	13	22	9	9	0.145251880254517	1
GDNF	1165	1	13	19	6	14	0.11194957818305	1
MAP4K2	1206	1	13	23	10	6	0.154570244902332	1
TAOK1	1228	1	13	21	8	10	0.135134457603994	1
SOS1	1241	1	13	18	5	17	0.0985391428189359	1
IRS2	1257	1	13	15	2	23	0.0150606140174839	1
MTSS1	1298	1	13	20	7	13	0.0949614949108158	1
PSPN	1905	1	13	19	6	14	0.11194957818305	1
TAOK3	1972	1	13	21	8	10	0.135134457603994	1
HSPA1B	2338	1	13	20	7	12	0.0713985906922382	1
DOCK3	2423	1	13	20	7	13	0.0949614949108158	1
DOCK10	2424	1	13	20	7	13	0.0949614949108158	1
FGD5	2429	1	13	20	7	13	0.0949614949108158	1
PREX1	2439	1	13	20	7	13	0.0949614949108158	1
TIAM2	2442	1	13	20	7	13	0.0949614949108158	1
ARTN	2503	1	13	19	6	14	0.11194957818305	1
CDH2	2519	1	13	19	6	15	0.11194957818305	1
COPS3	2531	1	13	18	5	16	0.0985391428189359	1
NRTN	2728	1	13	19	6	14	0.11194957818305	1
ELMO1	2802	1	13	20	7	13	0.0949614949108158	1
DOCK1	2807	1	13	20	7	13	0.0949614949108158	1
NRK	3044	1	13	23	10	6	0.154570244902332	1
KALRN	3100	1	13	20	7	13	0.0949614949108158	1
DOCK2	3426	1	13	20	7	13	0.0949614949108158	1
ACTA1	3467	1	13	20	7	13	0.0949614949108158	1
CYLD	634	-1	13	16	3	20	0.0143517159865717	1
HSBP1	837	-1	13	17	4	16	0.0198606083132482	1
SRGAP3	2150	-1	13	20	7	13	0.0949614949108158	1
TRIM59	2363	-1	13	23	10	5	0.154570244902332	1
ARHGAP4	2367	-1	13	20	7	13	0.0949614949108158	1
ARHGAP9	2371	-1	13	20	7	13	0.0949614949108158	1
ARHGAP12	2375	-1	13	20	7	13	0.0949614949108158	1
ARHGAP15	2376	-1	13	20	7	13	0.0949614949108158	1
ARHGAP27	2383	-1	13	20	7	13	0.0949614949108158	1
ARHGAP33	2388	-1	13	20	7	13	0.0949614949108158	1
ARHGAP44	2392	-1	13	20	7	13	0.0949614949108158	1
CHN1	2393	-1	13	20	7	13	0.0949614949108158	1
CHN2	2394	-1	13	20	7	13	0.0949614949108158	1
FAM13A	2395	-1	13	20	7	13	0.0949614949108158	1
SH3BP1	2400	-1	13	20	7	13	0.0949614949108158	1
SYDE2	2405	-1	13	20	7	13	0.0949614949108158	1
ABR	2407	-1	13	20	7	13	0.0949614949108158	1
ARHGAP24	2790	-1	13	20	7	13	0.0949614949108158	1
NCF2	3097	-1	13	20	7	13	0.0949614949108158	1
HACD3	3427	-1	13	20	7	13	0.0949614949108158	1
MAP3K14	308	1	12	21	9	10	0.174038434938637	1
NOD2	344	1	12	20	8	12	0.127685841446319	1
CXCL9	435	1	12	21	9	9	0.217570315428504	1
TNFSF14	546	1	12	19	7	12	0.19558890503295	1
TNFSF13B	548	1	12	21	9	9	0.174038434938637	1
LTB	550	1	12	19	7	12	0.19558890503295	1
LTBR	551	1	12	19	7	13	0.19558890503295	1
CFL1	694	1	12	19	7	13	0.117211876951317	1
CXCL10	757	1	12	21	9	9	0.217570315428504	1
ARAF	840	1	12	22	10	8	0.226843731972163	1
MARK1	886	1	12	18	6	15	0.0399018264068429	1
DUSP6	919	1	12	21	9	10	0.217570315428504	1
CXCL11	976	1	12	21	9	9	0.217570315428504	1
TAOK2	1009	1	12	20	8	12	0.163808650290709	1
IRS4	1057	1	12	16	4	20	0.0566448210027845	1
DVL3	1225	1	12	18	6	16	0.0399018264068429	1
KSR1	1253	1	12	22	10	8	0.226843731972163	1
LRRFIP2	1345	1	12	18	6	15	0.0399018264068429	1
EPHA2	1362	1	12	15	3	22	0.0447895145052693	1
CCL15	1462	1	12	21	9	9	0.217570315428504	1
CCL7	1465	1	12	20	8	12	0.127685841446319	1
CCL28	1467	1	12	21	9	9	0.217570315428504	1
CCL24	1470	1	12	21	9	9	0.217570315428504	1
TNIK	2219	1	12	21	9	9	0.217570315428504	1
STOML2	2351	1	12	16	4	18	0.0797697529419943	1
CCR3	2516	1	12	21	9	10	0.217570315428504	1
ZFP91	2624	1	12	21	9	9	0.174038434938637	1
CD3E	2677	1	12	16	4	20	0.0797697529419943	1
MLF1	2682	1	12	15	3	4	0.0912544610111413	1
CCL18	2879	1	12	21	9	9	0.217570315428504	1
RHOG	3321	1	12	19	7	13	0.117211876951317	1
ELMO2	3420	1	12	19	7	13	0.117211876951317	1
NISCH	3437	1	12	16	4	18	0.0566448210027845	1
STK38	812	-1	12	20	8	12	0.163808650290709	1
NKD1	1289	-1	12	18	6	15	0.0399018264068429	1
FGG	2278	-1	12	17	5	18	0.0678832294669041	1
KHSRP	2637	-1	12	18	6	15	0.0399018264068429	1
NME1	2692	-1	12	22	10	7	0.226843731972163	1
DUSP14	2968	-1	12	21	9	10	0.269021855765609	1
MAPK1	113	1	11	20	9	11	0.206568296406903	1
CCL2	140	1	11	21	10	9	0.321842780859607	1
HRAS	184	1	11	19	8	13	0.154127014618736	1
RALGDS	221	1	11	19	8	12	0.196534069075687	1
PAX6	236	1	11	14	3	23	0.0596587359578468	1
PIDD1	272	1	11	16	5	19	0.158406790231449	1
KLKB1	319	1	11	20	9	8	0.256474743019702	1
CCL3L1	320	1	11	21	10	9	0.321842780859607	1
TNFSF10	322	1	11	21	10	9	0.264957035738681	1
ZDHHC9	352	1	11	19	8	11	0.154127014618736	1
KAT2B	358	1	11	18	7	15	0.236152025985601	1
MYD88	362	1	11	19	8	12	0.196534069075687	1
CCL5	437	1	11	21	10	9	0.321842780859607	1
CCL8	438	1	11	21	10	9	0.321842780859607	1
CCL4	439	1	11	21	10	9	0.321842780859607	1
MTNR1A	522	1	11	21	10	9	0.264957035738681	1
TLR2	703	1	11	18	7	15	0.185347895501044	1
TNF	879	1	11	18	7	15	0.108665213643381	1
MEIS2	893	1	11	13	2	12	0.0673372550161286	1
