NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
CSNK1A1	379	-1	13	18	5	11	0.00936676030534009	1
TYRO3	1164	-1	13	17	4	13	0.00659138622734611	1
GRIPAP1	2450	-1	13	17	4	13	0.0072092747136247	1
SH3BP5	993	1	12	16	4	11	0.011180431038496	1
IBTK	2998	1	12	16	4	11	0.011180431038496	1
BTK	589	-1	12	16	4	14	0.011180431038496	1
MAPK9	933	-1	12	15	3	16	0.00741899470747076	1
RALA	1733	-1	12	17	5	12	0.016704158867622	1
PTH1R	1918	-1	12	15	3	16	0.003662577937824	1
RGL2	3253	-1	12	17	5	12	0.016704158867622	1
BCOR	2264	1	11	16	5	12	0.017289990565328	1
HSPA2	2615	1	11	14	3	17	0.0117455028469671	1
PIK3R1	127	-1	11	16	5	13	0.0249044417568947	1
RALB	220	-1	11	14	3	17	0.0117455028469671	1
MAPK8	267	-1	11	14	3	17	0.0117455028469671	1
MAP2K1	277	-1	11	19	8	7	0.0482689349205805	1
MAP2K2	430	-1	11	19	8	7	0.0482689349205805	1
DDB2	525	-1	11	14	3	13	0.0127874265153712	1
MAD2L2	851	-1	11	17	6	11	0.025391941263386	1
GDF5	1014	-1	11	14	3	15	0.0127874265153712	1
MAPK8IP3	1058	-1	11	18	7	9	0.0410908150392286	1
MUC1	1199	-1	11	14	3	17	0.0117455028469671	1
ARRB1	1204	-1	11	15	4	15	0.0105372460428656	1
IL1R1	1223	-1	11	15	4	15	0.0169780443479615	1
DUSP19	1260	-1	11	14	3	17	0.0117455028469671	1
ELP1	1265	-1	11	14	3	17	0.0117455028469671	1
MAPK10	1303	-1	11	17	6	11	0.025391941263386	1
GRB7	1392	-1	11	14	3	13	0.0117455028469671	1
GNB5	1424	-1	11	16	5	13	0.0249044417568947	1
GNG4	1425	-1	11	16	5	13	0.0249044417568947	1
FES	1810	-1	11	16	5	13	0.0249044417568947	1
RND1	2006	-1	11	14	3	17	0.0117455028469671	1
MAP3K21	2500	-1	11	19	8	7	0.0482689349205805	1
CRKL	2532	-1	11	14	3	17	0.0103465442793039	1
PIK3AP1	2763	-1	11	15	4	15	0.0186316821284445	1
NEDD9	2799	-1	11	14	3	16	0.0103465442793039	1
SDC2	3030	-1	11	14	3	17	0.0117455028469671	1
MOS	3057	-1	11	19	8	7	0.0482689349205805	1
AP2B1	3093	-1	11	15	4	15	0.0105372460428656	1
ICOS	3198	-1	11	16	5	13	0.0249044417568947	1
SHB	3369	-1	11	16	5	13	0.0249044417568947	1
CCNA2	310	1	10	15	5	14	0.0245376906537827	1
FRAT2	516	1	10	15	5	14	0.0245376906537827	1
BCL3	552	1	10	14	4	16	0.00883147614415701	1
NF1	716	1	10	15	5	14	0.0395881505920273	1
ZFHX3	796	1	10	13	3	10	0.0157488470494011	1
NEUROD1	797	1	10	13	3	18	0.0157488470494011	1
RAP1GAP	1394	1	10	17	7	10	0.0526254551686156	1
PTH2	1601	1	10	13	3	8	0.0104329525318717	1
SIPA1	1695	1	10	17	7	10	0.0526254551686156	1
UBIAD1	2486	1	10	15	5	14	0.0395881505920273	1
MOB1B	2687	1	10	12	2	12	0.012864125497115	1
MOB1A	2688	1	10	12	2	12	0.012864125497115	1
KRIT1	3380	1	10	17	7	10	0.0526254551686156	1
HRAS	184	-1	10	15	5	14	0.0395881505920273	1
RPS6KA1	275	-1	10	14	4	16	0.0305465198849921	1
ZDHHC9	352	-1	10	15	5	14	0.0395881505920273	1
GSK3B	377	-1	10	15	5	14	0.0245376906537827	1
XPA	750	-1	10	15	5	4	0.0363545789998979	1
ARAF	840	-1	10	18	8	8	0.0709021932556234	1
SHH	910	-1	10	18	8	8	0.0790293661471892	1
ERN1	923	-1	10	13	3	18	0.0202525201728716	1
ROR2	994	-1	10	13	3	18	0.0202525201728716	1
IRS4	1057	-1	10	14	4	16	0.0281907586250349	1
GAS1	1075	-1	10	18	8	8	0.0790293661471892	1
DISP1	1091	-1	10	18	8	8	0.0790293661471892	1
CDO1	1113	-1	10	18	8	8	0.0790293661471892	1
CRK	1249	-1	10	14	4	16	0.0220383814904951	1
EXTL1	1258	-1	10	18	8	8	0.0790293661471892	1
DISP2	1300	-1	10	18	8	8	0.0790293661471892	1
DISP3	1301	-1	10	18	8	8	0.0790293661471892	1
MDK	1331	-1	10	14	4	15	0.0305465198849921	1
HHAT	1333	-1	10	18	8	8	0.0790293661471892	1
ITK	1383	-1	10	13	3	18	0.018195856056233	1
ARF1	1593	-1	10	17	7	9	0.0573741831860746	1
RAP1A	1634	-1	10	17	7	10	0.0526254551686156	1
GNAS	1672	-1	10	16	6	12	0.0401165409528954	1
ADRB3	1875	-1	10	16	6	9	0.0401165409528954	1
PTGDR	1910	-1	10	16	6	9	0.0401165409528954	1
PTGER2	1912	-1	10	16	6	9	0.0401165409528954	1
AXIN2	2101	-1	10	15	5	14	0.0245376906537827	1
AVPR2	2316	-1	10	16	6	9	0.0401165409528954	1
USP24	2493	-1	10	13	3	7	0.0202525201728716	1
GPR161	2517	-1	10	16	6	9	0.0401165409528954	1
