"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","CHEK2, CHEK1, DDB2","0.390056104200995",1
"2","DNA_thresholded_100","CHEK2, CHEK1, DDB2, DDB1, FOXM1","0.461564446925733",1
"3","DNA_thresholded_200","CHEK2, CHEK1, DDB2, DDB1, FOXM1","0.944551785739187",1
"4","DNA_thresholded_300","CHEK2, CHEK1, DDB2, DDB1, FOXM1, SFN, CCNE1, CDK2","0.95349012309415",1
"5","DNA_thresholded_400","CHEK2, CHEK1, DDB2, DDB1, FOXM1, SFN, CCNE1, CDK2","0.996537364235825",1
"6","DNA_thresholded_477","CHEK2, CHEK1, DDB2, DDB1, FOXM1, SFN, CCNE1, CDK2, TRIM28, BCL3","0.997117429492037",1
"7","ERS_thresholded_050","SHC1, GSK3A","0.661352120102828",1
"8","ERS_thresholded_100","SHC1, GSK3A, ATF3","0.827215505243457",1
"9","ERS_thresholded_200","SHC1, GSK3A, ATF3, PIK3R1, MAP2K3","0.940706494155804",1
"10","ERS_thresholded_300","SHC1, GSK3A, ATF3, PIK3R1, MAP2K3, CEBPB, NFYB, YWHAZ, EP300, CSNK2B","0.83244191869372",1
"11","ERS_thresholded_400","SHC1, GSK3A, ATF3, PIK3R1, MAP2K3, CEBPB, NFYB, YWHAZ, EP300, CSNK2B, GNAI1, GNAI2, CDC25A","0.864775364368652",1
"12","ERS_thresholded_477","SHC1, GSK3A, ATF3, PIK3R1, MAP2K3, CEBPB, NFYB, YWHAZ, EP300, CSNK2B, GNAI1, GNAI2, CDC25A, PRKN, CSNK2A1","0.897303245785576",1
"13","HTS_thresholded_050","CAMK2A","0.899637314307156",1
"14","HTS_thresholded_100","CAMK2A, PRKACA, GSK3B, MAP2K7, RPS6KB1","0.457649656191828",1
"15","HTS_thresholded_200","CAMK2A, PRKACA, GSK3B, MAP2K7, RPS6KB1, ARRB2, CDKN1A, CREBBP, MAPK1, MAPK3","0.375842517880933",1
"16","HTS_thresholded_300","CAMK2A, PRKACA, GSK3B, MAP2K7, RPS6KB1, ARRB2, CDKN1A, CREBBP, MAPK1, MAPK3, CSNK2B, GNAI1, GNAI2, PPARG","0.406855875767475",1
"17","HTS_thresholded_400","CAMK2A, PRKACA, GSK3B, MAP2K7, RPS6KB1, ARRB2, CDKN1A, CREBBP, MAPK1, MAPK3, CSNK2B, GNAI1, GNAI2, PPARG, CSNK2A1, EP300","0.620307090933061",1
"18","HTS_thresholded_477","CAMK2A, PRKACA, GSK3B, MAP2K7, RPS6KB1, ARRB2, CDKN1A, CREBBP, MAPK1, MAPK3, CSNK2B, GNAI1, GNAI2, PPARG, CSNK2A1, EP300, AKT1, PRKAA1, FOS","0.612579178754822",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","NFKB1, EGR1","0.942159459070318",1
"21","HYP_thresholded_200","NFKB1, EGR1, MAP3K1","0.994167656182259",1
"22","HYP_thresholded_300","NFKB1, EGR1, MAP3K1","0.999865883363509",1
"23","HYP_thresholded_400","NFKB1, EGR1, MAP3K1, HDAC1, NR3C1","0.999908260576539",1
"24","HYP_thresholded_477","NFKB1, EGR1, MAP3K1, HDAC1, NR3C1, CDKN1A, MAP2K6","0.999888647207027",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","CHUK, MAPK9","0.999999980275493",1
"31","OXD_thresholded_050","MYB, SRC","0.661811044892834",1
"32","OXD_thresholded_100","MYB, SRC, GATA6","0.827504713563862",1
"33","OXD_thresholded_200","MYB, SRC, GATA6, PRKCE, SMAD3, SRF","0.878922746975125",1
"34","OXD_thresholded_300","MYB, SRC, GATA6, PRKCE, SMAD3, SRF, MAP3K5, MAPK13, STAT1","0.90645565790196",1
"35","OXD_thresholded_400","MYB, SRC, GATA6, PRKCE, SMAD3, SRF, MAP3K5, MAPK13, STAT1","0.989800611420146",1
"36","OXD_thresholded_477","MYB, SRC, GATA6, PRKCE, SMAD3, SRF, MAP3K5, MAPK13, STAT1","0.998545291101362",1
