"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","CHEK2","0.400112855926841",1
"2","DNA_thresholded_100","CHEK2, FOXM1","0.265205808578309",1
"3","DNA_thresholded_200","CHEK2, FOXM1","0.594412945157806",1
"4","DNA_thresholded_300","CHEK2, FOXM1, ARID3A","0.565114538540651",1
"5","DNA_thresholded_400","CHEK2, FOXM1, ARID3A, PPM1D","0.538904163251139",1
"6","DNA_thresholded_477","CHEK2, FOXM1, ARID3A, PPM1D","0.673913995666948",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","NFYB","0.95040431532749",1
"11","ERS_thresholded_400","NFYB","0.981238251457364",1
"12","ERS_thresholded_477","NFYB","0.991112312454081",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","ATM, MAPK1, MAPK3","0.314302679439536",1
"16","HTS_thresholded_300","ATM, MAPK1, MAPK3","0.561525453336992",1
"17","HTS_thresholded_400","ATM, MAPK1, MAPK3","0.744955334592345",1
"18","HTS_thresholded_477","ATM, MAPK1, MAPK3, AKT1, FOXO1, FOS","0.282146746073641",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","","1",1
"22","HYP_thresholded_300","","1",1
"23","HYP_thresholded_400","HBP1","0.98227504140232",1
"24","HYP_thresholded_477","HBP1, NOTCH1","0.949447511573759",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","ROCK2, SMAD3","0.593037260649015",1
"34","OXD_thresholded_300","ROCK2, SMAD3","0.79753184836985",1
"35","OXD_thresholded_400","ROCK2, SMAD3","0.902806906796683",1
"36","OXD_thresholded_477","ROCK2, SMAD3","0.945683495618386",1
