"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","BRCA1, YY1","0.939269026539429",1
"2","#upgenes.ERS_0","PTPN1, ATF3","0.408984511042062",1
"3","#upgenes.HTS_0","","1",1
"4","#upgenes.HYP_0","EGR1, HBP1, HDAC1, NFKB1, NR3C1, RELA, TP53, TXN","0.0231210629711129",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","SRC, SMAD3","0.710738611996274",1
"7","#upgenes.DNA_0.25","BRCA1, YY1","0.927070801985339",1
"8","#upgenes.ERS_0.25","PTPN1, ATF3","0.366414330673338",1
"9","#upgenes.HTS_0.25","","1",1
"10","#upgenes.HYP_0.25","EGR1, HBP1, HDAC1, NFKB1, NR3C1, RELA, TP53, TXN","0.0139694201708673",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SRC, SMAD3","0.660648395847087",1
"13","#upgenes.DNA_0.45","BRCA1","0.979159062324006",1
"14","#upgenes.ERS_0.45","ATF3","0.626408240996245",1
"15","#upgenes.HTS_0.45","","1",1
"16","#upgenes.HYP_0.45","EGR1, HBP1, NR3C1, RELA","0.320141707862344",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SRC, SMAD3","0.570184068311665",1
"19","#upgenes.DNA_0.5","BRCA1","0.979159062324006",1
"20","#upgenes.ERS_0.5","ATF3","0.626408240996245",1
"21","#upgenes.HTS_0.5","","1",1
"22","#upgenes.HYP_0.5","EGR1, HBP1, NR3C1, RELA","0.320141707862344",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SRC, SMAD3","0.570184068311665",1
"25","#upgenes.DNA_0.65","BRCA1","0.945758664549022",1
"26","#upgenes.ERS_0.65","ATF3","0.562304318393322",1
"27","#upgenes.HTS_0.65","","1",1
"28","#upgenes.HYP_0.65","EGR1, HBP1, NR3C1, RELA","0.226011305504152",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.692982579788494",1
"31","#upgenes.DNA_0.75","BRCA1","0.945758664549022",1
"32","#upgenes.ERS_0.75","ATF3","0.496110744118658",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","HBP1","0.809829042378158",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.692982579788494",1
"37","#upgenes.DNA_0.85","BRCA1","0.803265755798831",1
"38","#upgenes.ERS_0.85","ATF3","0.430192287190018",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","HBP1","0.620564282016352",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","BRCA1","0.803265755798831",1
"44","#upgenes.ERS_0.95","ATF3","0.320845543425342",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","HBP1","0.620564282016352",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","BRCA1","0.803265755798831",1
"50","#upgenes.ERS_1","ATF3","0.320845543425342",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","HBP1","0.620564282016352",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","BRCA1, YY1","0.939269026539429",1
"56","#dngenes.ERS_0","PTPN1, ATF3","0.408984511042062",1
"57","#dngenes.HTS_0","","1",1
"58","#dngenes.HYP_0","EGR1, HBP1, HDAC1, NFKB1, NR3C1, RELA, TP53, TXN","0.0231210629711129",1
"59","#dngenes.MTL_0","","1",1
"60","#dngenes.OXD_0","SRC, SMAD3","0.710738611996274",1
"61","#dngenes.DNA_0.25","YY1","0.945262494872372",1
"62","#dngenes.ERS_0.25","PTPN1","0.522941446125135",1
"63","#dngenes.HTS_0.25","","1",1
"64","#dngenes.HYP_0.25","EGR1, HDAC1, NFKB1, NR3C1, RELA, TP53, TXN","0.00306772345331475",0.331314132957993
"65","#dngenes.MTL_0.25","","1",1
"66","#dngenes.OXD_0.25","SRC, SMAD3","0.639951265145307",1
"67","#dngenes.DNA_0.45","YY1","0.798702553621467",1
"68","#dngenes.ERS_0.45","PTPN1","0.356191619029596",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","HDAC1, NFKB1, TP53, TXN","0.0262999179942632",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","SRC","0.738069106469095",1
"73","#dngenes.DNA_0.5","YY1","0.798702553621467",1
"74","#dngenes.ERS_0.5","PTPN1","0.356191619029596",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","HDAC1, NFKB1, TP53, TXN","0.0262999179942632",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","SRC","0.738069106469095",1
"79","#dngenes.DNA_0.65","YY1","0.469355382073188",1
"80","#dngenes.ERS_0.65","PTPN1","0.258829982786793",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","HDAC1, NFKB1, TP53, TXN","0.005150193667191",0.551070722389437
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","","1",1
"85","#dngenes.DNA_0.75","YY1","0.469355382073188",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","","1",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","","1",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","","1",1
"97","#dngenes.DNA_0.95","","1",1
