"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","38/58","481/2914",3.75961550091356e-17,1.92492313646775e-14,1.2070344502933e-14,"ABL1/BRCA1/E2F1/E2F6/ESR1/HDAC1/SIRT1/CAMK2A/CREB1/CREBBP/NCOR2/SMAD2/SMAD3/TP53/AKT3/CTNNB1/MAPK11/MAPK14/PTPN1/SRC/CASP6/GATA3/HDAC4/MYC/NR3C1/RB1/SP1/TXN/SREBF1/TP73/ESR2/FOXO1/FOXO3/TCF7L2/JUNB/SPI1/TWIST1/YY1",38
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","38/58","499/2914",1.38991358950673e-16,3.55817878913722e-14,2.23117707789238e-14,"ABL1/BRCA1/E2F1/E2F6/ESR1/HDAC1/SIRT1/CAMK2A/CREB1/CREBBP/NCOR2/SMAD2/SMAD3/TP53/AKT3/CTNNB1/MAPK11/MAPK14/PTPN1/SRC/CASP6/GATA3/HDAC4/MYC/NR3C1/RB1/SP1/TXN/SREBF1/TP73/ESR2/FOXO1/FOXO3/TCF7L2/JUNB/SPI1/TWIST1/YY1",38
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","28/58","397/2914",1.36850084339992e-10,2.33557477273586e-08,1.46453599030517e-08,"ABL1/E2F1/RELA/CREB1/CREBBP/NCOR2/PLCG1/SMAD2/SMAD3/AKT3/CTNNB1/FLI1/MAPK11/MAPK14/RPS6KA3/SRC/STAT3/MAPK8/MYC/NFKB1/SREBF1/FOXO1/FOXO3/MEF2A/TCF4/SPI1/CEBPA/YY1",28
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","11/58","49/2914",1.18585169027535e-09,1.51789016355245e-07,9.51802014563112e-08,"HDAC1/SIRT1/CREBBP/SMAD2/SMAD3/AKT3/NR3C1/TXN/SREBF1/FOXO1/FOXO3",11
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","15/58","136/2914",2.68649750065872e-08,2.61869169377722e-06,1.64206613199435e-06,"ESR1/HDAC1/CREB1/CREBBP/NCOR2/AKT3/SRC/GATA3/MYC/SP1/SREBF1/ESR2/FOXO3/FOXA1/YY1",15
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","13/58","99/2914",3.23965409917128e-08,2.61869169377722e-06,1.64206613199435e-06,"E2F1/RELA/TP53/MAPK11/MAPK14/RPS6KA3/STAT3/MAP3K5/MAPK8/NFKB1/RB1/SP1/TXN",13
"R-HSA-9615017","R-HSA-9615017","FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","7/58","19/2914",3.58024255008604e-08,2.61869169377722e-06,1.64206613199435e-06,"HDAC1/SMAD2/SMAD3/NR3C1/SREBF1/FOXO1/FOXO3",7
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","17/58","187/2914",4.98289998453725e-08,3.18905599010384e-06,1.99971644116298e-06,"E2F1/RELA/SIRT1/CAMK2A/CREBBP/TP53/MAPK11/MAPK14/RPS6KA3/STAT3/MAP3K5/MAPK8/NFKB1/NR3C1/RB1/SP1/TXN",17
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","17/58","189/2914",5.85202377492904e-08,3.32915130307074e-06,2.08756403667059e-06,"E2F1/RELA/SIRT1/CAMK2A/CREBBP/TP53/MAPK11/MAPK14/RPS6KA3/STAT3/MAP3K5/MAPK8/NFKB1/NR3C1/RB1/SP1/TXN",17
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","20/58","268/2914",6.98717185487606e-08,3.57743198969654e-06,2.24324991130231e-06,"ESR1/HDAC1/CAMK2A/CREB1/CREBBP/NCOR2/PLCG1/SMAD2/SMAD3/AKT3/CTNNB1/SRC/STAT3/HDAC4/MYC/STAT5A/ESR2/FOXO1/FOXO3/TCF7L2",20
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","13/58","108/2914",9.43706455412656e-08,4.39252459246618e-06,2.75435855407521e-06,"ESR1/HDAC1/CREB1/CREBBP/AKT3/SRC/GATA3/MYC/SP1/ESR2/FOXO3/FOXA1/YY1",13
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","7/58","27/2914",5.57470787919984e-07,2.24192632877927e-05,1.40581317902483e-05,"E2F1/CREB1/FLI1/STAT3/MYC/SPI1/CEBPA",7
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","9/58","53/2914",5.82543264568207e-07,2.24192632877927e-05,1.40581317902483e-05,"CREBBP/SMAD3/TP53/CTNNB1/SRC/HDAC4/MYC/FOXO3/TCF7L2",9
"R-HSA-9617629","R-HSA-9617629","Regulation of FOXO transcriptional activity by acetylation","5/58","10/2914",6.13026730525583e-07,2.24192632877927e-05,1.40581317902483e-05,"SIRT1/CREBBP/TXN/FOXO1/FOXO3",5
"R-HSA-525793","R-HSA-525793","Myogenesis","6/58","22/2914",2.78825848186923e-06,9.51725561811363e-05,5.96785148750958e-05,"ABL1/CTNNB1/MAPK11/MAPK14/MEF2A/TCF4",6
