"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","26/50","397/2914",7.64359027575462e-11,1.82231733249522e-08,1.19889298190475e-08,"CREBBP/NCOR2/NFKB1/RELA/SMAD3/STAT3/CSNK2A1/E2F1/EP300/MAPK1/MED1/PRKACA/RHOA/ROCK2/RPS6KA1/RPS6KA2/RPS6KA3/RPS6KA4/RPS6KA5/SMAD2/JUN/FOXO1/MYOD1/YY1/CEBPB/FOXO3",26
"R-HSA-2559582","R-HSA-2559582","Senescence-Associated Secretory Phenotype (SASP)","11/50","45/2914",7.85481608834147e-11,1.82231733249522e-08,1.19889298190475e-08,"NFKB1/RELA/STAT3/CDKN1B/MAPK1/RPS6KA1/RPS6KA2/RPS6KA3/FOS/JUN/CEBPB",11
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","28/50","481/2914",1.51001046618199e-10,2.33548285436148e-08,1.5365018778694e-08,"CREBBP/IL2RA/NCOR2/SMAD3/CDKN1B/CSNK2A1/E2F1/EP300/FBXW7/MAPK1/MED1/PRKAA1/PRKACA/SGK1/STK11/SMAD2/TCF7/ESR2/FOS/JUN/SP1/MAX/FOXO1/JUNB/YY1/TBP/NR2C2/FOXO3",28
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","14/50","99/2914",3.69758452375052e-10,3.45269102167453e-08,2.27150725110167e-08,"NFKB1/RELA/STAT3/CDKN1B/E2F1/MAPK1/MAPKAPK2/RPS6KA1/RPS6KA2/RPS6KA3/FOS/JUN/SP1/CEBPB",14
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","28/50","499/2914",3.72057222163204e-10,3.45269102167453e-08,2.27150725110167e-08,"CREBBP/IL2RA/NCOR2/SMAD3/CDKN1B/CSNK2A1/E2F1/EP300/FBXW7/MAPK1/MED1/PRKAA1/PRKACA/SGK1/STK11/SMAD2/TCF7/ESR2/FOS/JUN/SP1/MAX/FOXO1/JUNB/YY1/TBP/NR2C2/FOXO3",28
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","17/50","187/2914",3.92760343126504e-09,3.03734665351163e-07,1.99825437731029e-07,"CREBBP/NFKB1/RELA/STAT3/CDKN1B/E2F1/EP300/MAPK1/MAPKAPK2/RPS6KA1/RPS6KA2/RPS6KA3/FOS/JUN/SP1/CEBPB/HIF1A",17
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","17/50","189/2914",4.63809981543351e-09,3.0743975919445e-07,2.02262999470033e-07,"CREBBP/NFKB1/RELA/STAT3/CDKN1B/E2F1/EP300/MAPK1/MAPKAPK2/RPS6KA1/RPS6KA2/RPS6KA3/FOS/JUN/SP1/CEBPB/HIF1A",17
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","13/50","108/2914",1.36064963447836e-08,7.89176787997449e-07,5.1919525526148e-07,"CREBBP/CDKN1B/EP300/MAPK1/MED1/ESR2/FOS/JUN/SP1/FOXA1/YY1/TBP/FOXO3",13
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","8/50","30/2914",1.85054931137775e-08,9.54060978310306e-07,6.27671696256781e-07,"MAPK1/MAPKAPK2/RPS6KA1/RPS6KA2/RPS6KA3/RPS6KA5/FOS/JUN",8
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","21/50","332/2914",2.53313536658276e-08,1.119742800781e-06,7.36672895250657e-07,"IL2RA/IL2RG/NFKB1/RELA/SMAD3/STAT3/MAPK1/MAPKAPK2/PRKACA/RPS6KA1/RPS6KA2/RPS6KA3/RPS6KA5/STAT5A/FOS/JUN/FOXO1/JUNB/HIF1A/IRF4/FOXO3",21
