NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
GATA2	1941	1	11	15	4	10	0.00312208888431254	1
CDKN2C	784	1	10	17	7	5	0.17957573805383	1
CDKN2B	2520	1	10	17	7	5	0.17957573805383	1
CDKN2D	782	-1	10	17	7	5	0.17957573805383	1
CCND3	935	-1	10	16	6	8	0.0906681832437225	1
CCND2	940	-1	10	18	8	4	0.111153341016599	1
GNA11	809	1	9	14	5	11	0.250708701241974	1
GNAQ	1630	1	9	13	4	13	0.235250540415097	1
CABIN1	1750	-1	9	14	5	10	0.0440219845473866	1
PIN1	480	1	8	15	7	8	0.196602007375047	1
NR5A1	509	1	8	13	5	8	0.389601765607786	1
GNRHR	811	1	8	13	5	11	0.389601765607786	1
CGA	1512	1	8	12	4	7	0.28938989468246	1
GHRL	1516	1	8	13	5	11	0.0548404743872852	1
GNRH2	1521	1	8	13	5	8	0.389601765607786	1
KISS1	1565	1	8	12	4	7	0.28938989468246	1
TSHB	1612	1	8	12	4	7	0.28938989468246	1
PTPN5	1735	1	8	13	5	12	0.0548404743872852	1
CYSLTR2	1894	1	8	12	4	13	0.28938989468246	1
PTPN12	1922	1	8	14	6	10	0.0962414164802722	1
GPHA2	1952	1	8	12	4	7	0.28938989468246	1
KISS1R	1998	1	8	12	4	13	0.28938989468246	1
ROBO1	2012	1	8	14	6	9	0.18435094769644	1
AGTR2	2103	1	8	12	4	13	0.28938989468246	1
SLIT1	2120	1	8	13	5	4	0.122277288365584	1
SLIT2	2121	1	8	13	5	4	0.122277288365584	1
NMUR1	2722	1	8	12	4	13	0.28938989468246	1
TSHR	3219	1	8	12	4	13	0.28938989468246	1
RGS2	72	-1	8	12	4	13	0.28938989468246	1
DYRK1A	1267	-1	8	11	3	15	0.0905819148242513	1
NUMBL	1318	-1	8	12	4	13	0.214384953128378	1
RGS4	1697	-1	8	12	4	13	0.28938989468246	1
RGS19	1698	-1	8	12	4	13	0.28938989468246	1
PTPN22	1935	-1	8	13	5	11	0.229955418306867	1
PLK2	2092	-1	8	15	7	7	0.00841446437022738	1
ASH2L	2277	-1	8	13	5	5	0.00895137373984166	1
LATS2	2310	-1	8	15	7	8	0.400520097405525	1
ZNF653	3324	-1	8	11	3	2	0.195536306786004	1
JAG1	218	1	7	13	6	10	0.457851655227826	1
PPP1CA	256	1	7	11	4	15	0.0556005904064104	1
MAP3K5	463	1	7	12	5	13	0.568900085061834	1
XRCC6	896	1	7	12	5	11	0.0226749409413456	1
SMAD7	1037	1	7	12	5	13	0.456696648140798	1
MAP2K5	1068	1	7	13	6	10	0.117327595229023	1
PKN1	1184	1	7	11	4	15	0.191456542895118	1
SYNJ2BP	1187	1	7	12	5	2	0.568900085061834	1
GRK6	1299	1	7	11	4	14	0.191456542895118	1
CCR5	1418	1	7	11	4	14	0.350436012833683	1
KNG1	1454	1	7	11	4	10	0.350436012833683	1
CCL16	1468	1	7	11	4	11	0.350436012833683	1
PSENEN	1904	1	7	11	4	13	0.0892514029284777	1
ROBO2	2013	1	7	13	6	8	0.288737130737805	1
FURIN	2043	1	7	11	4	14	0.350436012833683	1
HLA-G	2116	1	7	10	3	14	0.172331434485724	1
STIL	2163	1	7	14	7	8	0.233104671879264	1
TBXA2R	2181	1	7	11	4	14	0.456163316495236	1
CRTC3	2533	1	7	12	5	9	0.0680040181887446	1
P2RY13	2667	1	7	12	5	12	0.359722048136253	1
PHACTR1	2759	1	7	11	4	14	0.0556005904064104	1
HLA-E	2881	1	7	10	3	14	0.172331434485724	1
HLA-C	2887	1	7	10	3	14	0.172331434485724	1
HLA-B	2888	1	7	10	3	14	0.172331434485724	1
HLA-A	2890	1	7	10	3	14	0.172331434485724	1
FBLN1	3095	1	7	12	5	11	0.0226749409413456	1
CDKN1C	3481	1	7	14	7	7	0.374042806172418	1
ATOH1	105	-1	7	11	4	6	0.00691034045808523	1
GATA3	118	-1	7	13	6	10	0.015507179243186	1
PAX6	236	-1	7	11	4	14	0.00241230831398753	1
PPP1R14A	286	-1	7	11	4	14	0.0556005904064104	1
TLX1	385	-1	7	14	7	9	0.298749311268741	1
LATS1	833	-1	7	13	6	9	0.560036677389293	1
PAX5	852	-1	7	10	3	15	0.0426900756885634	1
PTPRC	1078	-1	7	8	1	20	0.0688328325029931	1
RLIM	1191	-1	7	12	5	13	0.456696648140798	1
MAP4K5	1224	-1	7	10	3	17	0.0223995664780684	1
FLT4	1354	-1	7	9	2	18	0.0138437251909168	1
NPY	1600	-1	7	12	5	9	0.359722048136253	1
GNB2	1621	-1	7	12	5	12	0.103947878388663	1
FN1	1694	-1	7	12	5	12	0.0226749409413456	1
GABBR1	1724	-1	7	12	5	12	0.103947878388663	1
GRM7	1743	-1	7	11	4	14	0.134064755112479	1
DNAJC5	1751	-1	7	12	5	12	0.103947878388663	1
PPP1R2	1808	-1	7	11	4	14	0.0556005904064104	1
PTPRR	1958	-1	7	12	5	13	0.456696648140798	1
CDK4	1992	-1	7	14	7	9	0.374042806172418	1
AMOT	2044	-1	7	13	6	9	0.560036677389293	1
TJP2	2207	-1	7	13	6	9	0.560036677389293	1
DUSP26	2315	-1	7	12	5	13	0.568900085061834	1
ASXL2	2504	-1	7	13	6	9	0.0297729033778843	1
DIAPH1	2544	-1	7	12	5	11	0.0226749409413456	1
DLK1	2681	-1	7	12	5	11	0.0226749409413456	1
MOB1B	2687	-1	7	13	6	7	0.367456847748821	1
MOB1A	2688	-1	7	13	6	7	0.367456847748821	1
GNGT2	3349	-1	7	12	5	12	0.103947878388663	1
SERPINB8	3401	-1	7	11	4	10	0.350436012833683	1
BRD8	3422	-1	7	13	6	9	0.0297729033778843	1
PAEP	3535	-1	7	8	1	20	0.0688328325029931	1
MARCKS	7	1	6	10	4	12	0.0395280275817021	1
GRM1	8	1	6	10	4	15	0.533353859103295	1
CHRM1	34	1	6	11	5	13	0.52703047922014	1
TRPM7	79	1	6	8	2	0	0.409040192909772	1
MAPK14	92	1	6	12	6	12	0.628286567009332	1
KEAP1	117	1	6	12	6	11	0.0363290871998923	1
ARNTL	144	1	6	9	3	0	0.146403152254782	1
RPS6KA1	275	1	6	10	4	16	0.318575217386683	1
GSK3B	377	1	6	11	5	14	0.329995139680061	1
CLOCK	405	1	6	9	3	0	0.146403152254782	1
CAND1	506	1	6	10	4	15	0.11139965961254	1
BCL3	552	1	6	13	7	10	0.155283468031126	1
MAPK7	736	1	6	13	7	10	0.155283468031126	1
AKAP8	781	1	6	9	3	17	0.216252466711394	1
MAD2L2	851	1	6	11	5	14	0.422339106923812	1
SIRT3	902	1	6	10	4	4	0.0395280275817021	1
ATF4	929	1	6	14	8	8	0.121065789861295	1
CDKN1B	934	1	6	11	5	14	0.250276372337771	1
F2R	965	1	6	11	5	13	0.52703047922014	1
SHOC2	1060	1	6	10	4	15	0.11139965961254	1
SCO2	1201	1	6	11	5	13	0.642773806694967	1
NKD1	1289	1	6	11	5	12	0.0509926927282729	1
MAPK10	1303	1	6	11	5	14	0.422339106923812	1
LMTK2	1375	1	6	10	4	15	0.11139965961254	1
STK39	1396	1	6	12	6	12	0.628286567009332	1
