"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","BRCA1, PRKDC","0.0986889599376024",1
"2","DNA_thresholded_100","BRCA1, PRKDC","0.286531364485446",1
"3","DNA_thresholded_200","BRCA1, PRKDC","0.624822749664791",1
"4","DNA_thresholded_300","BRCA1, PRKDC","0.824811163905657",1
"5","DNA_thresholded_400","BRCA1, PRKDC","0.92307533924844",1
"6","DNA_thresholded_477","BRCA1, PRKDC","0.960229469064078",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","","1",1
"11","ERS_thresholded_400","","1",1
"12","ERS_thresholded_477","","1",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA","0.658873914696278",1
"15","HTS_thresholded_200","PRKACA","0.883541403360948",1
"16","HTS_thresholded_300","PRKACA","0.95927950993879",1
"17","HTS_thresholded_400","PRKACA, ATR","0.920623443198783",1
"18","HTS_thresholded_477","PRKACA, ATR, AKT1, FOS","0.710399256984679",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","","1",1
"21","HYP_thresholded_200","PTCH1","0.883470534935356",1
"22","HYP_thresholded_300","PTCH1, MYBL2","0.823857236165782",1
"23","HYP_thresholded_400","PTCH1, MYBL2, HBP1","0.781369810657009",1
"24","HYP_thresholded_477","PTCH1, MYBL2, HBP1","0.869360896290484",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","ATF1","0.99252712006014",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","SMAD3","0.883045262069811",1
"34","OXD_thresholded_300","SMAD3","0.959169587197441",1
"35","OXD_thresholded_400","SMAD3","0.985217279348073",1
"36","OXD_thresholded_477","SMAD3","0.993154159322424",1
