"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","24/36","481/2914",1.78196557721708e-11,7.75155026089429e-09,5.60850218513586e-09,"ABL1/AKT1/AR/ATR/BRCA1/CDKN2A/CTNNB1/ESR1/GATA1/MAPK14/PARP1/PPP2R5C/PRKACA/RB1/SMAD3/KMT2A/SREBF1/LEF1/ESR2/GATA2/MAX/MYBL2/TAF1/FOS",24
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","24/36","499/2914",4.03945339756713e-11,8.78581113970851e-09,6.35682403090827e-09,"ABL1/AKT1/AR/ATR/BRCA1/CDKN2A/CTNNB1/ESR1/GATA1/MAPK14/PARP1/PPP2R5C/PRKACA/RB1/SMAD3/KMT2A/SREBF1/LEF1/ESR2/GATA2/MAX/MYBL2/TAF1/FOS",24
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","7/36","95/2914",0.000120695949326942,0.0175009126524066,0.0126624873153529,"AKT1/ATR/BRCA1/CDKN2A/MAPK14/PPP2R5C/TAF1",7
"R-HSA-8939236","R-HSA-8939236","RUNX1 regulates transcription of genes involved in differentiation of HSCs","4/36","27/2914",0.000281451613557831,0.0252195154216423,0.0182471509039832,"ABL1/GATA1/KMT2A/GATA2",4
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","6/36","77/2914",0.000289879487605084,0.0252195154216423,0.0182471509039832,"ABL1/AKT1/CDKN2A/RB1/MAX/MYBL2",6
"R-HSA-4420097","R-HSA-4420097","VEGFA-VEGFR2 Pathway","6/36","85/2914",0.000497789527702254,0.0334093781706657,0.0241727866255996,"AKT1/BCAR1/CTNNB1/MAPK14/PAK2/PRKACA",6
"R-HSA-1640170","R-HSA-1640170","Cell Cycle","10/36","249/2914",0.000597481907574348,0.0334093781706657,0.0241727866255996,"ABL1/AKT1/ATR/BRCA1/CDKN2A/PPP2R5C/PRKACA/RB1/MAX/MYBL2",10
"R-HSA-1834949","R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA ","4/36","34/2914",0.000699239684723044,0.0334093781706657,0.0241727866255996,"CTNNB1/IKBKB/PRKDC/RELA",4
"R-HSA-194138","R-HSA-194138","Signaling by VEGF","6/36","92/2914",0.000762307166761736,0.0334093781706657,0.0241727866255996,"AKT1/BCAR1/CTNNB1/MAPK14/PAK2/PRKACA",6
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","5/36","62/2914",0.000840534548509743,0.0334093781706657,0.0241727866255996,"ABL1/AKT1/AR/ESR1/RB1",5
