NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
ASF1A	321	1	16	22	6	9	0.0143770681042453	1
EP300	492	1	16	22	6	9	0.0143770681042453	1
SENP3	789	1	16	22	6	9	0.0143770681042453	1
TLK2	2461	1	16	21	5	5	0.0106728717385872	1
ZFPM2	3482	-1	16	22	6	9	0.0143770681042453	1
DTX1	1066	1	15	21	6	10	0.0200975059582419	1
NOTCH2	1220	1	15	19	4	10	0.00890744985145808	1
HIF1AN	713	-1	15	21	6	10	0.0200975059582419	1
MAPK8IP3	1058	1	14	19	5	13	0.0363908878534712	1
SAV1	2074	1	14	18	4	14	0.0128415952879196	1
DUSP14	2968	-1	14	21	7	9	0.0485872787923829	1
MAP3K8	302	1	13	21	8	8	0.0625444526366717	1
MAP2K3	917	1	13	20	7	10	0.0651670449125095	1
DUSP6	919	1	13	20	7	10	0.054345462110133	1
MAPK9	933	1	13	19	6	12	0.0552449873818729	1
TAOK2	1009	1	13	18	5	14	0.030262984978095	1
MAP3K11	1216	1	13	17	4	16	0.034246064540578	1
SSH1	2156	1	13	15	2	3	0.00790778350395481	1
SSH2	2157	1	13	15	2	3	0.00790778350395481	1
SSH3	2158	1	13	15	2	3	0.00790778350395481	1
TBL1Y	2468	1	13	18	5	10	0.0185899296335731	1
STRADB	3223	1	13	18	5	12	0.0185899296335731	1
CTBP1	445	-1	13	18	5	14	0.0185899296335731	1
HTRA2	454	-1	13	18	5	14	0.0372583053946638	1
LIMK1	692	-1	13	15	2	3	0.00790778350395481	1
LIMK2	696	-1	13	15	2	3	0.00790778350395481	1
DLGAP1	1749	-1	13	17	4	5	0.0285574063354534	1
TESK1	2190	-1	13	15	2	3	0.00790778350395481	1
TESK2	2191	-1	13	15	2	3	0.00790778350395481	1
SEPT4	3127	-1	13	18	5	12	0.0185899296335731	1
NTRK1	47	1	12	20	8	9	0.0806341629646996	1
CCL3L1	320	1	12	18	6	13	0.0746481403469396	1
CXCL9	435	1	12	18	6	13	0.0746481403469396	1
CCL5	437	1	12	18	6	13	0.0746481403469396	1
CCL8	438	1	12	18	6	13	0.0746481403469396	1
CCL4	439	1	12	18	6	13	0.0746481403469396	1
TRIM28	529	1	12	16	4	17	0.0193039481651829	1
ZNF350	667	1	12	16	4	15	0.0193039481651829	1
ING2	741	1	12	20	8	9	0.0963935150550738	1
CXCL10	757	1	12	18	6	13	0.0746481403469396	1
ARAF	840	1	12	21	9	7	0.124995107689098	1
XIAP	898	1	12	18	6	13	0.0312432732885592	1
CXCL11	976	1	12	18	6	13	0.0746481403469396	1
MAML1	984	1	12	19	7	11	0.0713657266255564	1
MAP3K2	1072	1	12	22	10	5	0.135037312499295	1
IL5	1183	1	12	16	4	13	0.0193039481651829	1
THPO	1208	1	12	16	4	13	0.0193039481651829	1
KSR1	1253	1	12	21	9	7	0.124995107689098	1
CCL13	1460	1	12	18	6	13	0.0746481403469396	1
CCL14	1461	1	12	18	6	13	0.0746481403469396	1
CCL15	1462	1	12	18	6	13	0.0746481403469396	1
CCL3	1464	1	12	18	6	13	0.0746481403469396	1
CCL28	1467	1	12	18	6	13	0.0746481403469396	1
CCL11	1469	1	12	18	6	13	0.0746481403469396	1
CCL24	1470	1	12	18	6	13	0.0746481403469396	1
CCL26	1471	1	12	18	6	13	0.0746481403469396	1
GNA12	1680	1	12	16	4	17	0.0254897540219397	1
TNIK	2219	1	12	18	6	13	0.0746481403469396	1
CCR3	2516	1	12	18	6	13	0.0746481403469396	1
MLF1	2682	1	12	14	2	5	0.0155866691204815	1
CCL18	2879	1	12	18	6	13	0.0746481403469396	1
NOS1	376	-1	12	18	6	10	0.0500870338908334	1
HDAC10	664	-1	12	16	4	15	0.0193039481651829	1
NEDD4L	1189	-1	12	21	9	7	0.089432671684738	1
ATXN2L	2281	-1	12	16	4	13	0.0193039481651829	1
NME1	2692	-1	12	21	9	7	0.124995107689098	1
MAPK1	113	1	11	20	9	8	0.112175120865145	1
TUB	114	1	11	20	9	8	0.156577423728167	1
CCL2	140	1	11	17	6	14	0.0990129845450496	1
PAK1	175	1	11	16	5	16	0.145397366441317	1
PRKACG	226	1	11	16	5	16	0.0697251130949615	1
AXIN1	389	1	11	21	10	6	0.142705619178627	1
MTNR1A	522	1	11	21	10	6	0.142705619178627	1
KIF4A	732	1	11	13	2	6	0.0127997220489957	1
MAP3K1	925	1	11	17	6	14	0.0990129845450496	1
FMR1	953	1	11	16	5	16	0.145397366441317	1
CIB1	954	1	11	16	5	16	0.145397366441317	1
RILPL2	955	1	11	16	5	16	0.145397366441317	1
PAK1IP1	956	1	11	16	5	16	0.145397366441317	1
RAC3	957	1	11	16	5	16	0.145397366441317	1
RHOQ	958	1	11	16	5	16	0.145397366441317	1
CHP1	959	1	11	16	5	16	0.145397366441317	1
RAC2	960	1	11	16	5	16	0.145397366441317	1
RHOU	961	1	11	16	5	16	0.145397366441317	1
IL12A	1029	1	11	16	5	8	0.0439750582584989	1
LRP5	1071	1	11	21	10	6	0.142705619178627	1
CRIPAK	1098	1	11	16	5	16	0.145397366441317	1
