"","exp1","exp2","cor_coef"
"1","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",1
"2","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",0.72353450211004
"3","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.131678465581703
"4","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.199987034608462
"5","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.493666935174383
"6","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.651290582285659
"7","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.807063985168962
"8","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.390839812241131
"9","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.874062947031705
"10","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.397268490235948
"11","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.665135078515264
"12","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.50987369872957
"13","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.508659200056791
"14","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.353296832368853
"15","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.812702449435182
"16","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.692846165889539
"17","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.170088826250718
"18","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.064143273533299
"19","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.391878016046426
"20","benzo(a)pyrene_VCAP_24 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.564956564388684
"21","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.605516176316481
"22","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.57530468360783
"23","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.76160189517888
"24","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.507718707164245
"25","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.592107354495258
"26","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.634224125198274
"27","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.236555401748457
"28","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.810387788929195
"29","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.155067078976589
"30","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.82167555282113
"31","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.831032267146724
"32","benzo(a)pyrene_VCAP_24 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.68733926331325
"33","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.552455829935549
"34","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.589880178161474
"35","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.432553358503784
"36","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.289392867979919
"37","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.714535581969956
"38","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.567778033067484
"39","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.258745853549428
"40","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.541420455864854
"41","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.568393044740654
"42","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.823700600384149
"43","benzo(a)pyrene_VCAP_24 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.0387754855644643
"44","benzo(a)pyrene_VCAP_24 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.628746607059168
"45","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.505715676923936
"46","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.278550056900119
"47","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.487127839605835
"48","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_20 µM",0.597014745519716
"49","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.391344502324013
"50","benzo(a)pyrene_VCAP_6 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",0.72353450211004
"51","benzo(a)pyrene_VCAP_6 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",1
"52","benzo(a)pyrene_VCAP_6 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.306520733191323
"53","benzo(a)pyrene_VCAP_6 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.589117446127579
"54","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.479278062548611
"55","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.826093773581194
"56","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.82119972869805
"57","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.67961221982042
"58","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.760175630131742
"59","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.724036981843558
"60","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.755295321661955
"61","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.833116419087873
"62","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.533065556170653
"63","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.631670223644891
"64","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.778264720025629
"65","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.910406613708759
"66","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.509139875210974
"67","benzo(a)pyrene_VCAP_6 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.489472792760663
"68","benzo(a)pyrene_VCAP_6 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.638607536984742
"69","benzo(a)pyrene_VCAP_6 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.776668205992975
"70","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.887873365727552
"71","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.644022499232965
"72","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.675874800810382
"73","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.773137494360207
"74","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.898468724030562
"75","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.879268414876175
"76","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.654484393753027
"77","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.952392788619767
"78","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.589148755664462
"79","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.889000394545973
"80","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.913451576592564
"81","benzo(a)pyrene_VCAP_6 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.948726811238038
"82","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.81350824500354
"83","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.690288042485389
"84","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.723694610973694
"85","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.708656761427048
"86","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.883459977081615
"87","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.705295136129425
"88","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.665028289091426
"89","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.60463661363744
"90","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.583516761956585
"91","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.748919988845057
"92","benzo(a)pyrene_VCAP_6 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.411030799825862
"93","benzo(a)pyrene_VCAP_6 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.776386117483877
"94","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.714264503897389
"95","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.64175273763781
"96","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.710581531490557
"97","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_6 h_20 µM",0.718385592135937
"98","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.629051215988304
"99","brefeldin-a_HEPG2_6 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",0.131678465581703
"100","brefeldin-a_HEPG2_6 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",0.306520733191323
"101","brefeldin-a_HEPG2_6 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",1
"102","brefeldin-a_HEPG2_6 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.324291644312974
"103","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.215325461852344
"104","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.379695643187823
"105","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.176308981064001
"106","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.383363760409546
"107","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.367391480069989
"108","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.297150561619971
