"","exp1","exp2","Jc"
"1","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",1
"2","benzo(a)pyrene_VCAP_24 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",0.218181818181818
"3","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.170542635658915
"4","benzo(a)pyrene_VCAP_24 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.176829268292683
"5","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.261437908496732
"6","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.239263803680982
"7","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.283018867924528
"8","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.166666666666667
"9","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.24537037037037
"10","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.19205298013245
"11","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.162962962962963
"12","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.178861788617886
"13","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.163265306122449
"14","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.245161290322581
"15","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.260355029585799
"16","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.194029850746269
"17","benzo(a)pyrene_VCAP_24 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.0916666666666667
"18","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.105263157894737
"19","benzo(a)pyrene_VCAP_24 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.171232876712329
"20","benzo(a)pyrene_VCAP_24 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.10077519379845
"21","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.141509433962264
"22","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.0975609756097561
"23","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.227979274611399
"24","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.245283018867925
"25","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.171875
"26","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.179856115107914
"27","benzo(a)pyrene_VCAP_24 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.238095238095238
"28","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.234375
"29","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.175182481751825
"30","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.278688524590164
"31","benzo(a)pyrene_VCAP_24 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.224242424242424
"32","benzo(a)pyrene_VCAP_24 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.168
"33","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.201030927835052
"34","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.218934911242604
"35","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.256983240223464
"36","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.0887096774193548
"37","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.27741935483871
"38","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.0393700787401575
"39","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.178343949044586
"40","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.197604790419162
"41","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.204545454545455
"42","benzo(a)pyrene_VCAP_24 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.181818181818182
"43","benzo(a)pyrene_VCAP_24 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.0634920634920635
"44","benzo(a)pyrene_VCAP_24 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.238636363636364
"45","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.247058823529412
"46","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.209150326797386
"47","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.121951219512195
"48","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_20 µM",0.212765957446809
"49","benzo(a)pyrene_VCAP_24 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.261904761904762
"50","benzo(a)pyrene_VCAP_6 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",0.218181818181818
"51","benzo(a)pyrene_VCAP_6 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",1
"52","benzo(a)pyrene_VCAP_6 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",0.155172413793103
"53","benzo(a)pyrene_VCAP_6 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.205479452054795
"54","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.150326797385621
"55","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.149068322981366
"56","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.198717948717949
"57","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.17037037037037
"58","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.166666666666667
"59","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.198529411764706
"60","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.09375
"61","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.174311926605505
"62","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.222222222222222
"63","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.197278911564626
"64","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.152941176470588
"65","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.153225806451613
"66","benzo(a)pyrene_VCAP_6 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.0555555555555556
"67","benzo(a)pyrene_VCAP_6 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.130434782608696
"68","benzo(a)pyrene_VCAP_6 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.132352941176471
"69","benzo(a)pyrene_VCAP_6 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.0869565217391304
"70","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.136363636363636
"71","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.0925925925925926
"72","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.170212765957447
"73","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.175324675324675
"74","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.117647058823529
"75","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.214876033057851
"76","benzo(a)pyrene_VCAP_6 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.145833333333333
"77","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.208791208791209
"78","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.0909090909090909
"79","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.198895027624309
"80","benzo(a)pyrene_VCAP_6 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.15625
"81","benzo(a)pyrene_VCAP_6 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.141592920353982
"82","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.206703910614525
"83","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.152439024390244
"84","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.253012048192771
"85","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.0825688073394495
"86","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.222972972972973
"87","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.036036036036036
"88","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.183098591549296
"89","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.228187919463087
"90","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.183333333333333
"91","benzo(a)pyrene_VCAP_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.188034188034188
"92","benzo(a)pyrene_VCAP_6 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.0934579439252336
"93","benzo(a)pyrene_VCAP_6 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.210843373493976
"94","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.167664670658683
"95","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.20863309352518
"96","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.0803571428571429
"97","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_6 h_20 µM",0.198863636363636
"98","benzo(a)pyrene_VCAP_6 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.258064516129032
"99","brefeldin-a_HEPG2_6 h_10 µM","benzo(a)pyrene_VCAP_24 h_10 µM",0.170542635658915
"100","brefeldin-a_HEPG2_6 h_10 µM","benzo(a)pyrene_VCAP_6 h_10 µM",0.155172413793103
"101","brefeldin-a_HEPG2_6 h_10 µM","brefeldin-a_HEPG2_6 h_10 µM",1
"102","brefeldin-a_HEPG2_6 h_10 µM","brefeldin-a_HEPG2_6 h_100 nM",0.155963302752294
"103","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 um",0.145454545454545
"104","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.04 µM",0.163793103448276
"105","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 um",0.181034482758621
"106","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.12 µM",0.136842105263158
"107","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 um",0.147727272727273
"108","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_0.37 µM",0.141414141414141
"109","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 um",0.0843373493975904
"110","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_1.11 µM",0.164179104477612
"111","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_10 µM",0.142857142857143
"112","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_10.0 um",0.211538461538462
"113","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 um",0.17741935483871
"114","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_24 h_3.33 µM",0.0941176470588235
"115","brefeldin-a_HEPG2_6 h_10 µM","geldanamycin_HEPG2_6 h_10 µM",0.0847457627118644
"116","brefeldin-a_HEPG2_6 h_10 µM","mitomycin-c_HCC515_24 h_10 µM",0.111111111111111
"117","brefeldin-a_HEPG2_6 h_10 µM","mitomycin-c_HCC515_6 h_10 µM",0.118279569892473
"118","brefeldin-a_HEPG2_6 h_10 µM","quercetin_HEPG2_6 h_10 µM",0.0869565217391304
"119","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_0.04 um",0.0869565217391304
"120","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_0.12 um",0.0967741935483871
"121","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_0.37 um",0.118421052631579
"122","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_1.11 um",0.169642857142857
"123","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_10.0 um",0.121621621621622
"124","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_24 h_3.33 um",0.127906976744186
"125","brefeldin-a_HEPG2_6 h_10 µM","radicicol_HEPG2_6 h_10 µM",0.15
"126","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_24 h_10 µM",0.125827814569536
"127","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_24 h_3 µM",0.132530120481928
"128","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_6 h_10 µM",0.159722222222222
"129","brefeldin-a_HEPG2_6 h_10 µM","spiperone_HEPG2_6 h_3 µM",0.0975609756097561
"130","brefeldin-a_HEPG2_6 h_10 µM","temozolomide_HEPG2_6 h_10 µM",0.0972222222222222
"131","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.106666666666667
"132","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.148760330578512
"133","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_100 nM",0.224806201550388
"134","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_3 µM",0.0303030303030303
"135","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_24 h_500 nM",0.18018018018018
"136","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_1 µM",0.0833333333333333
"137","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_10 µM",0.156862745098039
"138","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_100 nM",0.108333333333333
"139","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_3 µM",0.15
"140","brefeldin-a_HEPG2_6 h_10 µM","tert-butylhydroquinone_JURKAT_6 h_500 nM",0.1125
"141","brefeldin-a_HEPG2_6 h_10 µM","thapsigargin_HEPG2_6 h_10 µM",0.0307692307692308
"142","brefeldin-a_HEPG2_6 h_10 µM","VU-0418946-1_HEPG2_6 h_10 µM",0.152671755725191
"143","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_24 h_20 µM",0.188524590163934
"144","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_24 h_5 µM",0.168316831683168
"145","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_6 h_10 µM",0.145161290322581
"146","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_6 h_20 µM",0.141843971631206
"147","brefeldin-a_HEPG2_6 h_10 µM","YC-1_HEPG2_6 h_5 µM",0.150793650793651
"148","brefeldin-a_HEPG2_6 h_100 nM","benzo(a)pyrene_VCAP_24 h_10 µM",0.176829268292683
"149","brefeldin-a_HEPG2_6 h_100 nM","benzo(a)pyrene_VCAP_6 h_10 µM",0.205479452054795
"150","brefeldin-a_HEPG2_6 h_100 nM","brefeldin-a_HEPG2_6 h_10 µM",0.155963302752294
"151","brefeldin-a_HEPG2_6 h_100 nM","brefeldin-a_HEPG2_6 h_100 nM",1
"152","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.04 um",0.142857142857143
"153","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.04 µM",0.220689655172414
"154","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.12 um",0.243055555555556
"155","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.12 µM",0.19047619047619
"156","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.37 um",0.173076923076923
"157","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_0.37 µM",0.220472440944882
"158","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_1.11 um",0.168141592920354
"159","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_1.11 µM",0.2
"160","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_10 µM",0.17741935483871
"161","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_10.0 um",0.244444444444444
"162","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_3.33 um",0.182389937106918
"163","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_24 h_3.33 µM",0.153846153846154
"164","brefeldin-a_HEPG2_6 h_100 nM","geldanamycin_HEPG2_6 h_10 µM",0.0495049504950495
"165","brefeldin-a_HEPG2_6 h_100 nM","mitomycin-c_HCC515_24 h_10 µM",0.22
"166","brefeldin-a_HEPG2_6 h_100 nM","mitomycin-c_HCC515_6 h_10 µM",0.19672131147541
"167","brefeldin-a_HEPG2_6 h_100 nM","quercetin_HEPG2_6 h_10 µM",0.17
"168","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_0.04 um",0.101522842639594
"169","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_0.12 um",0.0679611650485437
"170","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_0.37 um",0.145945945945946
"171","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_1.11 um",0.320610687022901
"172","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_10.0 um",0.179245283018868
"173","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_24 h_3.33 um",0.241071428571429
"174","brefeldin-a_HEPG2_6 h_100 nM","radicicol_HEPG2_6 h_10 µM",0.189393939393939
"175","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_24 h_10 µM",0.261904761904762
"176","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_24 h_3 µM",0.172413793103448
"177","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_6 h_10 µM",0.174157303370787
"178","brefeldin-a_HEPG2_6 h_100 nM","spiperone_HEPG2_6 h_3 µM",0.156862745098039
"179","brefeldin-a_HEPG2_6 h_100 nM","temozolomide_HEPG2_6 h_10 µM",0.0900900900900901
"180","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_1 µM",0.162011173184358
"181","brefeldin-a_HEPG2_6 h_100 nM","tert-butylhydroquinone_JURKAT_24 h_10 µM",0.231292517006803
