"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","PRKDC","0.374139748288845",1
"2","DNA_thresholded_100","PRKDC","0.608317456124717",1
"3","DNA_thresholded_200","PRKDC","0.845335820096664",1
"4","DNA_thresholded_300","PRKDC, PIDD1","0.75926205573319",1
"5","DNA_thresholded_400","PRKDC, PIDD1, HMGB1","0.695225198995559",1
"6","DNA_thresholded_477","PRKDC, PIDD1, HMGB1, TP73","0.604412308599356",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","CEBPB, EP300","0.75258040866156",1
"11","ERS_thresholded_400","CEBPB, EP300","0.872747300310701",1
"12","ERS_thresholded_477","CEBPB, EP300","0.925625094679406",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","","1",1
"16","HTS_thresholded_300","","1",1
"17","HTS_thresholded_400","EP300","0.974743294087476",1
"18","HTS_thresholded_477","EP300, FOXO1","0.928639813388732",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","NFKB1, GAPDH","0.233253531836463",1
"21","HYP_thresholded_200","NFKB1, GAPDH","0.546492599156382",1
"22","HYP_thresholded_300","NFKB1, GAPDH, CDK8","0.504022625100685",1
"23","HYP_thresholded_400","NFKB1, GAPDH, CDK8, NR3C1, NR4A1","0.265157710328119",1
"24","HYP_thresholded_477","NFKB1, GAPDH, CDK8, NR3C1, NR4A1, NOTCH1","0.220946756572985",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","CHUK","0.985709645667635",1
"31","OXD_thresholded_050","MYB","0.372894266574602",1
"32","OXD_thresholded_100","MYB","0.605616710390694",1
"33","OXD_thresholded_200","MYB","0.844600988368707",1
"34","OXD_thresholded_300","MYB, STAT1","0.756259010183356",1
"35","OXD_thresholded_400","MYB, STAT1","0.873830427158847",1
"36","OXD_thresholded_477","MYB, STAT1","0.92527158250923",1
