"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","PRKDC, HMGB1","0.685818165272122",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","","1",1
"4","#upgenes.HYP_0","GAPDH, HIF1A, NFKB1, NR3C1, NR4A1, RELA, TP53","0.00213340710100527",0.228274559807564
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","MYB","0.737323064815078",1
"7","#upgenes.DNA_0.25","PRKDC, HMGB1","0.658754933931584",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","","1",1
"10","#upgenes.HYP_0.25","GAPDH, NFKB1, NR3C1, NR4A1, RELA, TP53","0.00627782159966381",0.640337803165709
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","","1",1
"13","#upgenes.DNA_0.45","PRKDC, HMGB1","0.598636294048371",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","","1",1
"16","#upgenes.HYP_0.45","GAPDH, NR3C1, NR4A1, RELA","0.0632043008546119",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","","1",1
"19","#upgenes.DNA_0.5","PRKDC, HMGB1","0.598636294048371",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","","1",1
"22","#upgenes.HYP_0.5","GAPDH, NR3C1, NR4A1, RELA","0.0632043008546119",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","","1",1
"25","#upgenes.DNA_0.65","PRKDC","0.786916503197235",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","","1",1
"28","#upgenes.HYP_0.65","NR3C1, NR4A1, RELA","0.138671608059871",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","","1",1
"31","#upgenes.DNA_0.75","PRKDC","0.786916503197235",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","NR4A1","0.585448576786552",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","","1",1
"37","#upgenes.DNA_0.85","PRKDC","0.577917892824122",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","NR4A1","0.401964777314639",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","PRKDC","0.577917892824122",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","NR4A1","0.401964777314639",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","PRKDC","0.577917892824122",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","NR4A1","0.401964777314639",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","PRKDC, HMGB1","0.685818165272122",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","","1",1
"58","#dngenes.HYP_0","GAPDH, HIF1A, NFKB1, NR3C1, NR4A1, RELA, TP53","0.00213340710100527",0.228274559807564
"59","#dngenes.MTL_0","","1",1
"60","#dngenes.OXD_0","MYB","0.737323064815078",1
"61","#dngenes.DNA_0.25","HMGB1","0.7858880671547",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","","1",1
"64","#dngenes.HYP_0.25","GAPDH, HIF1A, NFKB1, NR3C1, RELA, TP53","0.00048506871192948",0.0523874208883838
"65","#dngenes.MTL_0.25","","1",1
"66","#dngenes.OXD_0.25","MYB","0.68948228664562",1
"67","#dngenes.DNA_0.45","HMGB1","0.572756050673389",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","GAPDH, HIF1A, NFKB1, TP53","0.00287909180273509",0.302304639287184
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","MYB","0.508707476430271",1
"73","#dngenes.DNA_0.5","HMGB1","0.572756050673389",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","GAPDH, HIF1A, NFKB1, TP53","0.00287909180273509",0.302304639287184
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","MYB","0.508707476430271",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","HIF1A, NFKB1, TP53","0.00604120282439652",0.622243890912841
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","MYB","0.265550637077492",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","HIF1A","0.162593929577092",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","MYB","0.265550637077492",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","MYB","0.114481944211905",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","MYB","0.114481944211905",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","MYB","0.114481944211905",1
