"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","22/33","499/2914",2.73320832076366e-10,1.04408557853172e-07,6.87617672276332e-08,"CASP1/CDK8/CTNNB1/E2F1/EGFR/EP300/MAML1/MYB/NOTCH1/NR3C1/NR4A1/PARP1/PIDD1/SMAD4/TP53/FOXO1/LEF1/STAT1/TP73/POU2F1/MEF2C/NR2F1",22
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","21/33","481/2914",1.265386909951e-09,2.41688899800641e-07,1.59172353409626e-07,"CASP1/CDK8/CTNNB1/E2F1/EGFR/EP300/MAML1/MYB/NOTCH1/NR3C1/NR4A1/PARP1/PIDD1/SMAD4/TP53/FOXO1/LEF1/STAT1/TP73/MEF2C/NR2F1",21
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","6/33","27/2914",3.27597810769765e-07,4.17141212380168e-05,2.74722374645522e-05,"E2F1/EP300/MYB/STAT3/LEF1/CEBPB",6
"R-HSA-157118","R-HSA-157118","Signaling by NOTCH","9/33","104/2914",1.25466503697921e-06,7.67935592780143e-05,5.05749811723489e-05,"CDK8/E2F1/EGFR/EP300/MAML1/NOTCH1/TP53/STAT1/HIF1A",9
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","7/33","53/2914",1.30349355199426e-06,7.67935592780143e-05,5.05749811723489e-05,"CTNNB1/EP300/MAML1/NOTCH1/SMAD4/TP53/LEF1",7
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","16/33","397/2914",1.34040561150467e-06,7.67935592780143e-05,5.05749811723489e-05,"CDK8/CTNNB1/E2F1/EGFR/EP300/MAML1/MYB/NOTCH1/SMAD4/STAT3/NFKB1/FOXO1/LEF1/RELA/MEF2C/CEBPB",16
"R-HSA-1834949","R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA ","6/33","34/2914",1.40721181923063e-06,7.67935592780143e-05,5.05749811723489e-05,"CHUK/CTNNB1/EP300/PRKDC/NFKB1/RELA",6
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","5/33","23/2914",3.95887697755508e-06,0.000180753911827422,0.000119041567723213,"E2F1/EP300/MAML1/NOTCH1/TP53",5
"R-HSA-6803207","R-HSA-6803207","TP53 Regulates Transcription of Caspase Activators and Caspases","4/33","11/2914",4.25860001687643e-06,0.000180753911827422,0.000119041567723213,"CASP1/PIDD1/TP53/TP73",4
"R-HSA-1912422","R-HSA-1912422","Pre-NOTCH Expression and Processing","5/33","29/2914",1.33119440788884e-05,0.000508516263813537,0.000334900487879403,"E2F1/EP300/MAML1/NOTCH1/TP53",5
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","12/33","268/2914",1.74782155872705e-05,0.000606970759485212,0.000399741007211258,"CDK8/CHUK/CTNNB1/EGFR/EP300/MAML1/NOTCH1/NR4A1/SMAD4/STAT3/FOXO1/STAT1",12
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","13/33","332/2914",2.95458277102854e-05,0.000940542182110751,0.00061942568620686,"CASP1/CHUK/HMGB1/LIF/STAT3/TP53/NFKB1/FOXO1/STAT1/HIF1A/RELA/POU2F1/MEF2C",13
"R-HSA-9013508","R-HSA-9013508","NOTCH3 Intracellular Domain Regulates Transcription","4/33","18/2914",3.73381933130327e-05,0.00109716844965988,0.000722577182333184,"EP300/MAML1/NOTCH1/STAT1",4
"R-HSA-9012852","R-HSA-9012852","Signaling by NOTCH3","5/33","37/2914",4.58089172065497e-05,0.00124992902663586,0.00082318279792221,"EGFR/EP300/MAML1/NOTCH1/STAT1",5
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","7/33","94/2914",6.24893200325852e-05,0.00151309678141969,0.000996500773654744,"LIF/STAT3/TP53/FOXO1/STAT1/HIF1A/POU2F1",7
"R-HSA-2122947","R-HSA-2122947","NOTCH1 Intracellular Domain Regulates Transcription","5/33","40/2914",6.7497215752951e-05,0.00151309678141969,0.000996500773654744,"CDK8/EP300/MAML1/NOTCH1/HIF1A",5
"R-HSA-381340","R-HSA-381340","Transcriptional regulation of white adipocyte differentiation","5/33","40/2914",6.7497215752951e-05,0.00151309678141969,0.000996500773654744,"CDK8/EP300/NFKB1/RELA/CEBPB",5
"R-HSA-933542","R-HSA-933542","TRAF6 mediated NF-kB activation","4/33","21/2914",7.12977540983101e-05,0.00151309678141969,0.000996500773654744,"CHUK/HMGB1/NFKB1/RELA",4
"R-HSA-186712","R-HSA-186712","Regulation of beta-cell development","4/33","24/2914",0.000123584307876694,0.00248469503204722,0.00163637947825651,"EP300/MAML1/NOTCH1/FOXO1",4
"R-HSA-1643685","R-HSA-1643685","Disease","14/33","443/2914",0.000145586213129756,0.00277790120920322,0.00182948026729008,"CDK8/CHUK/CTNNB1/EGFR/EP300/MAML1/NOTCH1/NR4A1/SMAD4/STAT3/NFKB1/FOXO1/STAT1/RELA",14
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","9/33","187/2914",0.000152711846579235,0.00277790120920322,0.00182948026729008,"E2F1/EP300/NR3C1/STAT3/TP53/NFKB1/HIF1A/RELA/CEBPB",9
