"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","PRKDC, FOXM1, CCNE1, E2F4","0.987114964347794",1
"2","#upgenes.ERS_0","FGF21, GSK3A","0.808545075069719",1
"3","#upgenes.HTS_0","","1",1
"4","#upgenes.HYP_0","ANGPT2, CDK1, EFNA1, ETS1, HIF1A, JUN, MET, MXI1, NFKB1, PDGFB, PGF, TEK, TGFA, TP53, VEGFA, VEGFB, VEGFC","0.00124359463933012",0.130577437129663
"5","#upgenes.MTL_0","CDK5","0.994895330123454",1
"6","#upgenes.OXD_0","PDGFRB, SRC, ANGPT4, GATA6, SMAD3, SRF, FYN","0.271140339277773",1
"7","#upgenes.DNA_0.25","PRKDC, FOXM1, CCNE1, E2F4","0.981738933803024",1
"8","#upgenes.ERS_0.25","FGF21, GSK3A","0.766896563521272",1
"9","#upgenes.HTS_0.25","","1",1
"10","#upgenes.HYP_0.25","ANGPT2, CDK1, EFNA1, ETS1, JUN, MET, MXI1, NFKB1, PDGFB, PGF, TEK, TGFA, TP53, VEGFA, VEGFB, VEGFC","0.00125156319569943",0.130577437129663
"11","#upgenes.MTL_0.25","CDK5","0.992588414602197",1
"12","#upgenes.OXD_0.25","PDGFRB, SRC, ANGPT4, GATA6, SMAD3, SRF, FYN","0.20069689074341",1
"13","#upgenes.DNA_0.45","PRKDC, FOXM1, CCNE1, E2F4","0.963872553299707",1
"14","#upgenes.ERS_0.45","GSK3A","0.881612245652086",1
"15","#upgenes.HTS_0.45","","1",1
"16","#upgenes.HYP_0.45","ANGPT2, EFNA1, ETS1, JUN, MXI1, PDGFB, PGF, TEK, TGFA, VEGFA, VEGFB, VEGFC","0.0184570466802406",1
"17","#upgenes.MTL_0.45","CDK5","0.951814513484992",1
"18","#upgenes.OXD_0.45","SRC, ANGPT4, GATA6, SMAD3, FYN","0.383242397899342",1
"19","#upgenes.DNA_0.5","PRKDC, FOXM1, CCNE1, E2F4","0.963872553299707",1
"20","#upgenes.ERS_0.5","GSK3A","0.881612245652086",1
"21","#upgenes.HTS_0.5","","1",1
"22","#upgenes.HYP_0.5","ANGPT2, EFNA1, ETS1, JUN, MXI1, PDGFB, PGF, TEK, TGFA, VEGFA, VEGFB, VEGFC","0.0184570466802406",1
"23","#upgenes.MTL_0.5","CDK5","0.951814513484992",1
"24","#upgenes.OXD_0.5","SRC, ANGPT4, GATA6, SMAD3, FYN","0.383242397899342",1
"25","#upgenes.DNA_0.65","PRKDC, CCNE1","0.986274930738789",1
"26","#upgenes.ERS_0.65","GSK3A","0.833138569266068",1
"27","#upgenes.HTS_0.65","","1",1
"28","#upgenes.HYP_0.65","EFNA1, ETS1, JUN, MXI1, PDGFB, TGFA, VEGFA, VEGFB","0.15100930074635",1
"29","#upgenes.MTL_0.65","CDK5","0.951814513484992",1
"30","#upgenes.OXD_0.65","ANGPT4, SMAD3, FYN","0.456514497849358",1
"31","#upgenes.DNA_0.75","PRKDC, CCNE1","0.986274930738789",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","EFNA1, JUN, MXI1, VEGFA, VEGFB","0.268311314208074",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","ANGPT4, SMAD3, FYN","0.456514497849358",1
"37","#upgenes.DNA_0.85","PRKDC","0.970513290700467",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","EFNA1, JUN, MXI1, VEGFA","0.146374964546537",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","PRKDC","0.970513290700467",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","EFNA1, JUN, MXI1, VEGFA","0.146374964546537",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","PRKDC","0.970513290700467",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","EFNA1, JUN, MXI1, VEGFA","0.146374964546537",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","PRKDC, FOXM1, CCNE1, E2F4","0.987114964347794",1
"56","#dngenes.ERS_0","FGF21, GSK3A","0.808545075069719",1
"57","#dngenes.HTS_0","","1",1
"58","#dngenes.HYP_0","ANGPT2, CDK1, EFNA1, ETS1, HIF1A, JUN, MET, MXI1, NFKB1, PDGFB, PGF, TEK, TGFA, TP53, VEGFA, VEGFB, VEGFC","0.00124359463933012",0.130577437129663
"59","#dngenes.MTL_0","CDK5","0.994895330123454",1
"60","#dngenes.OXD_0","PDGFRB, SRC, ANGPT4, GATA6, SMAD3, SRF, FYN","0.271140339277773",1
"61","#dngenes.DNA_0.25","FOXM1, CCNE1, E2F4","0.946755255086551",1
"62","#dngenes.ERS_0.25","FGF21, GSK3A","0.468142609223241",1
"63","#dngenes.HTS_0.25","","1",1
"64","#dngenes.HYP_0.25","ANGPT2, CDK1, ETS1, HIF1A, MET, NFKB1, PDGFB, PGF, TEK, TGFA, TP53, VEGFC","0.000851778815167943",0.090288554407802
"65","#dngenes.MTL_0.25","CDK5","0.987018399947382",1
"66","#dngenes.OXD_0.25","PDGFRB, SRC, ANGPT4, GATA6, SMAD3, SRF, FYN","0.176105674246624",1
"67","#dngenes.DNA_0.45","FOXM1, E2F4","0.857798978012434",1
"68","#dngenes.ERS_0.45","FGF21","0.614936037221518",1
"69","#dngenes.HTS_0.45","","1",1
"70","#dngenes.HYP_0.45","ANGPT2, CDK1, HIF1A, MET, NFKB1, PGF, TEK, TP53, VEGFC","0.000622943525716413",0.0672779007773726
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","PDGFRB, SRC, GATA6, SRF","0.311074361177478",1
"73","#dngenes.DNA_0.5","FOXM1, E2F4","0.857798978012434",1
"74","#dngenes.ERS_0.5","FGF21","0.614936037221518",1
"75","#dngenes.HTS_0.5","","1",1
"76","#dngenes.HYP_0.5","ANGPT2, CDK1, HIF1A, MET, NFKB1, PGF, TEK, TP53, VEGFC","0.000622943525716413",0.0672779007773726
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","PDGFRB, SRC, GATA6, SRF","0.311074361177478",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","","1",1
"82","#dngenes.HYP_0.65","CDK1, HIF1A, MET, NFKB1, TP53","0.0169244044191117",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","PDGFRB, SRF","0.35061107734761",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","","1",1
"88","#dngenes.HYP_0.75","HIF1A","0.515619896860205",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","PDGFRB, SRF","0.35061107734761",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","","1",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","","1",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
"106","#dngenes.HYP_1","","1",1
"107","#dngenes.MTL_1","","1",1
"108","#dngenes.OXD_1","","1",1
