NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
CSNK2A2	1775	1	15	21	6	13	0.00299049327071925	1
CSNK2A1	517	1	13	19	6	15	0.00806510371152472	1
GNA11	809	1	13	21	8	11	0.00457212310252819	1
RXRG	1176	1	13	21	8	9	0.0106606950077963	1
NOLC1	559	-1	13	19	6	15	0.00806510371152472	1
MAPK14	92	1	12	20	8	12	0.00875910437217865	1
STK39	1396	1	12	20	8	12	0.00875910437217865	1
MINK1	1637	1	12	20	8	12	0.00875910437217865	1
CDON	2097	1	12	20	8	12	0.0111587838895064	1
CDK6	2233	1	12	18	6	16	0.0122664907807836	1
GNA15	3028	1	12	20	8	12	0.00875910437217865	1
GNA14	3029	1	12	20	8	12	0.00875910437217865	1
PLCB2	3226	1	12	20	8	12	0.00875910437217865	1
MAPK9	933	1	11	20	9	11	0.026546232785334	1
THRA	1399	1	11	18	7	13	0.0169060051621355	1
CDH15	2296	1	11	19	8	12	0.0188621211962564	1
GADD45A	721	-1	11	21	10	9	0.0126041085027183	1
PTPRR	1958	-1	11	19	8	13	0.0121748547089767	1
TIA1	94	1	10	20	10	8	0.0234996710738975	1
HNRNPD	95	1	10	20	10	8	0.0234996710738975	1
TIAL1	102	1	10	20	10	8	0.0234996710738975	1
RXRB	1172	1	10	17	7	14	0.0300453661229205	1
MAP3K12	1215	1	10	19	9	12	0.0283472851721594	1
GNAQ	1630	1	10	18	8	14	0.0219379099253748	1
SH3KBP1	1648	1	10	14	4	21	0.0157153077581236	1
FER	1654	1	10	17	7	15	0.0202854081046896	1
TNK2	2220	1	10	16	6	17	0.0258770638064397	1
CLK2	2529	1	10	13	3	23	0.0113666347598905	1
FPR2	2573	1	10	18	8	12	0.0265260646610903	1
HNF1B	2609	1	10	20	10	8	0.046548136119522	1
NTN3	2848	1	10	18	8	13	0.0304781820464114	1
RAN	3087	1	10	18	8	12	0.0265260646610903	1
HNRNPA0	96	-1	10	20	10	8	0.0234996710738975	1
PARN	101	-1	10	20	10	8	0.0234996710738975	1
GADD45B	895	-1	10	17	7	16	0.0333443805674322	1
DAB2IP	1893	-1	10	15	5	20	0.0211339921368255	1
AP2M1	2501	-1	10	13	3	23	0.0113666347598905	1
GADD45G	3022	-1	10	17	7	16	0.0333443805674322	1
FKBP4	4	1	9	16	7	15	0.0390522663898903	1
EGFR	49	1	9	16	7	17	0.0428519982533384	1
PTPN1	71	1	9	13	4	23	0.0263163219269316	1
ATM	133	1	9	16	7	17	0.0343232587897916	1
ATAD2	148	1	9	16	7	17	0.0428519982533384	1
MDC1	156	1	9	17	8	15	0.0554315716570611	1
RPS6KB1	368	1	9	14	5	21	0.0339692308493261	1
KDM3A	404	1	9	16	7	15	0.0390522663898903	1
KDM4A	407	1	9	16	7	15	0.0390522663898903	1
PAXIP1	493	1	9	15	6	19	0.0307970906390305	1
PER1	495	1	9	16	7	17	0.0343232587897916	1
TIMELESS	496	1	9	16	7	17	0.0343232587897916	1
DDX5	537	1	9	16	7	17	0.0490782006414641	1
HMGN1	652	1	9	17	8	15	0.0305671419289383	1
MAT1A	656	1	9	15	6	19	0.0256091856824129	1
ACTL6A	659	1	9	16	7	17	0.0343232587897916	1
MAD2L1	724	1	9	12	3	16	0.0181888670896991	1
KDM7A	730	1	9	16	7	15	0.0390522663898903	1
LMO4	788	1	9	15	6	19	0.0404981015586172	1
HBEGF	1054	1	9	15	6	18	0.0346858355965763	1
FGFR1	1167	1	9	18	9	13	0.0614861831403331	1
NCK2	1168	1	9	16	7	16	0.0428519982533384	1
BTC	1234	1	9	15	6	18	0.0346858355965763	1
MBIP	1239	1	9	18	9	11	0.04566687622908	1
SPAG9	1274	1	9	18	9	13	0.0391958495156105	1
SNW1	1339	1	9	13	4	16	0.0255236924891148	1
NR2C2	1403	1	9	17	8	14	0.0371368752097163	1
EPGN	1500	1	9	15	6	18	0.0346858355965763	1
KISS1R	1998	1	9	17	8	13	0.0371368752097163	1
PCBD1	2011	1	9	17	8	3	0.0509635993864973	1
AGTR2	2103	1	9	17	8	13	0.0371368752097163	1
SRF	2148	1	9	15	6	18	0.0417098368275665	1
GPER1	2589	1	9	18	9	12	0.051076955645353	1
ADRB1	2664	1	9	18	9	11	0.0391958495156105	1
P2RY13	2667	1	9	17	8	13	0.0427242618018164	1
MMP3	2686	1	9	15	6	16	0.0404981015586172	1
NMUR1	2722	1	9	17	8	13	0.0371368752097163	1
TNC	2937	1	9	16	7	16	0.0390522663898903	1
HSP90B1	2950	1	9	16	7	15	0.0390522663898903	1
NEK6	3021	1	9	14	5	20	0.0339692308493261	1
RCC1	3078	1	9	17	8	5	0.0427242618018164	1
RANGAP1	3099	1	9	17	8	5	0.0427242618018164	1
RANBP1	3102	1	9	17	8	5	0.0427242618018164	1
XPO5	3131	1	9	16	7	7	0.0343232587897916	1
SVIL	3154	1	9	16	7	15	0.0390522663898903	1
ZMIZ1	3215	1	9	16	7	15	0.0390522663898903	1
TSHR	3219	1	9	17	8	13	0.0371368752097163	1
NCOA6	3353	1	9	16	7	15	0.0390522663898903	1
POLR2K	3423	1	9	15	6	19	0.0404981015586172	1
FASTK	3438	1	9	19	10	4	0.040463961990154	1
GAK	3480	1	9	16	7	15	0.0390522663898903	1
CAPNS1	415	-1	9	12	3	23	0.0183862836848304	1
PPM1D	432	-1	9	17	8	15	0.0509635993864973	1
BRCA1	490	-1	9	15	6	19	0.0404981015586172	1
SIRT1	498	-1	9	16	7	17	0.0428519982533384	1
ATRIP	672	-1	9	15	6	19	0.0404981015586172	1
RPS19BP1	773	-1	9	16	7	14	0.0428519982533384	1
BABAM1	916	-1	9	15	6	19	0.0404981015586172	1
BARD1	920	-1	9	15	6	19	0.0404981015586172	1
ABRAXAS1	966	-1	9	15	6	19	0.0404981015586172	1
RGS19	1698	-1	9	17	8	13	0.0371368752097163	1
RAD50	1969	-1	9	15	6	19	0.0404981015586172	1
DUSP26	2315	-1	9	16	7	17	0.0286788365792844	1
UIMC1	2331	-1	9	15	6	19	0.0404981015586172	1
FOXA1	2569	-1	9	16	7	15	0.0390522663898903	1
HIC1	2606	-1	9	17	8	14	0.0427242618018164	1
CALR	2857	-1	9	16	7	15	0.0390522663898903	1
CDC27	2973	-1	9	11	2	21	0.0100877460002775	1
PA2G4	2979	-1	9	16	7	15	0.0390522663898903	1
RNF14	3058	-1	9	16	7	15	0.0390522663898903	1
CCAR2	3179	-1	9	16	7	14	0.0428519982533384	1
TCF4	3214	-1	9	16	7	15	0.0390522663898903	1
BAP1	3319	-1	9	15	6	19	0.0404981015586172	1
CDH1	242	1	8	13	5	21	0.0472155033218314	1
AR	636	1	8	16	8	16	0.0708616887380439	1
HINFP	682	1	8	15	7	18	0.0552559287277963	1
TELO2	720	1	8	16	8	16	0.0517883008585482	1
JUNB	878	1	8	15	7	18	0.0676520999767241	1
ESR2	1177	1	8	18	10	12	0.0803652642843902	1
TPBG	1293	1	8	15	7	17	0.0647138663186184	1
SNX9	1310	1	8	15	7	17	0.0647138663186184	1
FRS2	1389	1	8	12	4	23	0.0391313054918668	1
MT-RNR2	1509	1	8	16	8	5	0.0595753191347386	1
SAA1	1510	1	8	16	8	5	0.0595753191347386	1
CGA	1512	1	8	16	8	7	0.0595753191347386	1
KISS1	1565	1	8	16	8	7	0.0595753191347386	1
TSHB	1612	1	8	16	8	7	0.0595753191347386	1
PPP3CB	1827	1	8	21	13	6	0.107745408490908	1
PPP3CC	1830	1	8	21	13	6	0.107745408490908	1
ADRA1D	1874	1	8	16	8	14	0.0517883008585482	1
AVPR1A	1879	1	8	16	8	14	0.0517883008585482	1
CYSLTR2	1894	1	8	16	8	14	0.0595753191347386	1
PTGER1	1911	1	8	16	8	14	0.0517883008585482	1
PTGFR	1916	1	8	16	8	14	0.0517883008585482	1
PTGIR	1917	1	8	16	8	14	0.0517883008585482	1
GPHA2	1952	1	8	16	8	7	0.0595753191347386	1
SRCAP	2143	1	8	16	8	15	0.0772766901378212	1
THBS1	2202	1	8	16	8	16	0.07373041930279	1
ADRA1B	2498	1	8	16	8	14	0.0517883008585482	1
FGF13	2562	1	8	15	7	17	0.0647138663186184	1
ICAM1	2621	1	8	15	7	17	0.0647138663186184	1
MC1R	2672	1	8	16	8	14	0.0517883008585482	1
AHR	2714	1	8	14	6	18	0.0499742601013477	1
CCNE1	2976	1	8	18	10	11	0.095187130042858	1
