"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","30/47","481/2914",2.62227828953088e-13,1.25082674410623e-10,8.11526123286399e-11,"ABL1/CREBBP/CSNK2A1/ESR1/MAPK14/NOTCH1/NR3C1/PPARG/PTEN/RB1/SP1/STAT1/AKT2/GSK3B/JUN/MAPK1/MAPK3/PRKACA/SMAD3/TP53/YY1/FOS/FOXO3/MEF2C/TWIST1/SPI1/BCL6/MYB/FOXO1/TCF7L2",30
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","30/47","499/2914",7.23461574886645e-13,1.72545585610465e-10,1.1194615948246e-10,"ABL1/CREBBP/CSNK2A1/ESR1/MAPK14/NOTCH1/NR3C1/PPARG/PTEN/RB1/SP1/STAT1/AKT2/GSK3B/JUN/MAPK1/MAPK3/PRKACA/SMAD3/TP53/YY1/FOS/FOXO3/MEF2C/TWIST1/SPI1/BCL6/MYB/FOXO1/TCF7L2",30
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","26/47","397/2914",1.17426343018146e-11,1.86707885398852e-09,1.21134543323982e-09,"ABL1/CREBBP/CSNK2A1/MAPK14/NOTCH1/NR2F2/PPARG/RPS6KA4/RPS6KA5/STAT3/AKT2/GSK3B/JUN/MAPK1/MAPK3/PRKACA/SMAD3/CEBPB/MYOD1/YY1/FOXO3/MEF2C/SPI1/TCF4/MYB/FOXO1",26
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","9/47","30/2914",3.68510877819685e-10,4.39449221799974e-08,2.85111047576283e-08,"MAPK14/MAPKAPK2/RPS6KA5/JUN/MAPK1/MAPK3/ATF1/FOS/MEF2C",9
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","10/47","62/2914",2.5274153897734e-08,2.41115428184383e-06,1.56433710440712e-06,"ABL1/ESR1/NR3C1/RB1/STAT1/AKT2/GSK3B/MAPK1/MAPK3/TWIST1",10
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","7/47","24/2914",5.03994335484391e-08,4.00675496710091e-06,2.59954973039318e-06,"MAPK14/MAPKAPK2/RPS6KA5/MAPK1/MAPK3/ATF1/MEF2C",7
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","5/47","10/2914",2.08521772230276e-07,1.27013823934233e-05,8.24055262863613e-06,"MAPK14/JUN/MAPK1/MAPK3/FOS",5
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","19/47","332/2914",2.50752155627836e-07,1.27013823934233e-05,8.24055262863613e-06,"LCK/MAPK14/MAPKAPK2/RPS6KA5/STAT1/STAT3/JUN/MAPK1/MAPK3/PRKACA/SMAD3/TP53/ATF1/FOS/FOXO3/MEF2C/TWIST1/BCL6/FOXO1",19
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","11/47","99/2914",2.51229741198958e-07,1.27013823934233e-05,8.24055262863613e-06,"MAPK14/MAPKAPK2/RB1/SP1/STAT3/JUN/MAPK1/MAPK3/TP53/CEBPB/FOS",11
"R-HSA-450294","R-HSA-450294","MAP kinase activation","9/47","60/2914",2.66276360449127e-07,1.27013823934233e-05,8.24055262863613e-06,"MAPK14/MAPKAPK2/RPS6KA5/JUN/MAPK1/MAPK3/ATF1/FOS/MEF2C",9
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","9/47","64/2914",4.72894388412119e-07,2.05064202975073e-05,1.33043971476711e-05,"MAPK14/MAPKAPK2/RPS6KA5/JUN/MAPK1/MAPK3/ATF1/FOS/MEF2C",9
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","11/47","108/2914",6.18977197680929e-07,2.37962026302295e-05,1.54387809186527e-05,"CREBBP/ESR1/SP1/AKT2/JUN/MAPK1/MAPK3/YY1/FOS/FOXO3/MYB",11
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","14/47","187/2914",6.48533824303948e-07,2.37962026302295e-05,1.54387809186527e-05,"CREBBP/MAPK14/MAPKAPK2/NR3C1/RB1/SP1/STAT3/GSK3B/JUN/MAPK1/MAPK3/TP53/CEBPB/FOS",14
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","14/47","189/2914",7.40011662197719e-07,2.52132544905937e-05,1.63581525327917e-05,"CREBBP/MAPK14/MAPKAPK2/NR3C1/RB1/SP1/STAT3/GSK3B/JUN/MAPK1/MAPK3/TP53/CEBPB/FOS",14
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","14/47","201/2914",1.57812526669894e-06,4.83370127253144e-05,3.13606570478703e-05,"CSNK2A1/ESR1/LCK/PPARG/PTEN/AKT2/GSK3B/JUN/MAPK1/MAPK3/PRKACA/TP53/FOXO3/FOXO1",14
