"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","FOXM1, KAT5","0.609483787208032",1
"3","DNA_thresholded_200","FOXM1, KAT5","0.91605800816426",1
"4","DNA_thresholded_300","FOXM1, KAT5","0.984755006564553",1
"5","DNA_thresholded_400","FOXM1, KAT5","0.997433605661852",1
"6","DNA_thresholded_477","FOXM1, KAT5, TP73, CRY1","0.985993901965823",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","TBK1","0.983389823416237",1
"10","ERS_thresholded_300","TBK1","0.997800231651428",1
"11","ERS_thresholded_400","TBK1","0.999696296667463",1
"12","ERS_thresholded_477","TBK1","0.999933701809029",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","GSK3B","0.874253625717558",1
"15","HTS_thresholded_200","GSK3B, CREBBP, MAPK1, MAPK3","0.571969143277729",1
"16","HTS_thresholded_300","GSK3B, CREBBP, MAPK1, MAPK3","0.849784951069671",1
"17","HTS_thresholded_400","GSK3B, CREBBP, MAPK1, MAPK3","0.956811636192844",1
"18","HTS_thresholded_477","GSK3B, CREBBP, MAPK1, MAPK3, FOXO1, PRKAA1, FOS","0.816376575069151",1
"19","HYP_thresholded_050","RPS6KA5","0.645687508705979",1
"20","HYP_thresholded_100","RPS6KA5, NFKB1, EGR1, BHLHE40","0.143395902184424",1
"21","HYP_thresholded_200","RPS6KA5, NFKB1, EGR1, BHLHE40","0.571747316080205",1
"22","HYP_thresholded_300","RPS6KA5, NFKB1, EGR1, BHLHE40","0.851436207582646",1
"23","HYP_thresholded_400","RPS6KA5, NFKB1, EGR1, BHLHE40","0.958037878118538",1
"24","HYP_thresholded_477","RPS6KA5, NFKB1, EGR1, BHLHE40, MYOD1","0.959056797459162",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","MAPK9, ATF1","0.999109972676258",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","SMAD3","0.984033010997964",1
"34","OXD_thresholded_300","SMAD3, MAPK13, STAT1","0.940625051987287",1
"35","OXD_thresholded_400","SMAD3, MAPK13, STAT1","0.986140417116368",1
"36","OXD_thresholded_477","SMAD3, MAPK13, STAT1","0.995675006065099",1
