"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-450294","R-HSA-450294","MAP kinase activation","18/68","60/2914",1.72585295254333e-16,8.09425034742822e-14,4.57805204253599e-14,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","14/68","30/2914",3.82341695863139e-16,8.96591276799062e-14,5.07105828197427e-14,"JUN/MAPK14/MAPK8/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/MEF2A/MEF2C/CREB1/FOS/ATF1",14
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","18/68","64/2914",6.28564530469385e-16,9.82655882633806e-14,5.55783374309772e-14,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-168164","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","20/68","87/2914",8.85178475136542e-16,1.0378717620976e-13,5.87013094037917e-14,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/IKBKE/TBK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",20
"R-HSA-166166","R-HSA-166166","MyD88-independent TLR4 cascade ","20/68","90/2914",1.80935396389329e-15,1.41431168177659e-13,7.99924910352821e-14,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/IKBKE/TBK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",20
"R-HSA-937061","R-HSA-937061","TRIF(TICAM1)-mediated TLR4 signaling ","20/68","90/2914",1.80935396389329e-15,1.41431168177659e-13,7.99924910352821e-14,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/IKBKE/TBK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",20
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","18/68","78/2914",2.93470330709501e-14,1.52930650114173e-12,8.64965185249056e-13,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","18/68","78/2914",2.93470330709501e-14,1.52930650114173e-12,8.64965185249056e-13,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","18/68","78/2914",2.93470330709501e-14,1.52930650114173e-12,8.64965185249056e-13,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","18/68","83/2914",9.48543642001464e-14,4.28279104790541e-12,2.4223170105985e-12,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-166016","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","20/68","110/2914",1.12559910215483e-13,4.28279104790541e-12,2.4223170105985e-12,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/IKBKE/TBK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",20
"R-HSA-168181","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","18/68","84/2914",1.18712758257506e-13,4.28279104790541e-12,2.4223170105985e-12,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-975155","R-HSA-975155","MyD88 dependent cascade initiated on endosome","18/68","84/2914",1.18712758257506e-13,4.28279104790541e-12,2.4223170105985e-12,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-166058","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","18/68","86/2914",1.84176554242651e-13,5.3986752462377e-12,3.05345339928605e-12,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
"R-HSA-168138","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","18/68","86/2914",1.84176554242651e-13,5.3986752462377e-12,3.05345339928605e-12,"JUN/MAP2K1/MAP3K7/MAPK14/MAPK8/NFKB1/ELK1/MAPK1/MAPK3/MAPK11/MAPK9/RPS6KA5/TAB1/MEF2A/MEF2C/CREB1/FOS/ATF1",18
