"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","66/125","481/2914",1.10797479089001e-21,7.83338177159238e-19,4.21030420538205e-19,"AR/CDK5/CTNNB1/E2F1/EGFR/ESR1/FOXO1/GATA3/JUN/MAX/MYB/MYC/NR1I2/NR3C1/PARP1/SMAD3/SMAD4/STAT1/SUMO1/TP53/UBE2I/CCNE1/CDK1/FBXW7/GSK3B/KAT2B/MDM2/PPARGC1A/YWHAQ/EP300/HDAC1/MAML1/NOTCH1/PPARG/ABL1/ERBB2/MAPK1/MAPK14/MAPK3/SRC/CDKN1A/CREBBP/PDPK1/WWOX/CREB1/RORA/SP1/PRDX1/STK11/AKT1/CAV1/E2F4/PPP2CA/PTEN/RBL1/SMAD2/TRIM28/FOXO3/TCF7/MYBL2/HNF4A/GATA2/ESRRA/MEF2C/TAF1/TFDP1",66
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","66/125","499/2914",9.67850961908989e-21,3.42135315034828e-18,1.83891682762708e-18,"AR/CDK5/CTNNB1/E2F1/EGFR/ESR1/FOXO1/GATA3/JUN/MAX/MYB/MYC/NR1I2/NR3C1/PARP1/SMAD3/SMAD4/STAT1/SUMO1/TP53/UBE2I/CCNE1/CDK1/FBXW7/GSK3B/KAT2B/MDM2/PPARGC1A/YWHAQ/EP300/HDAC1/MAML1/NOTCH1/PPARG/ABL1/ERBB2/MAPK1/MAPK14/MAPK3/SRC/CDKN1A/CREBBP/PDPK1/WWOX/CREB1/RORA/SP1/PRDX1/STK11/AKT1/CAV1/E2F4/PPP2CA/PTEN/RBL1/SMAD2/TRIM28/FOXO3/TCF7/MYBL2/HNF4A/GATA2/ESRRA/MEF2C/TAF1/TFDP1",66
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","45/125","268/2914",2.35257359385281e-17,5.54423176951312e-15,2.97992655221356e-15,"CTNNB1/EGFR/ESR1/FGF8/FOXO1/MYC/SMAD3/SMAD4/STAT1/FBXW7/GSK3B/KAT2B/MDM2/EP300/HDAC1/MAML1/NOTCH1/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/SRC/CDKN1A/CREBBP/PDPK1/PIK3R1/SHC1/STAT3/TGFBR2/PIK3CA/CREB1/FYN/AKT1/MAP3K11/RAC1/PPP2CA/PTEN/SMAD2/FOXO3/CUX1",45
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","54/125","397/2914",7.98129198573379e-17,1.41069335847845e-14,7.58222738644711e-15,"CDK5/CTNNB1/E2F1/EGFR/EPHA4/FOXO1/JUN/MYB/MYC/SMAD3/SMAD4/GSK3B/KAT2B/PPARGC1A/EP300/MAML1/NOTCH1/PPARG/ABL1/ABL2/ERBB2/MAPK1/MAPK14/MAPK3/RET/SRC/CDKN1A/CREBBP/MAPK8/PIK3R1/SHC1/STAT3/PIK3CA/CREB1/PIAS2/RELA/FYN/RPS6KA3/AKT1/PAK1/PAK2/RAC1/SMAD2/PTK2/RHOA/VAV3/FOXO3/CEBPA/CEBPB/HNF4A/GATA2/FLI1/MEF2C/TFDP1",54
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","32/125","172/2914",1.68484267158993e-13,2.38236753762816e-11,1.28048043040835e-11,"EGFR/ESR1/FGF8/FOXO1/JUN/TP53/GSK3B/MDM2/HDAC1/PPARG/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/SRC/CDKN1A/PDPK1/PIK3R1/PIK3CA/CREB1/TRAF6/FYN/AKT1/RAC1/PPP2CA/PTEN/FOXO3",32
"R-HSA-1643685","R-HSA-1643685","Disease","52/125","443/2914",2.57287512473931e-13,3.03170452198448e-11,1.62948757900156e-11,"CDK5/CTNNB1/EGFR/ESR1/FGF8/FOXO1/JUN/MYC/SMAD3/SMAD4/STAT1/FBXW7/GSK3B/KAT2B/MDM2/EP300/HDAC1/MAML1/NOTCH1/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/SRC/CDKN1A/CREBBP/PDPK1/PIK3R1/SHC1/STAT3/TGFBR2/PIK3CA/TICAM1/CREB1/RELA/PRDX1/FYN/AKT1/MAP3K11/PAK2/RAC1/PPP2CA/PTEN/SMAD2/FOXO3/CUX1/TAF1",52
"R-HSA-2219528","R-HSA-2219528","PI3K/AKT Signaling in Cancer","24/125","97/2914",4.37753874337842e-13,4.42131413081221e-11,2.37637817497686e-11,"EGFR/ESR1/FGF8/FOXO1/GSK3B/MDM2/ERBB2/ERBB4/FGFR3/FGFR4/PDGFB/PDGFRA/PDGFRB/SRC/CDKN1A/PDPK1/PIK3R1/PIK3CA/CREB1/FYN/AKT1/RAC1/PTEN/FOXO3",24
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","25/125","108/2914",6.89045020303979e-13,6.08943536693642e-11,3.2729638464439e-11,"EGFR/ESR1/GATA3/JUN/MYB/MYC/KAT2B/EP300/HDAC1/ERBB4/MAPK1/MAPK3/SRC/CREBBP/PDPK1/PIK3R1/SHC1/PIK3CA/CREB1/SP1/FKBP4/AKT1/CAV1/PTK2/FOXO3",25
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","33/125","201/2914",2.69837582187351e-12,2.11972411784952e-10,1.13931423590215e-10,"EGFR/ESR1/FGF8/FOXO1/JUN/TP53/GSK3B/MDM2/HDAC1/PPARG/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/PRKCD/SRC/CDKN1A/PDPK1/PIK3R1/PIK3CA/CREB1/TRAF6/FYN/AKT1/RAC1/PPP2CA/PTEN/FOXO3",33
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","16/125","49/2914",5.10480188501775e-11,3.60909493270755e-09,1.93982471630675e-09,"FOXO1/NR3C1/SMAD3/SMAD4/KAT2B/PPARGC1A/YWHAQ/EP300/HDAC1/CDKN1A/CREBBP/STK11/AKT1/CAV1/SMAD2/FOXO3",16
"R-HSA-9006931","R-HSA-9006931","Signaling by Nuclear Receptors","25/125","136/2914",1.60852396866046e-10,1.03384222349358e-08,5.55671916446339e-09,"EGFR/ESR1/GATA3/JUN/MYB/MYC/KAT2B/EP300/HDAC1/ERBB4/MAPK1/MAPK3/SRC/CREBBP/PDPK1/PIK3R1/SHC1/PIK3CA/CREB1/SP1/FKBP4/AKT1/CAV1/PTK2/FOXO3",25
"R-HSA-9006934","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","41/125","347/2914",2.1981051082385e-10,1.25666044268821e-08,6.75432769761699e-09,"CDK5/CTNNB1/EGFR/ESR1/FGF8/STAT1/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK14/MAPK3/NTRK1/PDGFB/PDGFRA/PDGFRB/PRKCD/SRC/CRK/PDPK1/PIK3R1/SHC1/STAT3/WWOX/FER/PIK3CA/CREB1/FYN/PTPN2/RPS6KA3/AKT1/PAK1/PAK2/RAC1/CAV1/PPP2CA/PTK2/RHOA/VAV3/MEF2C",41
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","12/125","27/2914",2.31069105444792e-10,1.25666044268821e-08,6.75432769761699e-09,"E2F1/MYB/MYC/EP300/CDKN1A/STAT3/CREB1/CEBPA/CEBPB/GATA2/FLI1/TFDP1",12
"R-HSA-199418","R-HSA-199418","Negative regulation of the PI3K/AKT network","21/125","99/2914",3.56610867622272e-10,1.80088488149247e-08,9.67943783546167e-09,"EGFR/ESR1/FGF8/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/SRC/PIK3R1/PIK3CA/TRAF6/FYN/AKT1/RAC1/PPP2CA/PTEN",21
"R-HSA-6811558","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","20/125","92/2914",6.19124026424893e-10,2.918137911216e-08,1.56844753360973e-08,"EGFR/ESR1/FGF8/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/SRC/PIK3R1/PIK3CA/TRAF6/FYN/AKT1/RAC1/PPP2CA",20
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","10/125","19/2914",9.83365885870157e-10,4.34524800818875e-08,2.33549397894162e-08,"E2F1/MAX/MYC/CCNE1/CDK1/HDAC1/E2F4/RBL1/MYBL2/TFDP1",10
"R-HSA-8864260","R-HSA-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","11/125","25/2914",1.56408397956361e-09,6.50474925618514e-08,3.49618771902454e-08,"EGFR/ESR1/MYC/SUMO1/UBE2I/EP300/ERBB2/CDKN1A/CREBBP/WWOX/MYBL2",11
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","15/125","53/2914",2.08164239362867e-09,8.17622873497484e-08,4.39457838654942e-08,"CTNNB1/MYC/SMAD3/SMAD4/TP53/KAT2B/MDM2/EP300/MAML1/NOTCH1/SRC/CDKN1A/CREBBP/FOXO3/TCF7",15
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","16/125","62/2914",2.59949136634872e-09,9.67284418951867e-08,5.19898273269745e-08,"AR/ESR1/NR3C1/SMAD4/STAT1/CDK1/FBXW7/GSK3B/PPARGC1A/ABL1/MAPK1/MAPK3/SRC/CDKN1A/AKT1/ESRRA",16
"R-HSA-2871796","R-HSA-2871796","FCERI mediated MAPK activation","11/125","30/2914",1.59559518658917e-08,5.36556602293111e-07,2.88389687229678e-07,"JUN/MAPK1/MAPK3/MAPK8/SHC1/MAPK10/MAPK9/PAK1/PAK2/RAC1/VAV3",11
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","11/125","30/2914",1.59559518658917e-08,5.36556602293111e-07,2.88389687229678e-07,"JUN/MAPK1/MAPK14/MAPK3/MAPK8/CREB1/RPS6KA3/MAPK10/MAPK9/PPP2CA/MEF2C",11
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","18/125","89/2914",1.66962450501392e-08,5.36556602293111e-07,2.88389687229678e-07,"CDK5/MAPK1/MAPK14/MAPK3/NTRK1/SRC/CRK/PIK3R1/SHC1/STAT3/PIK3CA/CREB1/FYN/RPS6KA3/RAC1/PPP2CA/RHOA/MEF2C",18
"R-HSA-1362300","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","7/125","10/2914",2.44282877005228e-08,7.19616641844566e-07,3.86781221924944e-07,"E2F1/CDK1/HDAC1/E2F4/RBL1/MYBL2/TFDP1",7
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","7/125","10/2914",2.44282877005228e-08,7.19616641844566e-07,3.86781221924944e-07,"JUN/MAPK1/MAPK14/MAPK3/MAPK8/MAPK10/MAPK9",7
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","26/125","187/2914",3.51159606407975e-08,9.93079366921753e-07,5.33762601740122e-07,"AR/E2F1/JUN/NR3C1/TP53/CCNE1/GSK3B/MDM2/EP300/MAPK1/MAPK14/MAPK3/CDKN1A/CREBBP/MAPK8/STAT3/RELA/SP1/PRDX1/FKBP4/RPS6KA3/MAPK10/MAPK9/CEBPB/HIF1A/TFDP1",26
"R-HSA-5683057","R-HSA-5683057","MAPK family signaling cascades","27/125","202/2914",4.31038536338067e-08,1.15333923504119e-06,6.1989944740545e-07,"EGFR/FGF8/FOXO1/JUN/MYC/CDK1/ERBB2/ERBB4/FGFR3/FGFR4/MAPK1/MAPK3/PDGFB/PDGFRA/PDGFRB/RET/SRC/SHC1/DUSP1/FYN/MAP3K11/PAK1/PAK2/RAC1/PPP2CA/PTK2/FOXO3",27
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","26/125","189/2914",4.40454870524925e-08,1.15333923504119e-06,6.1989944740545e-07,"AR/E2F1/JUN/NR3C1/TP53/CCNE1/GSK3B/MDM2/EP300/MAPK1/MAPK14/MAPK3/CDKN1A/CREBBP/MAPK8/STAT3/RELA/SP1/PRDX1/FKBP4/RPS6KA3/MAPK10/MAPK9/CEBPB/HIF1A/TFDP1",26
"R-HSA-4420097","R-HSA-4420097","VEGFA-VEGFR2 Pathway","17/125","85/2914",5.18864819929829e-08,1.31013367032282e-06,7.04173684190482e-07,"CTNNB1/MAPK14/PRKCD/SRC/CRK/PDPK1/PIK3R1/PIK3CA/FYN/AKT1/PAK1/PAK2/RAC1/CAV1/PTK2/RHOA/VAV3",17
"R-HSA-3108232","R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","19/125","107/2914",6.0839545996868e-08,1.48322617309606e-06,7.97207844096892e-07,"AR/ESR1/NR1I2/NR3C1/PARP1/SUMO1/TP53/UBE2I/MDM2/PPARGC1A/EP300/HDAC1/PPARG/CREBBP/IKBKE/PIAS2/RELA/RORA/TRIM28",19
"R-HSA-1362277","R-HSA-1362277","Transcription of E2F targets under negative control by DREAM complex","7/125","11/2914",6.47938276521712e-08,1.52697453833617e-06,8.20721816927502e-07,"E2F1/MAX/MYC/HDAC1/E2F4/RBL1/TFDP1",7
"R-HSA-2454202","R-HSA-2454202","Fc epsilon receptor (FCERI) signaling","17/125","87/2914",7.47416339123369e-08,1.70459145729104e-06,9.16187770538323e-07,"JUN/MAPK1/MAPK3/MAPK8/PDPK1/PIK3R1/SHC1/PIK3CA/RELA/TRAF6/FYN/MAPK10/MAPK9/PAK1/PAK2/RAC1/VAV3",17
"R-HSA-2990846","R-HSA-2990846","SUMOylation","19/125","109/2914",8.31823166125569e-08,1.83780930765868e-06,9.87790009774113e-07,"AR/ESR1/NR1I2/NR3C1/PARP1/SUMO1/TP53/UBE2I/MDM2/PPARGC1A/EP300/HDAC1/PPARG/CREBBP/IKBKE/PIAS2/RELA/RORA/TRIM28",19
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","18/125","99/2914",9.64080431985931e-08,2.0654692891335e-06,1.11015322471107e-06,"E2F1/JUN/TP53/CCNE1/MDM2/MAPK1/MAPK14/MAPK3/CDKN1A/MAPK8/STAT3/RELA/SP1/RPS6KA3/MAPK10/MAPK9/CEBPB/TFDP1",18
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","15/125","70/2914",1.29199418560654e-07,2.68658790948184e-06,1.44399350156025e-06,"MAPK1/MAPK14/MAPK3/NTRK1/SRC/CRK/PIK3R1/SHC1/STAT3/PIK3CA/CREB1/RPS6KA3/PPP2CA/RHOA/MEF2C",15
"R-HSA-194138","R-HSA-194138","Signaling by VEGF","17/125","92/2914",1.77560265488834e-07,3.56584691724131e-06,1.91657967263324e-06,"CTNNB1/MAPK14/PRKCD/SRC/CRK/PDPK1/PIK3R1/PIK3CA/FYN/AKT1/PAK1/PAK2/RAC1/CAV1/PTK2/RHOA/VAV3",17
"R-HSA-1912408","R-HSA-1912408","Pre-NOTCH Transcription and Translation","9/125","23/2914",1.81570705828412e-07,3.56584691724131e-06,1.91657967263324e-06,"E2F1/JUN/TP53/KAT2B/EP300/MAML1/NOTCH1/CREBBP/TFDP1",9
"R-HSA-2219530","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer","15/125","72/2914",1.92328318089366e-07,3.6750302943022e-06,1.9752638074043e-06,"EGFR/ESR1/FGF8/ERBB2/ERBB4/FGFR3/FGFR4/PDGFB/PDGFRA/PDGFRB/SRC/PIK3R1/PIK3CA/FYN/RAC1",15
"R-HSA-157118","R-HSA-157118","Signaling by NOTCH","18/125","104/2914",2.123585250749e-07,3.92178442827503e-06,2.10788979171784e-06,"E2F1/EGFR/JUN/MYC/SMAD3/STAT1/TP53/FBXW7/KAT2B/EP300/HDAC1/MAML1/NOTCH1/CREBBP/CREB1/AKT1/HIF1A/TFDP1",18
"R-HSA-9009391","R-HSA-9009391","Extra-nuclear estrogen signaling","14/125","63/2914",2.16336057571041e-07,3.92178442827503e-06,2.10788979171784e-06,"EGFR/ESR1/MAPK1/MAPK3/SRC/PDPK1/PIK3R1/SHC1/PIK3CA/CREB1/AKT1/CAV1/PTK2/FOXO3",14
"R-HSA-2173796","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","9/125","24/2914",2.80084618934682e-07,4.9504956396705e-06,2.66080387987948e-06,"MYC/SMAD3/SMAD4/HDAC1/SP1/E2F4/RBL1/SMAD2/TFDP1",9
"R-HSA-168164","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","16/125","87/2914",4.53124958334765e-07,7.81364257421167e-06,4.19969473578562e-06,"JUN/MAPK1/MAPK14/MAPK3/MAPK8/IKBKE/TBK1/TICAM1/CREB1/RELA/TRAF6/RPS6KA3/MAPK10/MAPK9/PPP2CA/MEF2C",16
