NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
HDAC2	562	-1	15	19	4	9	0.00290400926318823	1
NANOS1	770	-1	15	18	3	7	0.00164984319604653	1
DYRK1A	1267	-1	14	18	4	11	0.00149641849885947	1
CTNNB1	284	1	13	15	2	16	0.00173766826474545	1
DAB2	1086	1	13	17	4	11	0.00788955909071324	1
CSNK1A1L	1259	1	13	15	2	14	0.00173766826474545	1
PDHX	2752	1	13	16	3	7	0.0024520011956242	1
WLS	2340	-1	13	17	4	9	0.00746597214298662	1
WNT1	214	1	12	14	2	16	0.0045801809412229	1
NR5A1	509	1	12	15	3	12	0.00768206809108331	1
SOX4	678	1	12	14	2	15	0.00340529369439079	1
YAP1	760	1	12	17	5	10	0.0122073082906501	1
GNRHR	811	1	12	15	3	14	0.00768206809108331	1
CBY1	1277	1	12	14	2	15	0.00340529369439079	1
BCL9	1324	1	12	14	2	15	0.00340529369439079	1
GNRH2	1521	1	12	15	3	12	0.00768206809108331	1
RNF11	2007	1	12	16	4	11	0.0115360006917775	1
PCBP2	2361	1	12	17	5	9	0.0182509598947829	1
PKD1	86	-1	12	14	2	15	0.00340529369439079	1
CHD8	670	-1	12	14	2	15	0.00340529369439079	1
SOX17	679	-1	12	14	2	15	0.00340529369439079	1
CTNNBIP1	775	-1	12	14	2	15	0.00340529369439079	1
WNT3A	1161	-1	12	17	5	10	0.01586193382521	1
ANAPC1	1691	-1	12	16	4	13	0.0072651890276868	1
FHIT	2115	-1	12	14	2	15	0.00340529369439079	1
SOX3	2135	-1	12	14	2	15	0.00340529369439079	1
SOX6	2136	-1	12	14	2	15	0.00340529369439079	1
BCOR	2264	-1	12	17	5	10	0.0172846498198047	1
CTNNA2	2538	-1	12	17	5	9	0.0122073082906501	1
PTPRU	2971	-1	12	14	2	15	0.00340529369439079	1
CHKA	3036	-1	12	14	2	15	0.00340529369439079	1
CDX2	3037	-1	12	14	2	15	0.00340529369439079	1
RABAC1	3230	-1	12	14	2	15	0.00340529369439079	1
TBL1X	3318	-1	12	14	2	15	0.00340529369439079	1
GRM1	8	1	11	14	3	14	0.0124173817125314	1
CARM1	419	1	11	13	2	16	0.00534728766198594	1
SPHK2	778	1	11	16	5	10	0.0232061872979868	1
MAP4K3	1247	1	11	15	4	14	0.0204618557028801	1
MNAT1	2130	1	11	13	2	15	0.00794665763771156	1
PTPRM	2972	1	11	13	2	17	0.00647647295900849	1
NOS1	376	-1	11	16	5	8	0.0289520891421771	1
GSK3A	444	-1	11	15	4	14	0.0192569117766735	1
MAF	794	-1	11	14	3	12	0.00530858264607418	1
SLC9A3R1	28	1	10	17	7	8	0.0538759132661291	1
PIN1	480	1	10	17	7	9	0.0484186248231461	1
XIAP	898	1	10	15	5	12	0.0290651366401526	1
PRL	1022	1	10	11	1	19	0.00665751198046413	1
FRZB	1039	1	10	13	3	14	0.0223136555125923	1
UBR5	1261	1	10	11	1	12	0.00677275519716996	1
CGA	1512	1	10	13	3	10	0.0223136555125923	1
KISS1	1565	1	10	13	3	10	0.0223136555125923	1
TSHB	1612	1	10	13	3	10	0.0223136555125923	1
CYSLTR2	1894	1	10	13	3	16	0.0231024467717528	1
PTH	1919	1	10	15	5	10	0.0333480145972157	1
GPHA2	1952	1	10	13	3	10	0.0223136555125923	1
KISS1R	1998	1	10	13	3	15	0.0223136555125923	1
AGTR2	2103	1	10	13	3	15	0.0223136555125923	1
ADIPOQ	2114	1	10	12	2	13	0.00826136014324258	1
STIL	2163	1	10	17	7	8	0.0484186248231461	1
ADIPOR2	2259	1	10	12	2	13	0.00826136014324258	1
ADIPOR1	2286	1	10	12	2	13	0.00826136014324258	1
APOA1	2291	1	10	10	0	4	0.00137613894729645	1
NMUR1	2722	1	10	13	3	15	0.0223136555125923	1
TSHR	3219	1	10	13	3	15	0.0223136555125923	1
LIPC	3356	1	10	10	0	4	0.00137613894729645	1
LPL	3357	1	10	10	0	4	0.00137613894729645	1
RGS2	72	-1	10	13	3	16	0.0231024467717528	1
FBXW7	174	-1	10	17	7	9	0.0427875494414409	1
NLK	494	-1	10	16	6	10	0.058461318035182	1
SKP2	557	-1	10	16	6	11	0.0409026046782327	1
RGS4	1697	-1	10	13	3	15	0.0223136555125923	1
RGS19	1698	-1	10	13	3	15	0.0223136555125923	1
DLGAP1	1749	-1	10	15	5	4	0.0454328290117623	1
PTMA	1766	-1	10	12	2	17	0.00826136014324258	1
ASIP	2270	-1	10	14	4	10	0.0333377632775012	1
CUEDC2	3001	-1	10	11	1	12	0.00677275519716996	1
CHRM1	34	1	9	13	4	15	0.0511242521802754	1
CNR1	40	1	9	13	4	15	0.0511242521802754	1
DLL1	107	1	9	14	5	9	0.0706205433133787	1
SFRP1	233	1	9	12	3	15	0.03812503216068	1
STK11	324	1	9	12	3	18	0.0238668635402636	1
SENP1	663	1	9	15	6	9	0.0633744206857608	1
ESR1	675	1	9	12	3	18	0.0321822089467993	1
PGR	676	1	9	11	2	17	0.0235598597705615	1
CDC14B	701	1	9	14	5	14	0.0407966488570223	1
ERCC8	749	1	9	15	6	12	0.0421630747811026	1
MIR17HG	859	1	9	14	5	8	0.0471253542550156	1
DUSP6	919	1	9	17	8	8	0.12618663665271	1
F2R	965	1	9	13	4	15	0.0511242521802754	1
DLL4	1061	1	9	14	5	9	0.0706205433133787	1
DLL3	1063	1	9	14	5	9	0.0706205433133787	1
RARA	1171	1	9	15	6	12	0.0762465450161561	1
RARG	1174	1	9	13	4	15	0.0473959237494497	1
MAP3K12	1215	1	9	14	5	14	0.0680993680996063	1
MBIP	1239	1	9	13	4	13	0.0511242521802754	1
MFNG	1262	1	9	16	7	5	0.107153481035333	1
SPAG9	1274	1	9	14	5	14	0.0680993680996063	1
PIAS2	1278	1	9	15	6	11	0.0633744206857608	1
ARRB2	1430	1	9	13	4	16	0.0473959237494497	1
ADM	1438	1	9	13	4	11	0.0511242521802754	1
NMB	1447	1	9	13	4	11	0.0511242521802754	1
GRP	1448	1	9	13	4	11	0.0511242521802754	1
KNG1	1454	1	9	13	4	11	0.0511242521802754	1
CCK	1458	1	9	13	4	11	0.0511242521802754	1
GAST	1459	1	9	13	4	11	0.0511242521802754	1
POMC	1496	1	9	13	4	11	0.0511242521802754	1
PENK	1498	1	9	13	4	11	0.0511242521802754	1
EDN2	1503	1	9	13	4	11	0.0511242521802754	1
EDN3	1504	1	9	13	4	11	0.0511242521802754	1
