"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","FOXM1","0.930247847910243",1
"3","DNA_thresholded_200","FOXM1","0.995020381015128",1
"4","DNA_thresholded_300","FOXM1","0.999640717684445",1
"5","DNA_thresholded_400","FOXM1","0.99997373203184",1
"6","DNA_thresholded_477","FOXM1","0.999996465271389",1
"7","ERS_thresholded_050","DAB2IP, GSK3A","0.374592328678792",1
"8","ERS_thresholded_100","DAB2IP, GSK3A","0.735442432029092",1
"9","ERS_thresholded_200","DAB2IP, GSK3A","0.965692581907705",1
"10","ERS_thresholded_300","DAB2IP, GSK3A, EP300","0.982774972189207",1
"11","ERS_thresholded_400","DAB2IP, GSK3A, EP300, CDC25A","0.990696157577263",1
"12","ERS_thresholded_477","DAB2IP, GSK3A, EP300, CDC25A, CSNK2A1","0.992268471936349",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","GSK3B","0.929395565191667",1
"15","HTS_thresholded_200","GSK3B, CDKN1A, CREBBP, MAPK1, MAPK3, HDAC2","0.399599811446044",1
"16","HTS_thresholded_300","GSK3B, CDKN1A, CREBBP, MAPK1, MAPK3, HDAC2","0.77004232880474",1
"17","HTS_thresholded_400","GSK3B, CDKN1A, CREBBP, MAPK1, MAPK3, HDAC2, CSNK2A1, EP300","0.775760576846994",1
"18","HTS_thresholded_477","GSK3B, CDKN1A, CREBBP, MAPK1, MAPK3, HDAC2, CSNK2A1, EP300, FOXO1, PPARGC1A, PRKAA1","0.612873653948335",1
"19","HYP_thresholded_050","LRP5, RPS6KA5","0.375250470778163",1
"20","HYP_thresholded_100","LRP5, RPS6KA5","0.737861604333429",1
"21","HYP_thresholded_200","LRP5, RPS6KA5, SOX2","0.892205781079255",1
"22","HYP_thresholded_300","LRP5, RPS6KA5, SOX2, MYBL2","0.949660519508454",1
"23","HYP_thresholded_400","LRP5, RPS6KA5, SOX2, MYBL2, NR3C1, NR4A1","0.938404950897737",1
"24","HYP_thresholded_477","LRP5, RPS6KA5, SOX2, MYBL2, NR3C1, NR4A1, ARNT, NOTCH1, CDKN1A","0.835365665831713",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","ATF1, CAPN3, CDH1","0.999434289393574",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","GATA6","0.928915040174062",1
"33","OXD_thresholded_200","GATA6, RAF1, RHOA, ROCK2, SMAD3, TGFBR2","0.398077405391649",1
"34","OXD_thresholded_300","GATA6, RAF1, RHOA, ROCK2, SMAD3, TGFBR2, STAT1","0.628158457639833",1
"35","OXD_thresholded_400","GATA6, RAF1, RHOA, ROCK2, SMAD3, TGFBR2, STAT1","0.867780423435914",1
"36","OXD_thresholded_477","GATA6, RAF1, RHOA, ROCK2, SMAD3, TGFBR2, STAT1, ARNT","0.897557876191879",1
