"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","FOXM1","0.998954087383339",1
"2","#upgenes.ERS_0","GSK3A","0.882842502458974",1
"3","#upgenes.HTS_0","CSNK2A1","0.984915131495531",1
"4","#upgenes.HYP_0","CDK1, CDKN1A, HIF1A, JUN, NR3C1, NR4A1, TP53","0.278942198706341",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","GATA6, RAF1, RHOA, ROCK2, SMAD3, TGFBR2","0.159948915385973",1
"7","#upgenes.DNA_0.25","FOXM1","0.998528446633422",1
"8","#upgenes.ERS_0.25","GSK3A","0.859106956677015",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.974510388334717",1
"10","#upgenes.HYP_0.25","CDK1, CDKN1A, JUN, NR3C1, NR4A1, TP53","0.354829213957553",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","GATA6, RAF1, RHOA, SMAD3","0.432354372298737",1
"13","#upgenes.DNA_0.45","FOXM1","0.997073348850596",1
"14","#upgenes.ERS_0.45","GSK3A","0.773243601363117",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.953478649705461",1
"16","#upgenes.HYP_0.45","CDKN1A, JUN, NR3C1, NR4A1","0.629596015677372",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","GATA6, RHOA, SMAD3","0.545656455949201",1
"19","#upgenes.DNA_0.5","FOXM1","0.997073348850596",1
"20","#upgenes.ERS_0.5","GSK3A","0.773243601363117",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.953478649705461",1
"22","#upgenes.HYP_0.5","CDKN1A, JUN, NR3C1, NR4A1","0.629596015677372",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","GATA6, RHOA, SMAD3","0.545656455949201",1
"25","#upgenes.DNA_0.65","","1",1
"26","#upgenes.ERS_0.65","GSK3A","0.712120475496046",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.882842502458974",1
