NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
RUNX1	399	1	14	16	2	13	0.000623992197211385	1
MIR17HG	859	-1	14	16	2	10	0.000623992197211385	1
RAD21	1968	-1	14	16	2	10	0.000623992197211385	1
TLE1	3311	-1	14	16	2	10	0.000623992197211385	1
MAP2K6	597	-1	12	16	4	11	0.000287137999956729	1
TSC22D3	1982	1	11	13	2	16	0.00304566505357427	1
RBL1	3153	1	11	14	3	14	0.00257626629480474	1
MAP2K7	937	-1	11	15	4	12	0.00166856239670044	1
MAPK8IP2	1080	-1	11	16	5	10	0.00163988311719668	1
MAP3K13	1255	-1	11	15	4	11	0.00166856239670044	1
IL2RA	2836	-1	11	12	1	18	0.000220308269102965	1
YES1	57	1	10	13	3	15	0.0202525201728716	1
CDK5RAP3	598	1	10	13	3	15	0.013105573805957	1
CEBPA	846	1	10	12	2	17	0.0017890067308742	1
YWHAB	2029	1	10	15	5	11	0.00629276460016174	1
CUL1	2335	1	10	15	5	11	0.016402742479895	1
PGR	676	-1	10	13	3	14	0.00212432140785438	1
MBIP	1239	-1	10	14	4	11	0.001099571906091	1
ADRB1	2664	-1	10	16	6	7	0.00917184280752705	1
HBP1	170	1	9	13	4	14	0.00851491776680849	1
PUF60	296	1	9	13	4	14	0.00851491776680849	1
YWHAQ	386	1	9	13	4	14	0.0123972735487224	1
UBE2M	483	1	9	14	5	11	0.0284925612982064	1
FUS	924	1	9	14	5	10	0.034409605823909	1
SARS	2072	1	9	13	4	14	0.00851491776680849	1
NOXA1	2723	1	9	12	3	9	0.0276286278090129	1
MYCBP	3313	1	9	13	4	14	0.00851491776680849	1
PSMB4	3325	1	9	14	5	11	0.0284925612982064	1
PARP10	3461	1	9	13	4	14	0.00851491776680849	1
SOD1	3533	1	9	12	3	9	0.0276286278090129	1
PIK3R1	127	-1	9	13	4	14	0.00851491776680849	1
USP28	149	-1	9	14	5	12	0.0174740623876155	1
TRRAP	172	-1	9	13	4	14	0.00851491776680849	1
MYC	173	-1	9	13	4	14	0.00851491776680849	1
FUBP1	297	-1	9	13	4	14	0.00851491776680849	1
BCL2	382	-1	9	13	4	14	0.031923993495151	1
DOT1L	448	-1	9	13	4	14	0.00851491776680849	1
CISD2	472	-1	9	12	3	9	0.0276286278090129	1
MIR22HG	521	-1	9	12	3	9	0.00793965728307371	1
HUWE1	799	-1	9	13	4	14	0.00851491776680849	1
FLI1	843	-1	9	12	3	9	0.0276286278090129	1
MAX	991	-1	9	13	4	14	0.00851491776680849	1
TYRO3	1164	-1	9	14	5	12	0.0174740623876155	1
MAP3K12	1215	-1	9	14	5	12	0.00277755491082213	1
GNB5	1424	-1	9	13	4	14	0.00851491776680849	1
GNG4	1425	-1	9	13	4	14	0.00851491776680849	1
TAB3	1777	-1	9	13	4	14	0.00141355754835156	1
CARD9	1790	-1	9	15	6	10	0.00476267448476436	1
SF1	2093	-1	9	12	3	5	0.0193929421329982	1
FPR2	2573	-1	9	14	5	10	0.00853243410370111	1
ICOSLG	2831	-1	9	13	4	11	0.00851491776680849	1
ICOS	3198	-1	9	13	4	14	0.00851491776680849	1
SHB	3369	-1	9	13	4	14	0.00851491776680849	1
PHB2	77	1	8	15	7	8	0.0473763703139658	1
CDK1	130	1	8	13	5	13	0.0647007583312276	1
RPL11	171	1	8	13	5	11	0.0730796866807952	1
FBXW7	174	1	8	14	6	11	0.0165485985253661	1
NMI	330	1	8	12	4	15	0.0172832928353863	1
BNIP3L	455	1	8	12	4	13	0.0455862813317133	1
NKRF	513	1	8	11	3	17	0.0283421650344204	1
TWIST1	514	1	8	13	5	12	0.0561911745672655	1
DDIT3	574	1	8	14	6	10	0.0757061665153369	1
WAPL	648	1	8	9	1	5	0.00460164914593668	1
MPG	710	1	8	15	7	8	0.0473763703139658	1
SH3BP5	993	1	8	13	5	11	0.0068812884097212	1
SFN	2027	1	8	13	5	13	0.0172839180992912	1
FBXO22	2250	1	8	11	3	4	0.0163272461469295	1
HSPA2	2615	1	8	13	5	13	0.0115020874710005	1
IBTK	2998	1	8	13	5	11	0.0068812884097212	1
TNIP2	3142	1	8	11	3	17	0.0283421650344204	1
SAFB	3163	1	8	15	7	8	0.0473763703139658	1
MMS19	3510	1	8	15	7	8	0.0473763703139658	1
HTR1B	80	-1	8	12	4	15	0.0117251182223703	1
MAPK14	92	-1	8	14	6	11	0.0165485985253661	1
MAPK8	267	-1	8	13	5	13	0.0115020874710005	1
TAB2	462	-1	8	12	4	15	0.0039032435160081	1
