"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","24/36","481/2914",1.78196557721708e-11,7.76936991666646e-09,5.40216932882651e-09,"AKT2/EGFR/JUN/MAPK11/MAPK14/SFN/SMAD2/TP53/WWTR1/YAP1/ITCH/NR4A1/PPP2CA/SMAD3/SRC/E2F1/CREB1/HNF4A/GATA2/SP1/TEAD1/FOXO1/NR2F1/RUNX2",24
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","24/36","499/2914",4.03945339756713e-11,8.80600840669634e-09,6.12296093947018e-09,"AKT2/EGFR/JUN/MAPK11/MAPK14/SFN/SMAD2/TP53/WWTR1/YAP1/ITCH/NR4A1/PPP2CA/SMAD3/SRC/E2F1/CREB1/HNF4A/GATA2/SP1/TEAD1/FOXO1/NR2F1/RUNX2",24
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","17/36","397/2914",9.93575590378155e-07,0.000120372410037227,8.36968954387284e-05,"AKT2/EGFR/JUN/MAPK11/MAPK14/SMAD2/MAPK8/RHOA/ROCK2/SMAD3/SRC/STAT3/E2F1/CREB1/HNF4A/GATA2/FOXO1",17
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","6/36","30/2914",1.10433403703878e-06,0.000120372410037227,8.36968954387284e-05,"JUN/MAPK11/MAPK14/MAPK8/PPP2CA/CREB1",6
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","9/36","99/2914",1.8415506208275e-06,0.000160583214136158,0.000111656121852278,"JUN/MAPK11/MAPK14/TP53/MAPK8/STAT3/E2F1/ETS2/SP1",9
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","4/36","10/2914",3.9129023937883e-06,0.000284337573948617,0.000197704542001935,"JUN/MAPK11/MAPK14/MAPK8",4
"R-HSA-2032785","R-HSA-2032785","YAP1- and WWTR1 (TAZ)-stimulated gene expression","4/36","12/2914",9.06179583377549e-06,0.000564420426218016,0.000392450706786066,"WWTR1/YAP1/TEAD1/RUNX2",4
"R-HSA-2559580","R-HSA-2559580","Oxidative Stress Induced Senescence","6/36","44/2914",1.15889182554697e-05,0.000631596044923096,0.000439159007575692,"JUN/MAPK11/MAPK14/TP53/MAPK8/E2F1",6
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","7/36","70/2914",1.63442854391571e-05,0.000791789827941388,0.000550544351634765,"MAPK11/MAPK14/PPP2CA/RHOA/SRC/STAT3/CREB1",7
"R-HSA-114452","R-HSA-114452","Activation of BH3-only proteins","5/36","29/2914",2.07108409610629e-05,0.000870255988045622,0.000605103149582663,"AKT2/SFN/TP53/MAPK8/E2F1",5
"R-HSA-109606","R-HSA-109606","Intrinsic Pathway for Apoptosis","6/36","49/2914",2.19559996983987e-05,0.000870255988045622,0.000605103149582663,"AKT2/SFN/TP53/MAPK8/STAT3/E2F1",6
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","10/36","172/2914",2.63054235695493e-05,0.000955763723026959,0.000664558069125457,"AKT2/EGFR/JUN/TP53/NR4A1/PPP2CA/SRC/EGR1/CREB1/FOXO1",10
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","6/36","53/2914",3.4781624488265e-05,0.00116652217514489,0.000811101850414602,"TP53/WWTR1/YAP1/SMAD3/SRC/TEAD1",6
"R-HSA-8940973","R-HSA-8940973","RUNX2 regulates osteoblast differentiation","4/36","19/2914",6.67047758069556e-05,0.00207110960520954,0.00144007621028572,"WWTR1/YAP1/SRC/RUNX2",4
"R-HSA-450294","R-HSA-450294","MAP kinase activation","6/36","60/2914",7.1253770821429e-05,0.00207110960520954,0.00144007621028572,"JUN/MAPK11/MAPK14/MAPK8/PPP2CA/CREB1",6
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","7/36","89/2914",7.93791815290527e-05,0.00216308269666669,0.00150402659739258,"MAPK11/MAPK14/PPP2CA/RHOA/SRC/STAT3/CREB1",7
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","10/36","201/2914",0.000101463554200856,0.00249397922925827,0.00173410434096181,"AKT2/EGFR/JUN/TP53/NR4A1/PPP2CA/SRC/EGR1/CREB1/FOXO1",10
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","6/36","64/2914",0.000102962445244608,0.00249397922925827,0.00173410434096181,"JUN/MAPK11/MAPK14/MAPK8/PPP2CA/CREB1",6
"R-HSA-9006934","R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","13/36","347/2914",0.000137384168230592,0.00315260512360726,0.00219205764268201,"AKT2/EGFR/MAPK11/MAPK14/YAP1/ITCH/PPP2CA/RHOA/ROCK2/SRC/STAT3/STAT6/CREB1",13
"R-HSA-2559585","R-HSA-2559585","Oncogene Induced Senescence","4/36","23/2914",0.000147107648112554,0.0031787847280666,0.00221026074766582,"TP53/E2F1/ETS2/SP1",4
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","4/36","24/2914",0.000174978975856877,0.0031787847280666,0.00221026074766582,"MAPK11/MAPK14/PPP2CA/CREB1",4
"R-HSA-2173796","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","4/36","24/2914",0.000174978975856877,0.0031787847280666,0.00221026074766582,"SMAD2/WWTR1/SMAD3/SP1",4
"R-HSA-5674400","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer","4/36","24/2914",0.000174978975856877,0.0031787847280666,0.00221026074766582,"AKT2/NR4A1/CREB1/FOXO1",4
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","4/36","24/2914",0.000174978975856877,0.0031787847280666,0.00221026074766582,"WWTR1/YAP1/SRC/RUNX2",4
"R-HSA-157118","R-HSA-157118","Signaling by NOTCH","7/36","104/2914",0.000214189969367291,0.00373547306576555,0.00259733520748546,"EGFR/JUN/TP53/ITCH/SMAD3/E2F1/CREB1",7
"R-HSA-210745","R-HSA-210745","Regulation of gene expression in beta cells","3/36","11/2914",0.000267102106632689,0.00416091059292332,0.00289314884297903,"AKT2/HNF4A/FOXO1",3
"R-HSA-9614399","R-HSA-9614399","Regulation of localization of FOXO transcription factors","3/36","11/2914",0.000267102106632689,0.00416091059292332,0.00289314884297903,"AKT2/SFN/FOXO1",3
