"","Gene set","Overlap","pValue","pAdj"
"1","#upgenes.DNA_0","PRKDC, SFN, CDK2, ARID3A, E2F4","0.919492799062817",1
"2","#upgenes.ERS_0","","1",1
"3","#upgenes.HTS_0","CSNK2A1, CSNK2B","0.965968785495542",1
"4","#upgenes.HYP_0","BHLHE40, CDK1, ETS1, FOS, HIF1A, JUN, TP53","0.495606009686503",1
"5","#upgenes.MTL_0","","1",1
"6","#upgenes.OXD_0","SRC, SMAD3, SRF","0.845173944781588",1
"7","#upgenes.DNA_0.25","PRKDC, SFN, CDK2, ARID3A, E2F4","0.897266658485027",1
"8","#upgenes.ERS_0.25","","1",1
"9","#upgenes.HTS_0.25","CSNK2A1","0.989842252960689",1
"10","#upgenes.HYP_0.25","BHLHE40, CDK1, ETS1, FOS, JUN, TP53","0.566922379535684",1
"11","#upgenes.MTL_0.25","","1",1
"12","#upgenes.OXD_0.25","SRC, SMAD3, SRF","0.79597127477217",1
"13","#upgenes.DNA_0.45","PRKDC, SFN, CDK2, ARID3A, E2F4","0.836100148783401",1
"14","#upgenes.ERS_0.45","","1",1
"15","#upgenes.HTS_0.45","CSNK2A1","0.978442905298316",1
"16","#upgenes.HYP_0.45","BHLHE40, ETS1, FOS, JUN","0.791793149405361",1
"17","#upgenes.MTL_0.45","","1",1
"18","#upgenes.OXD_0.45","SRC, SMAD3","0.876406397708585",1
"19","#upgenes.DNA_0.5","PRKDC, SFN, CDK2, ARID3A, E2F4","0.836100148783401",1
"20","#upgenes.ERS_0.5","","1",1
"21","#upgenes.HTS_0.5","CSNK2A1","0.978442905298316",1
"22","#upgenes.HYP_0.5","BHLHE40, ETS1, FOS, JUN","0.791793149405361",1
"23","#upgenes.MTL_0.5","","1",1
"24","#upgenes.OXD_0.5","SRC, SMAD3","0.876406397708585",1
"25","#upgenes.DNA_0.65","PRKDC, SFN, CDK2, ARID3A","0.783288742630667",1
"26","#upgenes.ERS_0.65","","1",1
"27","#upgenes.HTS_0.65","CSNK2A1","0.931565024970866",1
"28","#upgenes.HYP_0.65","BHLHE40, ETS1, FOS, JUN","0.677563796365834",1
"29","#upgenes.MTL_0.65","","1",1
"30","#upgenes.OXD_0.65","SMAD3","0.892033215671947",1
"31","#upgenes.DNA_0.75","PRKDC, SFN, CDK2, ARID3A","0.783288742630667",1
"32","#upgenes.ERS_0.75","","1",1
"33","#upgenes.HTS_0.75","","1",1
"34","#upgenes.HYP_0.75","BHLHE40, FOS, JUN","0.591892943824667",1
"35","#upgenes.MTL_0.75","","1",1
"36","#upgenes.OXD_0.75","SMAD3","0.892033215671947",1
"37","#upgenes.DNA_0.85","PRKDC, SFN","0.805983705399218",1
"38","#upgenes.ERS_0.85","","1",1
"39","#upgenes.HTS_0.85","","1",1
"40","#upgenes.HYP_0.85","BHLHE40, JUN","0.537766112516691",1
"41","#upgenes.MTL_0.85","","1",1
"42","#upgenes.OXD_0.85","","1",1
"43","#upgenes.DNA_0.95","PRKDC, SFN","0.805983705399218",1
"44","#upgenes.ERS_0.95","","1",1
"45","#upgenes.HTS_0.95","","1",1
"46","#upgenes.HYP_0.95","BHLHE40, JUN","0.537766112516691",1
"47","#upgenes.MTL_0.95","","1",1
"48","#upgenes.OXD_0.95","","1",1
"49","#upgenes.DNA_1","PRKDC, SFN","0.805983705399218",1
"50","#upgenes.ERS_1","","1",1
"51","#upgenes.HTS_1","","1",1
"52","#upgenes.HYP_1","BHLHE40, JUN","0.537766112516691",1
"53","#upgenes.MTL_1","","1",1
"54","#upgenes.OXD_1","","1",1
"55","#dngenes.DNA_0","PRKDC, SFN, CDK2, ARID3A, E2F4","0.919492799062817",1
"56","#dngenes.ERS_0","","1",1
"57","#dngenes.HTS_0","CSNK2A1, CSNK2B","0.965968785495542",1
"58","#dngenes.HYP_0","BHLHE40, CDK1, ETS1, FOS, HIF1A, JUN, TP53","0.495606009686503",1
"59","#dngenes.MTL_0","","1",1
"60","#dngenes.OXD_0","SRC, SMAD3, SRF","0.845173944781588",1
"61","#dngenes.DNA_0.25","CDK2, ARID3A, E2F4","0.904910026489161",1
"62","#dngenes.ERS_0.25","","1",1
"63","#dngenes.HTS_0.25","CSNK2A1, CSNK2B","0.842617540961559",1
"64","#dngenes.HYP_0.25","CDK1, ETS1, HIF1A, TP53","0.503454729564724",1
"65","#dngenes.MTL_0.25","","1",1
"66","#dngenes.OXD_0.25","SRC, SMAD3, SRF","0.774198993136016",1
"67","#dngenes.DNA_0.45","E2F4","0.951278144959155",1
"68","#dngenes.ERS_0.45","","1",1
"69","#dngenes.HTS_0.45","CSNK2B","0.924445647892173",1
"70","#dngenes.HYP_0.45","CDK1, HIF1A, TP53","0.360637935838578",1
"71","#dngenes.MTL_0.45","","1",1
"72","#dngenes.OXD_0.45","SRC, SRF","0.712203167674619",1
"73","#dngenes.DNA_0.5","E2F4","0.951278144959155",1
"74","#dngenes.ERS_0.5","","1",1
"75","#dngenes.HTS_0.5","CSNK2B","0.924445647892173",1
"76","#dngenes.HYP_0.5","CDK1, HIF1A, TP53","0.360637935838578",1
"77","#dngenes.MTL_0.5","","1",1
"78","#dngenes.OXD_0.5","SRC, SRF","0.712203167674619",1
"79","#dngenes.DNA_0.65","","1",1
"80","#dngenes.ERS_0.65","","1",1
"81","#dngenes.HTS_0.65","CSNK2B","0.759561576813542",1
"82","#dngenes.HYP_0.65","CDK1, HIF1A, TP53","0.146431338480266",1
"83","#dngenes.MTL_0.65","","1",1
"84","#dngenes.OXD_0.65","SRF","0.666009595542896",1
"85","#dngenes.DNA_0.75","","1",1
"86","#dngenes.ERS_0.75","","1",1
"87","#dngenes.HTS_0.75","CSNK2B","0.485290847143857",1
"88","#dngenes.HYP_0.75","HIF1A","0.467671330708671",1
"89","#dngenes.MTL_0.75","","1",1
"90","#dngenes.OXD_0.75","SRF","0.666009595542896",1
"91","#dngenes.DNA_0.85","","1",1
"92","#dngenes.ERS_0.85","","1",1
"93","#dngenes.HTS_0.85","","1",1
"94","#dngenes.HYP_0.85","","1",1
"95","#dngenes.MTL_0.85","","1",1
"96","#dngenes.OXD_0.85","","1",1
"97","#dngenes.DNA_0.95","","1",1
"98","#dngenes.ERS_0.95","","1",1
"99","#dngenes.HTS_0.95","","1",1
"100","#dngenes.HYP_0.95","","1",1
"101","#dngenes.MTL_0.95","","1",1
"102","#dngenes.OXD_0.95","","1",1
"103","#dngenes.DNA_1","","1",1
"104","#dngenes.ERS_1","","1",1
"105","#dngenes.HTS_1","","1",1
