NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
CNR1	40	1	17	24	7	11	0.0130644612293205	1
GAL	1514	1	17	23	6	6	0.0091717946637348	1
HCRT	1588	1	17	23	6	6	0.0091717946637348	1
PRLH	1598	1	17	23	6	6	0.0091717946637348	1
SYK	1713	1	17	22	5	15	0.00589793320131551	1
GALP	2577	1	17	23	6	6	0.0091717946637348	1
TH	2865	1	17	23	6	7	0.0091717946637348	1
CD79B	3220	1	17	22	5	15	0.00589793320131551	1
FCER1G	3231	1	17	22	5	15	0.00589793320131551	1
SNX1	3387	1	17	23	6	6	0.0091717946637348	1
GRK4	1852	-1	17	23	6	6	0.0091717946637348	1
CHRM1	34	1	16	23	7	12	0.0196999312670218	1
PEBP1	168	1	16	20	4	17	0.00380202785189583	1
F2R	965	1	16	23	7	12	0.0196999312670218	1
ADM	1438	1	16	22	6	7	0.0145018899269778	1
NMB	1447	1	16	22	6	7	0.0145018899269778	1
GRP	1448	1	16	22	6	7	0.0145018899269778	1
CCK	1458	1	16	22	6	7	0.0145018899269778	1
GAST	1459	1	16	22	6	7	0.0145018899269778	1
POMC	1496	1	16	22	6	7	0.0145018899269778	1
PENK	1498	1	16	22	6	7	0.0145018899269778	1
EDN2	1503	1	16	22	6	7	0.0145018899269778	1
EDN3	1504	1	16	22	6	7	0.0145018899269778	1
PMCH	1568	1	16	22	6	7	0.0145018899269778	1
MLN	1570	1	16	23	7	5	0.0196999312670218	1
TAC1	1574	1	16	22	6	7	0.0145018899269778	1
TAC3	1575	1	16	22	6	7	0.0145018899269778	1
NMS	1576	1	16	23	7	5	0.0196999312670218	1
NMU	1577	1	16	23	7	5	0.0196999312670218	1
OXT	1585	1	16	22	6	7	0.0145018899269778	1
UTS2	1614	1	16	22	6	7	0.0145018899269778	1
UTS2B	1615	1	16	22	6	7	0.0145018899269778	1
HTR1A	1629	1	16	22	6	14	0.0145018899269778	1
DRD1	1643	1	16	22	6	14	0.0145018899269778	1
HTR2A	1644	1	16	23	7	12	0.0196999312670218	1
PTAFR	1645	1	16	22	6	14	0.0145018899269778	1
HTR4	1647	1	16	22	6	14	0.0145018899269778	1
ADORA2A	1678	1	16	22	6	14	0.0145018899269778	1
BDKRB1	1684	1	16	22	6	14	0.0145018899269778	1
F2RL1	1700	1	16	22	6	14	0.0145018899269778	1
PRSS1	1701	1	16	22	6	7	0.0145018899269778	1
LPAR1	1835	1	16	23	7	12	0.0196999312670218	1
P2RY10	1836	1	16	23	7	11	0.0196999312670218	1
LPAR6	1867	1	16	23	7	12	0.0196999312670218	1
P2RY4	1869	1	16	23	7	11	0.0196999312670218	1
LPAR3	1870	1	16	23	7	12	0.0196999312670218	1
