"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","PRKDC","0.720002258991347",1
"2","DNA_thresholded_100","PRKDC, FOXM1","0.716538615836331",1
"3","DNA_thresholded_200","PRKDC, FOXM1","0.960513944297406",1
"4","DNA_thresholded_300","PRKDC, FOXM1","0.995411791564099",1
"5","DNA_thresholded_400","PRKDC, FOXM1","0.999507015315957",1
"6","DNA_thresholded_477","PRKDC, FOXM1, GRB2","0.999401577478478",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","TBK1","0.993319854601195",1
"10","ERS_thresholded_300","TBK1, CSNK2B","0.994973746139873",1
"11","ERS_thresholded_400","TBK1, CSNK2B","0.999417339153969",1
"12","ERS_thresholded_477","TBK1, CSNK2B, CSNK2A1","0.999267445233413",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","PRKACA, MAPKAPK2, MAP2K7","0.45111567749146",1
"15","HTS_thresholded_200","PRKACA, MAPKAPK2, MAP2K7, MAPK1","0.726778785565166",1
"16","HTS_thresholded_300","PRKACA, MAPKAPK2, MAP2K7, MAPK1, CSNK2B","0.854242369779143",1
"17","HTS_thresholded_400","PRKACA, MAPKAPK2, MAP2K7, MAPK1, CSNK2B, SIRT1, CSNK2A1","0.840480255214984",1
"18","HTS_thresholded_477","PRKACA, MAPKAPK2, MAP2K7, MAPK1, CSNK2B, SIRT1, CSNK2A1, AKT1, FOXO1, FOS","0.677895418774886",1
"19","HYP_thresholded_050","RPS6KA5","0.718678466348293",1
"20","HYP_thresholded_100","RPS6KA5, EGR1, BCL10","0.452208325166731",1
"21","HYP_thresholded_200","RPS6KA5, EGR1, BCL10, KLF4, MAP3K1, SOX2","0.359161702738469",1
"22","HYP_thresholded_300","RPS6KA5, EGR1, BCL10, KLF4, MAP3K1, SOX2","0.734424876720938",1
"23","HYP_thresholded_400","RPS6KA5, EGR1, BCL10, KLF4, MAP3K1, SOX2, ELF3","0.844461494081087",1
"24","HYP_thresholded_477","RPS6KA5, EGR1, BCL10, KLF4, MAP3K1, SOX2, ELF3","0.939065990017716",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","MAPK9, ATF1","0.999868270692586",1
"31","OXD_thresholded_050","SRC","0.718475124139184",1
"32","OXD_thresholded_100","SRC","0.920123821485668",1
"33","OXD_thresholded_200","SRC, RHOA, ROCK2, SMAD3, USF1","0.54019645316631",1
"34","OXD_thresholded_300","SRC, RHOA, ROCK2, SMAD3, USF1","0.853750559863454",1
"35","OXD_thresholded_400","SRC, RHOA, ROCK2, SMAD3, USF1","0.963433151562067",1
"36","OXD_thresholded_477","SRC, RHOA, ROCK2, SMAD3, USF1, SIRT1","0.969496427822969",1
