"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5674400","R-HSA-5674400","Constitutive Signaling by AKT1 E17K in Cancer","8/23","24/2914",2.62303760578607e-12,6.42644213417586e-10,4.41774754658706e-10,"AKT1/AKT2/AKT3/FOXO1/GSK3A/GSK3B/NR4A1/PDPK1",8
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","9/23","62/2914",3.18788120096344e-10,3.90515447118021e-08,2.68453153765342e-08,"AKT1/AKT2/AKT3/GSK3B/PPARGC1A/TWIST1/SMAD1/SMAD4/ESRRA",9
"R-HSA-198323","R-HSA-198323","AKT phosphorylates targets in the cytosol","5/23","13/2914",2.38124786511547e-08,1.94468575651097e-06,1.33684090673149e-06,"AKT1/AKT2/AKT3/GSK3A/GSK3B",5
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","7/23","49/2914",4.88770619731943e-08,2.99372004585815e-06,2.05798155676607e-06,"AKT1/AKT2/AKT3/FOXO1/PPARGC1A/KLF4/SMAD4",7
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","15/23","481/2914",2.03505437747954e-07,9.97176644964976e-06,6.85492000835214e-06,"AKT1/AKT2/AKT3/FOXO1/GSK3B/NR4A1/PDPK1/PPARGC1A/TP53/TWIST1/KLF4/SMAD1/NR2F1/SMAD4/ESRRA",15
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","15/23","499/2914",3.36992515244422e-07,1.12336314935999e-05,7.72236751439736e-06,"AKT1/AKT2/AKT3/FOXO1/GSK3B/NR4A1/PDPK1/PPARGC1A/TP53/TWIST1/KLF4/SMAD1/NR2F1/SMAD4/ESRRA",15
"R-HSA-397795","R-HSA-397795","G-protein beta:gamma signalling","5/23","21/2914",3.61224750624988e-07,1.12336314935999e-05,7.72236751439736e-06,"AKT1/AKT2/AKT3/PAK1/PDPK1",5
"R-HSA-2219528","R-HSA-2219528","PI3K/AKT Signaling in Cancer","8/23","97/2914",3.66812456933875e-07,1.12336314935999e-05,7.72236751439736e-06,"AKT1/AKT2/AKT3/FOXO1/GSK3A/GSK3B/NR4A1/PDPK1",8
"R-HSA-6804759","R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors","4/23","10/2914",6.01044544598514e-07,1.63617681585151e-05,1.12476172088611e-05,"AKT1/AKT2/AKT3/TP53",4
"R-HSA-5218920","R-HSA-5218920","VEGFR2 mediated vascular permeability","5/23","25/2914",9.23784516341246e-07,1.91827475264249e-05,1.31868511459849e-05,"AKT1/AKT2/AKT3/PAK1/PDPK1",5
