NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
MAP4K1	1036	-1	13	18	5	11	0.00587348114199232	1
DBNL	3196	-1	13	18	5	10	0.00587348114199232	1
RAD23B	3421	-1	13	13	0	17	0.000132084514460597	1
LEF1	1227	1	12	16	4	7	0.00680603901588645	1
MTNR1A	522	-1	12	20	8	6	0.0189497765999732	1
TDG	709	-1	12	13	1	20	0.000892977706903976	1
AANAT	2867	-1	12	20	8	6	0.0189497765999732	1
CSF2RB	3200	-1	12	19	7	8	0.0163037546337782	1
DHX58	1784	1	11	13	2	18	0.00430023001592449	1
HDAC5	1999	1	11	16	5	6	0.0146422064667743	1
VCP	2482	1	11	14	3	12	0.00677727578230193	1
ITGA5	2803	1	11	14	3	17	0.00731728352484666	1
PAPPA	3529	1	11	13	2	7	0.00419026801370157	1
FCER2	3534	1	11	15	4	14	0.010882719200957	1
CASP8AP2	276	-1	11	13	2	18	0.00430023001592449	1
EGF	464	-1	11	17	6	11	0.0195320551226908	1
AREG	1053	-1	11	14	3	17	0.00710928826039462	1
C3	1455	-1	11	15	4	14	0.010882719200957	1
SRCAP	2143	-1	11	17	6	10	0.0188312734703502	1
FGF19	2581	-1	11	17	6	11	0.0195320551226908	1
ITGB2	2815	-1	11	15	4	15	0.010882719200957	1
ICAM2	2907	-1	11	15	4	14	0.010882719200957	1
ICAM3	2908	-1	11	15	4	14	0.010882719200957	1
ICAM5	2910	-1	11	15	4	14	0.010882719200957	1
CD82	3408	-1	11	15	4	14	0.010882719200957	1
PAX3	120	1	10	12	2	6	0.00701280872433594	1
EIF2A	928	1	10	17	7	5	0.0334843553382927	1
ATF4	929	1	10	18	8	7	0.0375194782253209	1
DPYSL2	1717	1	10	17	7	1	0.0350309724703889	1
RNF125	1793	1	10	13	3	12	0.0117130079049425	1
NUMA1	1903	1	10	17	7	1	0.0350309724703889	1
PTPN7	1937	1	10	18	8	8	0.0415472481468284	1
TUBB	2244	1	10	18	8	6	0.0404994334961074	1
FAM20C	2473	1	10	13	3	18	0.0119731380032941	1
JAKMIP1	2479	1	10	17	7	1	0.0350309724703889	1
EID2	2550	1	10	18	8	6	0.0415472481468284	1
CREBZF	2992	1	10	17	7	5	0.0334843553382927	1
SERPINF2	3091	1	10	16	6	6	0.0292636161444608	1
SERPINA5	3092	1	10	11	1	10	0.00369836640489669	1
STRAP	3155	1	10	18	8	6	0.0404994334961074	1
SOX9	3190	1	10	15	5	7	0.0230499369828341	1
FRS3	3206	1	10	18	8	8	0.0415472481468284	1
PITX2	3246	1	10	12	2	6	0.00701280872433594	1
IGFBP4	3528	1	10	13	3	18	0.0119731380032941	1
ATOH1	105	-1	10	14	4	6	0.016428184721593	1
MAPK1	113	-1	10	18	8	8	0.0415472481468284	1
SMAD4	288	-1	10	15	5	14	0.0208446127417689	1
SMAD3	289	-1	10	18	8	8	0.0415472481468284	1
KLKB1	319	-1	10	18	8	5	0.0415472481468284	1
IGF2	354	-1	10	13	3	18	0.0119731380032941	1
FLT3LG	355	-1	10	13	3	18	0.0119731380032941	1
MARCH5	535	-1	10	13	3	12	0.0117130079049425	1
KAT6A	612	-1	10	14	4	16	0.0174380032303668	1
TGFA	632	-1	10	13	3	18	0.0119731380032941	1
HNRNPK	704	-1	10	14	4	16	0.0174380032303668	1
RNF135	717	-1	10	13	3	12	0.0117130079049425	1
SPI1	853	-1	10	16	6	12	0.0292301351161274	1
CSF1	855	-1	10	13	3	18	0.0119731380032941	1
SEM1	901	-1	10	17	7	0	0.0355525316966682	1
BRCA2	992	-1	10	18	8	6	0.0415472481468284	1
MAP3K2	1072	-1	10	18	8	8	0.0415472481468284	1
ACVR1B	1074	-1	10	18	8	6	0.0404994334961074	1
SKIL	1084	-1	10	18	8	6	0.0404994334961074	1
INHBA	1107	-1	10	17	7	3	0.0350309724703889	1
MTMR4	1124	-1	10	18	8	6	0.0404994334961074	1
PDGFC	1132	-1	10	13	3	18	0.0119731380032941	1
PDGFA	1134	-1	10	13	3	18	0.0119731380032941	1
