"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","SFN, ARID3A","0.921257012320693",1
"5","DNA_thresholded_400","SFN, ARID3A","0.974993214691289",1
"6","DNA_thresholded_477","SFN, ARID3A, TP73","0.958720023314754",1
"7","ERS_thresholded_050","SHC1","0.507242302562133",1
"8","ERS_thresholded_100","SHC1","0.756331945772477",1
"9","ERS_thresholded_200","SHC1","0.939138437116216",1
"10","ERS_thresholded_300","SHC1, CEBPB, YWHAZ, ATF4, CSNK2B","0.367671869247428",1
"11","ERS_thresholded_400","SHC1, CEBPB, YWHAZ, ATF4, CSNK2B","0.607044193373908",1
"12","ERS_thresholded_477","SHC1, CEBPB, YWHAZ, ATF4, CSNK2B, CSNK2A1","0.586091082777165",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","MAPK1","0.941085038804057",1
"16","HTS_thresholded_300","MAPK1, CSNK2B","0.919822772302212",1
"17","HTS_thresholded_400","MAPK1, CSNK2B, ATR, CSNK2A1","0.785744533768556",1
"18","HTS_thresholded_477","MAPK1, CSNK2B, ATR, CSNK2A1","0.882977893923585",1
"19","HYP_thresholded_050","RPS6KA5","0.507736408377782",1
"20","HYP_thresholded_100","RPS6KA5","0.757986051411674",1
"21","HYP_thresholded_200","RPS6KA5","0.941037780045522",1
"22","HYP_thresholded_300","RPS6KA5, MYBL2","0.92065422295523",1
"23","HYP_thresholded_400","RPS6KA5, MYBL2","0.974524433783378",1
"24","HYP_thresholded_477","RPS6KA5, MYBL2, NOTCH1, MYOD1","0.885408488906613",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","MAPK9","0.998416320638739",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","RAF1, SMAD3, USF1","0.519655576988444",1
"34","OXD_thresholded_300","RAF1, SMAD3, USF1, STAT1","0.578590867534494",1
"35","OXD_thresholded_400","RAF1, SMAD3, USF1, STAT1","0.781798008466604",1
"36","OXD_thresholded_477","RAF1, SMAD3, USF1, STAT1","0.876756307475579",1
