"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","9/47","53/2914",8.67856437526743e-08,3.7578183744908e-05,2.69492262179357e-05,"CTNNB1/MDM2/YAP1/TP53/SMAD3/LEF1/TCF7/TCF7L2/SMAD4",9
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","23/47","481/2914",2.01075114029228e-07,4.35327621873278e-05,3.12195571782222e-05,"ABL1/AR/CDK5/CTNNB1/HIPK2/JUN/MDM2/UBE2I/YAP1/AURKA/CDK1/CDK2/PRKACA/TP53/SMAD3/LEF1/TCF7/TCF7L2/SMAD1/SMAD4/SPI1/CREB1/ARID3A",23
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","23/47","499/2914",4.03348807206193e-07,5.82166778400938e-05,4.17501396932726e-05,"ABL1/AR/CDK5/CTNNB1/HIPK2/JUN/MDM2/UBE2I/YAP1/AURKA/CDK1/CDK2/PRKACA/TP53/SMAD3/LEF1/TCF7/TCF7L2/SMAD1/SMAD4/SPI1/CREB1/ARID3A",23
"R-HSA-3769402","R-HSA-3769402","Deactivation of the beta-catenin transactivating complex","6/47","31/2914",6.89461631856537e-06,0.000746342216484702,0.000535239951046523,"CTNNB1/CTBP1/LEF1/TCF7/TCF7L2/SOX6",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","18/47","397/2914",1.845614196277e-05,0.00159830189397589,0.0011462235534773,"ABL1/CDK5/CTNNB1/JUN/NCOA3/ROCK2/CDK2/MAP2K1/PAK1/PRKACA/RPS6KA4/MYOD1/SMAD3/MEF2A/LEF1/SMAD4/SPI1/CREB1",18
"R-HSA-8941326","R-HSA-8941326","RUNX2 regulates bone development","5/47","24/2914",2.96917235288276e-05,0.00214275271466373,0.00153667691947441,"ABL1/AR/YAP1/SMAD1/SMAD4",5
"R-HSA-69275","R-HSA-69275","G2/M Transition","7/47","66/2914",6.80546308107864e-05,0.00420966502015293,0.0030189648254409,"PLK1/AURKA/CDK1/CDK2/PRKACA/TP53/WEE1",7
"R-HSA-453274","R-HSA-453274","Mitotic G2-G2/M phases","7/47","68/2914",8.26759954940994e-05,0.00445438673984356,0.0031944672134529,"PLK1/AURKA/CDK1/CDK2/PRKACA/TP53/WEE1",7
"R-HSA-6791312","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","5/47","30/2914",9.25854056780416e-05,0.00445438673984356,0.0031944672134529,"AURKA/CDK1/CDK2/TP53/ARID3A",5
"R-HSA-69273","R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","4/47","18/2914",0.000154162818594256,0.00667525004513131,0.00478716120897954,"PLK1/CDK1/CDK2/WEE1",4
"R-HSA-5687128","R-HSA-5687128","MAPK6/MAPK4 signaling","5/47","34/2914",0.000172252392700212,0.00678048054901744,0.00486262735373805,"JUN/NCOA3/CDK1/PAK1/PRKACA",5
"R-HSA-6804756","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","6/47","56/2914",0.000224270859756133,0.00796455205028955,0.00571178523115453,"CDK5/HIPK2/MDM2/AURKA/CDK2/TP53",6
"R-HSA-3108232","R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","8/47","107/2914",0.000242551381172956,0.00796455205028955,0.00571178523115453,"AR/DDX5/HIPK2/MDM2/UBE2I/AURKA/CTBP1/TP53",8
"R-HSA-195253","R-HSA-195253","Degradation of beta-catenin by the destruction complex","5/47","37/2914",0.000260236412676036,0.00796455205028955,0.00571178523115453,"CTNNB1/CTBP1/LEF1/TCF7/TCF7L2",5
"R-HSA-2990846","R-HSA-2990846","SUMOylation","8/47","109/2914",0.000275908269640516,0.00796455205028955,0.00571178523115453,"AR/DDX5/HIPK2/MDM2/UBE2I/AURKA/CTBP1/TP53",8
"R-HSA-201722","R-HSA-201722","Formation of the beta-catenin:TCF transactivating complex","4/47","22/2914",0.000351469334680901,0.00895213070099002,0.00642002809479046,"CTNNB1/LEF1/TCF7/TCF7L2",4
"R-HSA-525793","R-HSA-525793","Myogenesis","4/47","22/2914",0.000351469334680901,0.00895213070099002,0.00642002809479046,"ABL1/CTNNB1/MYOD1/MEF2A",4
"R-HSA-8878166","R-HSA-8878166","Transcriptional regulation by RUNX2","6/47","62/2914",0.000394716682728669,0.00899538545376389,0.00645104827728296,"ABL1/AR/YAP1/CDK1/SMAD1/SMAD4",6
"R-HSA-983231","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","6/47","62/2914",0.000394716682728669,0.00899538545376389,0.00645104827728296,"ABL1/CDK5/CDK2/PRKACA/TP53/WEE1",6
"R-HSA-6804116","R-HSA-6804116","TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest","3/47","11/2914",0.000592909773950014,0.0128364966060178,0.00920570438501338,"CDK2/TP53/ARID3A",3
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","7/47","95/2914",0.000678011969925639,0.0134838768022459,0.00966997363963177,"CDK5/HIPK2/MDM2/AURKA/CDK1/CDK2/TP53",7
"R-HSA-8854518","R-HSA-8854518","AURKA Activation by TPX2","4/47","26/2914",0.000685093047689166,0.0134838768022459,0.00966997363963177,"PLK1/AURKA/CDK1/PRKACA",4
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","4/47","27/2914",0.000794781155485012,0.0149626191445657,0.0107304549596375,"CDK2/LEF1/SPI1/CREB1",4
"R-HSA-195258","R-HSA-195258","RHO GTPase Effectors","8/47","130/2914",0.000913307708419651,0.0164775932394045,0.01181691991157,"ABL1/AR/CTNNB1/PLK1/PRKCD/ROCK2/PAK1/SRF",8
"R-HSA-6804757","R-HSA-6804757","Regulation of TP53 Degradation","4/47","29/2914",0.00105046229138629,0.0174942373911641,0.0125460071238444,"MDM2/CDK1/CDK2/TP53",4
"R-HSA-6806003","R-HSA-6806003","Regulation of TP53 Expression and Degradation","4/47","29/2914",0.00105046229138629,0.0174942373911641,0.0125460071238444,"MDM2/CDK1/CDK2/TP53",4
