"","Gene set","Overlap","pValue","pAdj"
"1","DNA_thresholded_050","","1",1
"2","DNA_thresholded_100","","1",1
"3","DNA_thresholded_200","","1",1
"4","DNA_thresholded_300","CCNE1","0.879023187822873",1
"5","DNA_thresholded_400","CCNE1, E2F4","0.759897543802066",1
"6","DNA_thresholded_477","CCNE1, E2F4, TP73","0.619829329015547",1
"7","ERS_thresholded_050","","1",1
"8","ERS_thresholded_100","","1",1
"9","ERS_thresholded_200","","1",1
"10","ERS_thresholded_300","","1",1
"11","ERS_thresholded_400","","1",1
"12","ERS_thresholded_477","COPS5","0.962215193573492",1
"13","HTS_thresholded_050","","1",1
"14","HTS_thresholded_100","","1",1
"15","HTS_thresholded_200","HSP90AA1, CREBBP","0.400898868396837",1
"16","HTS_thresholded_300","HSP90AA1, CREBBP","0.608566895427218",1
"17","HTS_thresholded_400","HSP90AA1, CREBBP","0.755415707279057",1
"18","HTS_thresholded_477","HSP90AA1, CREBBP","0.834415280516421",1
"19","HYP_thresholded_050","","1",1
"20","HYP_thresholded_100","EGR1","0.50691003841533",1
"21","HYP_thresholded_200","EGR1","0.756056190792562",1
"22","HYP_thresholded_300","EGR1, MYBL2","0.610236783869186",1
"23","HYP_thresholded_400","EGR1, MYBL2","0.757994812629694",1
"24","HYP_thresholded_477","EGR1, MYBL2","0.836584827386594",1
"25","MTL_thresholded_050","","1",1
"26","MTL_thresholded_100","","1",1
"27","MTL_thresholded_200","","1",1
"28","MTL_thresholded_300","","1",1
"29","MTL_thresholded_400","","1",1
"30","MTL_thresholded_477","","1",1
"31","OXD_thresholded_050","","1",1
"32","OXD_thresholded_100","","1",1
"33","OXD_thresholded_200","","1",1
"34","OXD_thresholded_300","","1",1
"35","OXD_thresholded_400","","1",1
"36","OXD_thresholded_477","","1",1
