"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1538133","R-HSA-1538133","G0 and Early G1","5/25","19/2914",3.26666712034071e-07,8.37716866655768e-05,6.20635023569979e-05,"CCNE1/E2F4/MYC/RBL1/MYBL2",5
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","15/25","481/2914",9.79877223720118e-07,8.37716866655768e-05,6.20635023569979e-05,"CCNE1/CDKN1B/CREBBP/E2F4/ESR1/JUN/MDM2/MYC/RBL1/SMAD4/MYBL2/ESR2/AR/TP73/JUNB",15
"R-HSA-2173796","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","5/25","24/2914",1.16018487580239e-06,8.37716866655768e-05,6.20635023569979e-05,"E2F4/MYC/RBL1/SMAD4/JUNB",5
"R-HSA-2262752","R-HSA-2262752","Cellular responses to stress","10/25","187/2914",1.31059791959405e-06,8.37716866655768e-05,6.20635023569979e-05,"CCNE1/CDKN1B/CREBBP/HSP90AA1/JUN/MDM2/STAT3/HIF1A/RELA/AR",10
"R-HSA-8953897","R-HSA-8953897","Cellular responses to external stimuli","10/25","189/2914",1.44717224629611e-06,8.37716866655768e-05,6.20635023569979e-05,"CCNE1/CDKN1B/CREBBP/HSP90AA1/JUN/MDM2/STAT3/HIF1A/RELA/AR",10
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","15/25","499/2914",1.60073286622121e-06,8.37716866655768e-05,6.20635023569979e-05,"CCNE1/CDKN1B/CREBBP/E2F4/ESR1/JUN/MDM2/MYC/RBL1/SMAD4/MYBL2/ESR2/AR/TP73/JUNB",15
"R-HSA-2173793","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","5/25","36/2914",9.60266853519733e-06,0.000430748274293137,0.000319126277635881,"E2F4/MYC/RBL1/SMAD4/JUNB",5
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","7/25","108/2914",2.19004928995685e-05,0.000859594346308062,0.00063684328036903,"CDKN1B/CREBBP/ESR1/HSP90AA1/JUN/MYC/ESR2",7
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","6/25","77/2914",3.32280658398558e-05,0.00115929029707941,0.000858877491299195,"CCNE1/CDKN1B/E2F4/MYC/RBL1/MYBL2",6
"R-HSA-9018519","R-HSA-9018519","Estrogen-dependent gene expression","5/25","49/2914",4.5060298441709e-05,0.00134908331160878,0.000999488474239153,"CREBBP/ESR1/HSP90AA1/JUN/MYC",5
"R-HSA-8864260","R-HSA-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","4/25","25/2914",4.72608803429826e-05,0.00134908331160878,0.000999488474239153,"CREBBP/ESR1/MYC/MYBL2",4
"R-HSA-1362300","R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","3/25","10/2914",6.4381921564268e-05,0.00168466028093168,0.00124810567243011,"E2F4/RBL1/MYBL2",3
"R-HSA-1362277","R-HSA-1362277","Transcription of E2F targets under negative control by DREAM complex","3/25","11/2914",8.80237479040506e-05,0.00203276598660421,0.00150600497163771,"E2F4/MYC/RBL1",3
